Date,Site,Sampling Period,Year,Quadrats,SppBloomQ,BareGround,TotalAbundance,Total Genus Richness,Total Species Richness,Agapostemon sericeus,Agapostemon splendens,Agapostemon texanus,Agapostemon virescens,Andrena aliciae,Andrena alleghaniensis,Andrena asteris,Andrena barbara,Andrena commoda,Andrena crataegi,Andrena cressonii cressonii,Andrena fragilis,Andrena frigida,Andrena geranii,Andrena hirticincta,Andrena imitatrix,Andrena integra,Andrena melanochroa,Andrena nivalis,Andrena nuda,Andrena platyparia,Andrena polemonii,Andrena robertsonii,Andrena rudbeckiae,Andrena simplex,Andrena spiraeana,Andrena spp.,Andrena spp. canadensis/distans,Andrena wilkella,Andrena wilmattae,Andrena w-scripta,Andrena ziziae,Anthophora bomboides,Anthophora terminalis,Anthophora walshii,Apis mellifera,Ashmeadiella bucconis,Augochlora pura,Augochlorella spp.,Augochloropsis fulgida,Augochloropsis metallica,Bombus auricomus,Bombus bimaculatus,Bombus borealis,Bombus citrinus,Bombus fervidus,Bombus fraternus,Bombus griseocollis,Bombus impatiens,Bombus pensylvanicus,Bombus spp.,Bombus vagans,Calliopsis andreniformis,Calliopsis coloradensis,Ceratina calcarata,Ceratina dupla,Ceratina mikmaqi,Ceratina spp.,Ceratina strenua,Coelioxys octodentata,Coelioxys rufitarsis,Coelioxys sayi,Colletes spp.,Dufourea novaeangliae,Eucera atriventris,Eucera hamata,Florilegus condignus,Halictus confusus,Halictus ligatus,Halictus parallelus,Halictus rubicundus,Heriades carinatus,Hoplitis pilosifrons,Hylaeus affinis,Hylaeus lectocephalus,Hylaeus mesillae,Hylaeus nelumbonis,Hylaeus spp.,Lasioglossum Dialictus spp.,Lasioglossum Dialictus spp. orange abdomen,Lasioglossum Evylaeus fedorense,Lasioglossum Evylaeus nelumbonis,Lasioglossum Evylaeus pectorale,Lasioglossum Evylaeus spp.,Lasioglossum Evylaeus truncatum,Lasioglossum s.s. acuminatum,Lasioglossum s.s. athabascense,Lasioglossum s.s. coriaceum,Lasioglossum s.s. fuscipenne,Lasioglossum s.s. leucozonium,Lasioglossum s.s. paraforbesii,Lasioglossum s.s. spp.,Lasioglossum s.s. zonulum,Lasioglossum spp.,Megachile brevis,Megachile campanulae,Megachile frigida,Megachile inermis,Megahcile latimanus,Megachile mendica,Megachile montivaga,Megachile petulans,Megachile pugnata,Melissodes agilis,Melissodes apicata,Melissodes bimaculata,Melissodes communis,Melissodes comptoides,Melissodes coreopsis,Melissodes denticulata,Melissodes desponsa,Melissodes druriella,Melissodes nivea,Melissodes spp.,Melissodes subillata,Melissodes trinodis,Melissodes vernoniae,Melissodes wheeleri,Nomada articulata,Nomada australis,Nomada denticulata,Nomada depressa,Nomada illinoensis,Nomada imbricata,Nomada integerrima,Nomada parva,Nomada spp.,Nomada spp. 2,Nomada superba,Nomia spp.,Nomia universitatis,Osmia bucephala,Osmia collinsiae,Osmia inermis,Osmia michiganensis,Osmia pumila,Osmia spp.,Peponapis pruinosa,Perdita spp.,Pseudopanurgus albitarsis,Spechodes spp.,Stelis spp.,Svastra obliqua,Triepeolus concavus,Tripeolus donatus,Triepeolus helianthi,Triepeolus lunatus,Triepeolus nigrihirtus,Triepeolus simplex,Triepeolus spp.,Xylocopa virginica
5/3/2016,Plunkett,1,3,0.2,1,3,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/3/2016,Bowman,1,3,0,0,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/4/2016,Kaldenberg,1,3,0,0,3.1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/4/2016,McClellan,1,3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/12/2016,Sloan,1,3,1.4,1,33,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/12/2016,Sheller,1,3,1.7,2,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/15/2016,Cretsinger,1,3,0.8,1,15.5,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/15/2016,Peckumn,1,3,11.3,4,10,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/18/2016,Plunkett,2,3,11.4,2,3.1,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/18/2016,Bowman,2,3,0,0,0,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
