"","Site","Mean","SD","Taxa"
"1","Bowman",15.4,14.8256534425974,"Bees"
"2","Cretsinger",73.4,63.026185034476,"Bees"
"3","Kaldenberg",61,63.2732170827436,"Bees"
"4","McClellan",41,29.4363720590701,"Bees"
"5","Peckumn",81.2,35.8287593980032,"Bees"
"6","Plunkett",157.4,184.699214941483,"Bees"
"7","Sheller",36.8,22.2867673743861,"Bees"
"8","Sloan",59.2,57.1900340968599,"Bees"
"9","Bowman",0.6,0.547722557505166,"Plants"
"10","Cretsinger",5.8,4.60434577328853,"Plants"
"11","Kaldenberg",3.2,3.03315017762062,"Plants"
"12","McClellan",0.4,0.547722557505166,"Plants"
"13","Peckumn",5.4,4.82700735445887,"Plants"
"14","Plunkett",6,4.18330013267038,"Plants"
"15","Sheller",2.6,1.14017542509914,"Plants"
"16","Sloan",4,2.91547594742265,"Plants"
