Date,Trap,Bees,Diptera,Coleoptera,Hemiptera,Lepidoptera,Ants,Wasps,Spiders,Neuroptera,Orthoptera
5/12/2016,Blue vane,1,0,0,0,0,0,0,0,0,0
5/12/2016,Bowls,2,0,0,0,0,0,0,0,0,0
5/12/2016,Non-Target,1,0,0,0,0,0,0,0,0,0
5/12/2016,Emergence,0,0,0,0,0,0,0,0,0,0
5/22/2016,Blue vane,12,0,0,0,0,0,0,0,0,0
5/22/2016,Bowls,109,8,1,0,0,0,0,2,0,0
5/22/2016,Non-Target,2,0,0,0,0,0,0,0,0,0
5/22/2016,Emergence,0,2,0,0,0,0,0,0,0,0
6/17/2016,Blue vane,4,10,3,0,1,0,0,0,0,0
6/17/2016,Bowls,25,87,158,0,0,0,1,0,0,0
6/17/2016,Non-Target,1,0,0,0,0,0,0,0,0,0
6/17/2016,Emergence,0,18,0,3,1,2,5,0,0,1
7/25/2016,Blue vane,37,6,0,1,0,0,1,1,0,0
7/25/2016,Bowls,52,7,18,0,3,0,6,0,0,0
7/25/2016,Non-Target,30,0,0,0,0,0,0,0,0,0
7/25/2016,Emergence,0,29,7,8,31,0,36,3,0,8
8/17/2016,Blue vane,4,51,8,0,0,0,0,0,0,0
8/17/2016,Bowls,8,82,124,4,1,0,3,0,0,0
8/17/2016,Non-Target,8,0,0,0,0,0,0,0,0,0
8/17/2016,Emergence,0,0,0,0,0,0,0,0,0,0
,Total,296,300,319,16,37,2,52,6,0,9
