Date,Trap,Bees,Diptera,Coleoptera,Hemiptera,Lepidoptera,Ants,Wasps,Spiders,Neuroptera,Orthoptera
5/4/2016,Blue vane,0,6,2,0,0,0,0,0,0,0
5/4/2016,Bowls,0,3,0,0,0,0,0,0,0,0
5/4/2016,Non-Target,0,0,0,0,0,0,0,0,0,0
5/4/2016,Emergence,0,0,0,0,0,0,0,0,0,0
5/19/2016,Blue vane,17,0,1,0,0,0,0,0,0,0
5/19/2016,Bowls,52,5,1,1,0,0,0,0,0,0
5/19/2016,Non-Target,0,0,0,0,0,0,0,0,0,0
5/19/2016,Emergence,0,0,6,1,0,2,18,2,0,0
6/16/2016,Blue vane,9,0,2,0,0,0,0,0,0,1
6/16/2016,Bowls,37,41,8,18,1,0,0,0,0,0
6/16/2016,Non-Target,3,0,0,0,0,0,0,0,0,0
6/16/2016,Emergence,2,38,32,3,2,8,4,3,0,13
7/22/2016,Blue vane,18,3,3,1,0,0,0,0,0,1
7/22/2016,Bowls,42,25,1,0,0,0,0,0,0,1
7/22/2016,Non-Target,5,0,0,0,0,0,0,0,0,0
7/22/2016,Emergence,5,22,24,22,6,9,96,4,0,7
8/16/2016,Blue vane,10,2,5,0,0,0,0,0,0,2
8/16/2016,Bowls,12,16,2,0,1,0,1,0,0,0
8/16/2016,Non-Target,0,0,0,0,0,0,0,0,0,0
8/16/2016,Emergence,0,13,2,6,0,4,72,2,0,2
,Total,212,174,89,52,10,23,191,11,0,27
