Date,Trap,Bees,Diptera,Coleoptera,Hemiptera,Lepidoptera,Ants,Wasps,Spiders,Neuroptera,Orthoptera
5/15/2016,Blue vane,20,2,0,1,0,0,0,0,0,0
5/15/2016,Bowls,30,36,0,0,2,0,2,0,0,0
5/15/2016,Non-Target,13,0,0,0,0,0,0,0,0,0
5/15/2016,Emergence,0,0,0,0,0,0,0,0,0,0
5/29/2016,Blue vane,20,7,0,0,0,0,0,0,0,0
5/29/2016,Bowls,89,144,2,0,1,0,1,0,0,0
5/29/2016,Non-Target,23,0,0,0,0,0,0,0,0,0
5/29/2016,Emergence,0,25,1,2,0,0,1,2,0,0
6/23/2016,Blue vane,12,9,0,1,1,0,0,0,0,0
6/23/2016,Bowls,47,53,3,1,2,0,1,1,0,2
6/23/2016,Non-Target,9,0,0,0,0,0,0,0,0,0
6/23/2016,Emergence,0,62,16,8,1,3,0,0,0,42
7/27/2016,Blue vane,11,12,1,0,0,0,0,0,0,0
7/27/2016,Bowls,48,44,3,0,0,0,0,0,0,0
7/27/2016,Non-Target,43,0,0,0,0,0,0,0,0,0
7/27/2016,Emergence,1,94,94,131,4,2,3,15,3,13
8/31/2016,Blue vane,6,10,5,0,0,0,1,0,0,1
8/31/2016,Bowls,11,34,10,2,0,0,2,0,0,0
8/31/2016,Non-Target,24,0,0,0,0,0,0,0,0,0
8/31/2016,Emergence,0,46,84,7,2,44,9,2,0,22
,Total,407,578,219,153,13,49,20,20,3,80
