Date,Quadrat,Species,% Cover,"% Bare Ground
(Bee's eye view)","Species in Strip, 
<<<<<<< HEAD
Not in Quadrats",Outside Species
5/15/2016,1,Dandelion (NB),10,5,Field pennycress,White clover
5/15/2016,2,Dandelion (NB),10,0,Shepherd's purse,Common yellow wood sorrel
5/15/2016,3,Dandelion (NB),15,10,Golden alexander,Star of Bethlehem
5/15/2016,4,Dandelion (NB),20,0,Wild mustard,
5/15/2016,5,Dandelion (NB),20,5,,
5/15/2016,6,Dandelion (NB),3,5,,
5/15/2016,7,Dandelion (NB),5,35,,
5/15/2016,8,Dandelion (NB),10,5,,
5/15/2016,9,Dandelion (NB),15,5,,
5/15/2016,10,Dandelion (NB),5,30,,
5/29/2016,1,Dandelion (B),15,5,Dandelion,White clover
5/29/2016,2,Dandelion (B),30,25,White campion,
5/29/2016,3,Dandelion (B),35,10,Red clover,
5/29/2016,3,Red clover (NB),3,10,Golden alexander,
5/29/2016,4,Dandelion (NB),15,0,Yellow sweet clover,
5/29/2016,5,Dandelion (NB),15,10,Common yellow wood sorrel,
5/29/2016,6,Dandelion (NB),5,5,,
5/29/2016,7,Dandelion (NB),10,0,,
5/29/2016,8,Dandelion (NB),5,0,,
5/29/2016,9,Dandelion (NB),3,0,,
5/29/2016,10,Dandelion (NB),3,0,,
6/23/2016,1,Gray-headed coneflower,7,5,Yellow sweet clover,Birdsfoot trefoil
6/23/2016,1,White clover,6,5,Red clover,
6/23/2016,1,Dandelion,5,5,Common milkweed,
6/23/2016,2,Dandelion,5,5,Carolina horsenettle,
6/23/2016,2,Gray-headed coneflower,5,5,Deptford pink,
6/23/2016,3,Dandelion,3,3,White campion,
6/23/2016,3,Canada thistle,5,3,Daisy fleabane,
6/23/2016,4,Canada thistle,10,10,Black eyed Susan,
6/23/2016,4,Dandelion,5,10,Common yellow wood sorrel,
6/23/2016,5,Gray-headed coneflower,10,5,,
6/23/2016,5,Dandelion,3,5,,
6/23/2016,6,Oxeye sunflower,5,3,,
6/23/2016,6,Dandelion,3,3,,
6/23/2016,7,Hoary vervain,5,3,,
6/23/2016,7,Dandelion,10,3,,
6/23/2016,7,Gray-headed coneflower,20,3,,
6/23/2016,8,Yarrow,6,25,,
6/23/2016,8,Dandelion,10,25,,
6/23/2016,9,Gray-headed coneflower,15,0,,
6/23/2016,9,Canada thistle,6,0,,
6/23/2016,9,Dandelion,10,0,,
6/23/2016,10,Canada thistle,25,10,,
7/27/2016,1,Gray-headed coneflower,20,10,Black eyed Susan,Birdsfoot trefoil
7/27/2016,1,Daisy fleabane,3,10,Cup plant,
7/27/2016,1,Dandelion,3,10,Bee balm,
7/27/2016,2,Carolina horsenettle,10,15,White clover,
7/27/2016,2,Ground cherry,3,15,Iron weed,
7/27/2016,3,Gray-headed coneflower,15,0,Alfalfa,
7/27/2016,3,Sawtooth sunflower,3,0,,
7/27/2016,3,Ground cherry,3,0,,
7/27/2016,3,White campion,15,0,,
7/27/2016,4,Sawtooth sunflower,3,0,,
7/27/2016,4,Canada thistle,5,0,,
7/27/2016,5,Daisy fleabane,3,15,,
7/27/2016,5,White campion,6,15,,
7/27/2016,5,Ashy sunflower,20,15,,
7/27/2016,5,Red clover,3,15,,
7/27/2016,5,Dandelion,25,15,,
7/27/2016,5,Yellow sweet clover,2,15,,
7/27/2016,6,Carolina horsenettle,6,0,,
7/27/2016,6,Gray-headed coneflower,10,0,,
7/27/2016,6,Sawtooth sunflower,35,0,,
7/27/2016,6,Dandelion,3,0,,
7/27/2016,7,Ashy sunflower,30,5,,
7/27/2016,7,Sawtooth sunflower,3,5,,
7/27/2016,8,Gray-headed coneflower,30,0,,
7/27/2016,8,Purple prairie clover,10,0,,
7/27/2016,8,Compass plant,20,0,,
7/27/2016,8,Carolina horsenettle,10,0,,
7/27/2016,9,White campion,5,30,,
7/27/2016,9,Dandelion,5,30,,
7/27/2016,9,Canada thistle,3,30,,
7/27/2016,10,Carolina horsenettle,15,5,,
7/27/2016,10,Dandelion,10,5,,
7/27/2016,10,Canada thistle,15,5,,
8/31/2016,1,Ground cherry,20,0,Bull thistle,Common mullein
8/31/2016,1,Canada goldenrod,5,0,Hoary vervain,White clover
8/31/2016,1,Oxeye sunflower,3,0,Prickly lettuce,
8/31/2016,2,Oxeye sunflower,15,0,Stiff goldenrod,
8/31/2016,3,Oxeye sunflower,15,5,Gray-headed coneflower,
8/31/2016,3,Ground cherry,10,5,,
8/31/2016,4,Oxeye sunflower,25,0,,
8/31/2016,5,Carolina horsenettle,5,0,,
8/31/2016,6,Canada goldenrod,60,3,,
8/31/2016,6,Ground cherry,3,3,,
8/31/2016,7,Ground cherry,50,10,,
8/31/2016,8,Canada goldenrod,60,3,,
8/31/2016,9,Ground cherry,5,0,,
8/31/2016,9,Carolina horsenettle,5,0,,
8/31/2016,10,No blooms,,0,,
=======
Not in Quadrats",Outside Species
5/15/2016,1,Dandelion (NB),10,5,Field pennycress,White clover
5/15/2016,2,Dandelion (NB),10,0,Shepherd's purse,Common yellow wood sorrel
5/15/2016,3,Dandelion (NB),15,10,Golden alexander,Star of Bethlehem
5/15/2016,4,Dandelion (NB),20,0,Wild mustard,
5/15/2016,5,Dandelion (NB),20,5,,
5/15/2016,6,Dandelion (NB),3,5,,
5/15/2016,7,Dandelion (NB),5,35,,
5/15/2016,8,Dandelion (NB),10,5,,
5/15/2016,9,Dandelion (NB),15,5,,
5/15/2016,10,Dandelion (NB),5,30,,
5/29/2016,1,Dandelion (B),15,5,Dandelion,White clover
5/29/2016,2,Dandelion (B),30,25,White campion,
5/29/2016,3,Dandelion (B),35,10,Red clover,
5/29/2016,3,Red clover (NB),3,10,Golden alexander,
5/29/2016,4,Dandelion (NB),15,0,Yellow sweet clover,
5/29/2016,5,Dandelion (NB),15,10,Common yellow wood sorrel,
5/29/2016,6,Dandelion (NB),5,5,,
5/29/2016,7,Dandelion (NB),10,0,,
5/29/2016,8,Dandelion (NB),5,0,,
5/29/2016,9,Dandelion (NB),3,0,,
5/29/2016,10,Dandelion (NB),3,0,,
6/23/2016,1,Gray-headed coneflower,7,5,Yellow sweet clover,Birdsfoot trefoil
6/23/2016,1,White clover,6,5,Red clover,
6/23/2016,1,Dandelion,5,5,Common milkweed,
6/23/2016,2,Dandelion,5,5,Carolina horsenettle,
6/23/2016,2,Gray-headed coneflower,5,5,Deptford pink,
6/23/2016,3,Dandelion,3,3,White campion,
6/23/2016,3,Canada thistle,5,3,Daisy fleabane,
6/23/2016,4,Canada thistle,10,10,Black eyed Susan,
6/23/2016,4,Dandelion,5,10,Common yellow wood sorrel,
6/23/2016,5,Gray-headed coneflower,10,5,,
6/23/2016,5,Dandelion,3,5,,
6/23/2016,6,Oxeye sunflower,5,3,,
6/23/2016,6,Dandelion,3,3,,
6/23/2016,7,Hoary vervain,5,3,,
6/23/2016,7,Dandelion,10,3,,
6/23/2016,7,Gray-headed coneflower,20,3,,
6/23/2016,8,Yarrow,6,25,,
6/23/2016,8,Dandelion,10,25,,
6/23/2016,9,Gray-headed coneflower,15,0,,
6/23/2016,9,Canada thistle,6,0,,
6/23/2016,9,Dandelion,10,0,,
6/23/2016,10,Canada thistle,25,10,,
7/27/2016,1,Gray-headed coneflower,20,10,Black eyed Susan,Birdsfoot trefoil
7/27/2016,1,Daisy fleabane,3,10,Cup plant,
7/27/2016,1,Dandelion,3,10,Bee balm,
7/27/2016,2,Carolina horsenettle,10,15,White clover,
7/27/2016,2,Ground cherry,3,15,Iron weed,
7/27/2016,3,Gray-headed coneflower,15,0,Alfalfa,
7/27/2016,3,Sawtooth sunflower,3,0,,
7/27/2016,3,Ground cherry,3,0,,
7/27/2016,3,White campion,15,0,,
7/27/2016,4,Sawtooth sunflower,3,0,,
7/27/2016,4,Canada thistle,5,0,,
7/27/2016,5,Daisy fleabane,3,15,,
7/27/2016,5,White campion,6,15,,
7/27/2016,5,Ashy sunflower,20,15,,
7/27/2016,5,Red clover,3,15,,
7/27/2016,5,Dandelion,25,15,,
7/27/2016,5,Yellow sweet clover,2,15,,
7/27/2016,6,Carolina horsenettle,6,0,,
7/27/2016,6,Gray-headed coneflower,10,0,,
7/27/2016,6,Sawtooth sunflower,35,0,,
7/27/2016,6,Dandelion,3,0,,
7/27/2016,7,Ashy sunflower,30,5,,
7/27/2016,7,Sawtooth sunflower,3,5,,
7/27/2016,8,Gray-headed coneflower,30,0,,
7/27/2016,8,Purple prairie clover,10,0,,
7/27/2016,8,Compass plant,20,0,,
7/27/2016,8,Carolina horsenettle,10,0,,
7/27/2016,9,White campion,5,30,,
7/27/2016,9,Dandelion,5,30,,
7/27/2016,9,Canada thistle,3,30,,
7/27/2016,10,Carolina horsenettle,15,5,,
7/27/2016,10,Dandelion,10,5,,
7/27/2016,10,Canada thistle,15,5,,
8/31/2016,1,Ground cherry,20,0,Bull thistle,Common mullein
8/31/2016,1,Canada goldenrod,5,0,Hoary vervain,White clover
8/31/2016,1,Oxeye sunflower,3,0,Prickly lettuce,
8/31/2016,2,Oxeye sunflower,15,0,Stiff goldenrod,
8/31/2016,3,Oxeye sunflower,15,5,Gray-headed coneflower,
8/31/2016,3,Ground cherry,10,5,,
8/31/2016,4,Oxeye sunflower,25,0,,
8/31/2016,5,Carolina horsenettle,5,0,,
8/31/2016,6,Canada goldenrod,60,3,,
8/31/2016,6,Ground cherry,3,3,,
8/31/2016,7,Ground cherry,50,10,,
8/31/2016,8,Canada goldenrod,60,3,,
8/31/2016,9,Ground cherry,5,0,,
8/31/2016,9,Carolina horsenettle,5,0,,
8/31/2016,10,No blooms,,0,,
>>>>>>> cf53935e3439b19479429c529a3d9cc1edbe6a5c
