Date,High temp,Average temp,Low temp,Average wind speed,Maximum wind speed,Precipitation
5/1/2016,52,45.9,44,10,18,0.21
5/2/2016,66,52,38,2,6,0.01
5/3/2016,69,55.7,40,8,20,0
5/4/2016,66,56.6,44,11,19,0
5/5/2016,77,58.1,39,3,8,0
5/6/2016,88,71.7,51,12,26,0
5/7/2016,68,62.8,53,9,19,0
5/8/2016,72,60.8,51,6,16,0.03
5/9/2016,65,60.1,55,7,17,0.72
5/10/2016,79,64.4,57,5,12,0.01
5/11/2016,64,58.5,54,4,14,0.14
5/12/2016,65,55.5,48,8,17,0
5/13/2016,66,49.3,43,9,28,0.1
5/14/2016,57,47.4,36,8,19,0
5/15/2016,69,54.5,40,6,15,0
5/16/2016,65,54.5,46,7,15,0
5/17/2016,69,55.8,42,5,15,0
5/18/2016,75,58.4,39,3,11,0
5/19/2016,72,61,47,7,16,0
5/20/2016,72,61.7,50,5,14,0
5/21/2016,78,62.8,43,3,9,0
5/22/2016,82,67.3,46,8,21,0
5/23/2016,76,67.3,61,7,22,0.03
5/24/2016,83,69.3,60,4,15,0.46
5/25/2016,81,71.1,65,6,14,0.71
5/26/2016,84,70.9,60,10,39,0.4
5/27/2016,80,68.1,60,5,29,0.12
5/28/2016,75,67.1,62,10,24,0.11
5/29/2016,85,70.9,57,6,12,0
5/30/2016,88,72.3,60,6,16,0
5/31/2016,73.8,68.3,58.3,6,16,0.8
6/1/2016,75,65.2,54.8,7,21,0
6/2/2016,82,68,51.7,4,14,0
6/3/2016,83.3,73.6,64.8,9,25,0.01
6/4/2016,76.5,67,58.2,11,24,0
6/5/2016,85.4,71.6,55.9,9,24,0
6/6/2016,79.5,69.3,57.5,9,27,0
6/7/2016,76.8,64.6,54.8,4,10,0
6/8/2016,84.5,70.5,54.2,7,22,0
6/9/2016,92.9,81,67.4,13,23,0
6/10/2016,93.6,83.8,73.5,12,27,0
6/11/2016,93.8,83,75.2,10,24,0
6/12/2016,91.2,83.2,74,8,23,0
6/13/2016,93.4,78.8,68,5,38,0.44
6/14/2016,87.6,77.2,69.2,7,22,0.35
6/15/2016,93,79.7,67.8,4,12,0
6/16/2016,87.2,76.5,66,5,14,0
6/17/2016,87.7,78.1,68.6,9,20,0
6/18/2016,86.5,78,68.6,6,19,0
6/19/2016,89.4,79.3,67.4,10,25,0
6/20/2016,84.7,78.5,72.2,6,16,0
6/21/2016,85.7,74.5,65.4,4,15,0.04
6/22/2016,90.7,80.2,69.4,7,21,0
6/23/2016,80.5,71.3,61.7,6,13,0
6/24/2016,86.8,74,59.1,8,22,0
6/25/2016,88.2,81.5,75.5,12,29,0.02
6/26/2016,90.1,79.9,68.3,3,11,0
6/27/2016,92,74.8,62,4,10,0
6/28/2016,84,70.5,57,2,6,0
6/29/2016,80,69,61,4,12,0
6/30/2016,86,73.1,64,4,15,0.29
7/1/2016,80,66.8,53,3,9,0.27
7/2/2016,67,64.1,62,4,12,0
7/3/2016,76,66.7,55,4,12,0.02
7/4/2016,76,67.6,62,3,9,0.01
7/5/2016,90,78.5,66,6,14,0
7/6/2016,88,77.2,67,4,15,0.12
7/7/2016,84,74.2,66,5,14,0.97
7/8/2016,85,72.7,61,3,9,0.09
7/9/2016,86,74.2,58,2,7,0
7/10/2016,83,74.2,65,6,24,0
7/11/2016,91,81.5,67,11,22,0
7/12/2016,89,74.8,65,5,19,1.17
7/13/2016,88,74.4,67,4,10,0.41
7/14/2016,84,71.2,63,4,9,0.53
7/15/2016,75,67.5,57,3,9,0
7/16/2016,83,68.9,55,4,14,0
7/17/2016,88,75,64,6,17,0.05
7/18/2016,87,76.7,68,3,11,0.47
7/19/2016,76,71.6,69,5,24,0.38
7/20/2016,92,80.3,69,8,20,3.53
7/21/2016,92,84.2,76,6,12,0
7/22/2016,92,84.7,76,5,17,0
7/23/2016,90,82.8,77,4,13,0.02
7/24/2016,86,78.5,69,4,12,0
7/25/2016,88,76.3,61,2,9,0
7/26/2016,88,75.6,61,2,7,0
7/27/2016,84,72.3,63,2,7,0
7/28/2016,79,70.7,64,5,16,0
7/29/2016,71,65.7,60,4,12,0
7/30/2016,84,71.7,62,2,6,0
7/31/2016,84,73.3,62,4,10,0
8/1/2016,78,71,67,4,11,0
8/2/2016,89,74.7,67,4,16,0.38
8/3/2016,88,76.5,66,3,12,0.69
8/4/2016,91,79.6,70,6,14,0
8/5/2016,80,70.6,62,5,15,0.05
8/6/2016,80,68.9,60,3,9,0
8/7/2016,80,69.1,62,2,6,0
8/8/2016,80,69.7,57,3,9,0
8/9/2016,87,75.7,63,3,7,0
8/10/2016,91,77.6,69,4,11,0
8/11/2016,89,75.5,68,7,27,0.67
8/12/2016,82,72.7,67,4,11,1.13
8/13/2016,87,72.4,62,3,7,0.1
8/14/2016,84,71.3,60,2,7,0.08
8/15/2016,82,70.3,59,1,6,0
8/16/2016,82,74.8,68,4,12,0
8/17/2016,90,76.1,66,3,10,0.04
8/18/2016,90,77.8,67,6,13,0
8/19/2016,87,74.6,67,4,10,0
8/20/2016,74,65.9,58,5,12,0.7
8/21/2016,80,65,52,3,7,0.37
8/22/2016,81,69.1,58,9,20,0
8/23/2016,81,71.6,62,8,21,0
8/24/2016,84,73.4,65,5,14,0.12
8/25/2016,82,68.8,57,1,4,0.58
8/26/2016,71,63.2,56,3,8,0
8/27/2016,79,67.9,62,3,7,0.06
8/28/2016,90,72,61,3,9,0
8/29/2016,87,72.7,64,2,7,0.42
8/30/2016,79,71.5,67,4,11,0.62
8/31/2016,81,68.1,58,4,11,0
