Date,Site,Trap,Bees,Diptera,Coleoptera,Hemiptera,Lepidoptera,Ants,Wasps,Spiders,Neuroptera,Orthoptera
5/3/2016,Plunkett,Blue vane,4,0,1,0,0,0,0,0,0,0
5/3/2016,Plunkett,Bowls,4,2,1,0,0,0,0,0,0,0
5/3/2016,Plunkett,Non-Target,3,0,0,0,0,0,0,0,0,0
5/3/2016,Bowman,Blue vane,2,0,1,0,0,0,0,0,0,0
5/3/2016,Bowman,Bowls,2,5,1,0,0,0,0,0,0,0
5/3/2016,Bowman,Non-Target,0,0,0,0,0,0,0,0,0,0
5/4/2016,Kaldenberg,Blue vane,3,0,0,0,0,0,0,0,0,0
5/4/2016,Kaldenberg,Bowls,1,5,0,0,0,0,0,0,0,0
5/4/2016,Kaldenberg,Non-Target,1,0,0,0,0,0,0,0,0,0
5/4/2016,McClellan,Blue vane,0,6,2,0,0,0,0,0,0,0
5/4/2016,McClellan,Bowls,0,3,0,0,0,0,0,0,0,0
5/4/2016,McClellan,Non-Target,0,0,0,0,0,0,0,0,0,0
5/12/2016,Sheller,Blue vane,0,3,0,0,0,0,0,0,0,0
5/12/2016,Sheller,Bowls,0,10,0,0,0,0,0,0,0,0
5/12/2016,Sheller,Non-Target,0,0,0,0,0,0,0,0,0,0
5/12/2016,Sloan,Blue vane,1,0,0,0,0,0,0,0,0,0
5/12/2016,Sloan,Bowls,2,0,0,0,0,0,0,0,0,0
5/12/2016,Sloan,Non-Target,1,0,0,0,0,0,0,0,0,0
5/15/2016,Cretsinger,Blue vane,12,4,1,1,0,0,0,0,0,0
5/15/2016,Cretsinger,Bowls,40,61,0,0,0,0,2,0,0,0
5/15/2016,Cretsinger,Non-Target,3,0,0,0,0,0,0,0,0,0
5/15/2016,Peckumn,Blue vane,20,2,0,1,0,0,0,0,0,0
5/15/2016,Peckumn,Bowls,30,36,0,0,2,0,2,0,0,0
5/15/2016,Peckumn,Non-Target,13,0,0,0,0,0,0,0,0,0
5/18/2016,Plunkett,Blue vane,5,1,4,0,0,0,0,0,0,0
5/18/2016,Plunkett,Bowls,28,3,1,1,0,0,1,1,0,0
5/18/2016,Plunkett,Non-Target,5,0,0,0,0,0,0,0,0,0
5/18/2016,Bowman,Blue vane,3,0,0,1,0,0,0,0,0,0
5/18/2016,Bowman,Bowls,14,5,0,0,0,0,1,0,0,0
5/18/2016,Bowman,Non-Target,0,0,0,0,0,0,0,0,0,0
5/19/2016,Kaldenberg,Blue vane,9,0,0,1,0,0,0,0,0,0
5/19/2016,Kaldenberg,Bowls,59,8,0,1,0,0,2,2,0,0
5/19/2016,Kaldenberg,Non-Target,3,0,0,0,0,0,0,0,0,0
5/19/2016,McClellan,Blue vane,17,0,1,0,0,0,0,0,0,0
5/19/2016,McClellan,Bowls,52,5,1,1,0,0,0,0,0,0
5/19/2016,McClellan,Non-Target,0,0,0,0,0,0,0,0,0,0
5/22/2016,Sheller,Blue vane,4,0,0,0,0,0,0,0,0,0
5/22/2016,Sheller,Bowls,31,8,0,0,0,0,0,0,0,0
5/22/2016,Sheller,Non-Target,4,0,0,0,0,0,0,0,0,0
5/22/2016,Sloan,Blue vane,12,0,0,0,0,0,0,0,0,0
5/22/2016,Sloan,Bowls,109,8,1,0,0,0,0,2,0,0
5/22/2016,Sloan,Non-Target,2,0,0,0,0,0,0,0,0,0
5/29/2016,Cretsinger,Blue vane,45,14,0,0,0,0,0,0,0,0
5/29/2016,Cretsinger,Bowls,123,70,1,0,0,0,0,2,0,0
5/29/2016,Cretsinger,Non-Target,17,0,0,0,0,0,0,0,0,0
5/29/2016,Peckumn,Blue vane,20,7,0,0,0,0,0,0,0,0
5/29/2016,Peckumn,Bowls,89,144,2,0,1,0,1,0,0,0
5/29/2016,Peckumn,Non-Target,23,0,0,0,0,0,0,0,0,0
6/15/2016,Plunkett,Blue vane,9,2,5,0,0,0,0,0,0,0
6/15/2016,Plunkett,Bowls,30,34,60,1,0,0,0,0,0,1
6/15/2016,Plunkett,Non-Target,3,0,0,0,0,0,0,0,0,0
6/15/2016,Bowman,Blue vane,15,2,0,0,0,0,0,1,0,0
6/15/2016,Bowman,Bowls,24,6,6,0,2,0,0,1,0,0
6/15/2016,Bowman,Non-Target,1,0,0,0,0,0,0,0,0,0
