Date,Trap,Bees,Diptera,Coleoptera,Hemiptera,Lepidoptera,Ants,Wasps,Spiders,Neuroptera,Orthoptera
5/4/2016,Blue vane,3,0,0,0,0,0,0,0,0,0
5/4/2016,Bowls,1,5,0,0,0,0,0,0,0,0
5/4/2016,Non-Target,1,0,0,0,0,0,0,0,0,0
5/4/2016,Emergence,0,0,0,0,0,0,0,0,0,0
5/19/2016,Blue vane,9,0,0,1,0,0,0,0,0,0
5/19/2016,Bowls,59,8,0,1,0,0,2,2,0,0
5/19/2016,Non-Target,3,0,0,0,0,0,0,0,0,0
5/19/2016,Emergence,1,8,1,0,0,0,0,4,0,0
6/16/2016,Blue vane,8,3,0,0,2,1,0,0,0,0
6/16/2016,Bowls,19,12,7,0,3,1,0,1,0,0
6/16/2016,Non-Target,7,0,0,0,0,0,0,0,0,0
6/16/2016,Emergence,0,35,23,4,5,11,0,9,0,1
7/21/2016,Blue vane,42,1,2,0,0,0,0,0,0,1
7/21/2016,Bowls,78,16,2,1,0,0,2,1,0,0
7/21/2016,Non-Target,46,0,0,0,0,0,0,0,0,0
7/21/2016,Emergence,1,21,42,19,7,3,3,2,5,6
8/16/2016,Blue vane,5,2,0,1,0,0,0,0,0,0
8/16/2016,Bowls,8,11,2,6,0,0,1,0,0,0
8/16/2016,Non-Target,16,0,0,0,0,0,0,0,0,0
8/16/2016,Emergence,0,45,17,4,5,41,6,1,0,12
,Total,307,167,96,37,22,57,14,20,5,20
