Date,Trap,Bees,Diptera,Coleoptera,Hemiptera,Lepidoptera,Ants,Wasps,Spiders,Neuroptera,Orthoptera
5/3/2016,Blue vane,4,0,1,0,0,0,0,0,0,0
5/3/2016,Bowls,4,2,1,0,0,0,0,0,0,0
5/3/2016,Non-Target,3*,0,0,0,0,0,0,0,0,0
5/3/2016,Emergence,0,0,0,0,0,0,0,0,0,0
5/18/2016,Blue vane,5,1,4,0,0,0,0,0,0,0
5/18/2016,Bowls,28,3,1,1,0,0,1,1,0,0
5/18/2016,Non-Target,5,0,0,0,0,0,0,0,0,0
5/18/2016,Emergence,1,19,3,1,0,0,1,1,0,0
6/15/2016,Blue vane,9,2,5,0,0,0,0,0,0,0
6/15/2016,Bowls,30,34,60,1,0,0,0,0,0,1
6/15/2016,Non-Target,3,0,0,0,0,0,0,0,0,0
6/15/2016,Emergence,0,231,8,134,7,2,33,4,0,1
7/20/2016,Blue vane,34,0,5,3,0,0,0,0,0,1
7/20/2016,Bowls,141,22,0,5,0,0,3,3,0,0
7/20/2016,Non-Target,90,0,0,0,0,0,0,0,0,0
7/20/2016,Emergence,1,88,40,434,13,1,22,7,12,3
8/14/2016,Blue vane,21,2,3,1,0,0,0,0,0,1
8/14/2016,Bowls,33,15,2,6,2,0,7,0,0,0
8/14/2016,Non-Target,380,0,0,0,0,0,0,0,0,0
8/14/2016,Emergence,7,32,11,33,46,1,4,12,2,9
,Total,796,451,144,619,68,4,71,28,14,16
