Date,Trap,Bees,Diptera,Coleoptera,Hemiptera,Lepidoptera,Ants,Wasps,Spiders,Neuroptera,Orthoptera
5/3/2016,Blue vane,2,0,1,0,0,0,0,0,0,0
5/3/2016,Bowls,2,5,1,0,0,0,0,0,0,0
5/3/2016,Non-Target,0,0,0,0,0,0,0,0,0,0
5/3/2016,Emergence,0,0,0,0,0,0,0,0,0,0
5/18/2016,Blue vane,3,0,0,1,0,0,0,0,0,0
5/18/2016,Bowls,14,5,0,0,0,0,1,0,0,0
5/18/2016,Non-Target,0,0,0,0,0,0,0,0,0,0
5/18/2016,Emergence,0,3,2,0,0,0,1,0,0,0
6/15/2016,Blue vane,15,2,0,0,0,0,0,1,0,0
6/15/2016,Bowls,24,6,6,0,2,0,0,1,0,0
6/15/2016,Non-Target,1,0,0,0,0,0,0,0,0,0
6/15/2016,Emergence,1,17,3,0,4,0,0,0,0,2
7/20/2016,Blue vane,6,6,0,0,0,0,0,0,0,2
7/20/2016,Bowls,5,22,2,1,3,1,5,1,0,0
7/20/2016,Non-Target,1,0,0,0,0,0,0,0,0,0
7/20/2016,Emergence,0,10,3,9,19,0,11,2,0,1
8/15/2016,Blue vane,2,7,4,0,0,0,0,0,0,0
8/15/2016,Bowls,1,51,6,0,1,0,1,0,0,0
8/15/2016,Non-Target,1,0,0,0,0,0,0,0,0,0
8/15/2016,Emergence,0,5,3,1,4,1,0,2,0,3
,Total,78,139,31,12,33,2,19,7,0,8
