Date,Site,# Bees,# Vials
5/3/2016,Plunkett,0,0
5/3/2016,Bowman,0,0
5/4/2016,Kaldenberg,0,0
5/4/2016,McClellan,0,0
5/12/2016,Sloan,0,0
5/12/2016,Sheller,0,0
5/15/2016,Cretsinger,24,24
5/15/2016,Peckumn,17,16
5/18/2016,Plunkett,2,2
5/18/2016,Bowman,0,0
5/19/2016,Kaldenberg,1,1
5/19/2016,McClellan,0,0
5/22/2016,Sloan,3,3
5/22/2016,Sheller,0,0
5/29/2016,Cretsinger,37,23
5/29/2016,Peckumn,18,16
6/15/2016,Plunkett,6,6
6/16/2016,Bowman,0,0
6/16/2016,Kaldenberg,2,2
6/16/2016,McClellan,1,1
6/17/2016,Sloan,0,0
6/21/2016,Sheller,0,0
6/22/2016,Cretsinger,3,3
6/23/2016,Peckumn,10,10
7/20/2016,Plunkett,35,33
7/20/2016,Bowman,0,0
7/21/2016,Kaldenberg,26,26
7/22/2016,McClellan,1,1
7/25/2016,Sloan,8,8
7/26/2016,Sheller,3,3
7/27/2016,Cretsinger,21,21
7/27/2016,Peckumn,14,14
8/5/2016,Cretsinger,16,16
8/14/2016,Plunkett,50,44
8/15/2016,Bowman,0,0
8/16/2016,Kaldenberg,4,4
8/16/2016,McClellan,1,1
8/17/2016,Sloan,9,9
8/18/2016,Sheller,12,12
8/22/2016,Cretsinger,8,8
8/31/2016,Peckumn,26,25
,Total,358,332
