Number,Date,Site,Trap,Sex,Family,Genus,Species,Binomial,Notes
8109,5/3/2016,Plunkett,Blue vane,F,Halictidae,Augochlorella,aurata,Augochlorella aurata,
8110,5/3/2016,Plunkett,Blue vane,F,Halictidae,Augochlorella,aurata,Augochlorella aurata,
8111,5/3/2016,Plunkett,Blue vane,F,Halictidae,Lasioglossum s.s.,paraforbesii,Lasioglossum s.s. paraforbesii,
8112,5/3/2016,Plunkett,Blue vane,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8113,5/3/2016,Plunkett,Bowls,F,Halictidae,Augochlorella,aurata,Augochlorella aurata,
8114,5/3/2016,Plunkett,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8115,5/3/2016,Plunkett,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8116,5/3/2016,Plunkett,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8117,5/3/2016,Plunkett,NT,F,Halictidae,Augochlorella,aurata,Augochlorella aurata,
8118,5/3/2016,Plunkett,NT,F,Halictidae,Augochlorella,aurata,Augochlorella aurata,
8119,5/3/2016,Plunkett,NT,M,Andrenidae,Andrena,,Andrena spp.,
8120,5/3/2016,Bowman,Blue vane,F,Halictidae,Lasioglossum s.s.,paraforbesii,Lasioglossum s.s. paraforbesii,
8121,5/3/2016,Bowman,Blue vane,F,Halictidae,Lasioglossum s.s.,paraforbesii,Lasioglossum s.s. paraforbesii,
8122,5/3/2016,Bowman,Bowls,F,Apidae,Bombus,impatiens,Bombus impatiens,
8123,5/3/2016,Bowman,Bowls,F,Halictidae,Lasioglossum s.s.,paraforbesii,Lasioglossum s.s. paraforbesii,
8124,5/4/2016,Kaldenberg,Blue vane,F,Halictidae,Lasioglossum (Evylaeus),quebecense,Lasioglossum (Evylaeus) quebecense,
8125,5/4/2016,Kaldenberg,Blue vane,F,Apidae,Ceratina,,Ceratina spp.,
8126,5/4/2016,Kaldenberg,Blue vane,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8127,5/4/2016,Kaldenberg,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8128,5/4/2016,Kaldenberg,NT,M,Apidae,Nomada,parva,Nomada parva,
8129,5/12/2016,Sloan,Blue vane,F,Halictidae,Lasioglossum s.s.,paraforbesii,Lasioglossum s.s. paraforbesii,
8130,5/12/2016,Sloan,Bowls,F,Halictidae,Lasioglossum s.s.,coriaceum,Lasioglossum s.s. coriaceum,
8131,5/12/2016,Sloan,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8132,5/12/2016,Sloan,NT,M,Andrenidae,Andrena,,Andrena spp.,Andrena cressonii cressonii
8133,5/15/2016,Cretsinger,Blue vane,F,Halictidae,Agapostemon,virescens,Agapostemon virescens,
8134,5/15/2016,Cretsinger,Blue vane,F,Halictidae,Lasioglossum s.s.,coriaceum,Lasioglossum s.s. coriaceum,
8135,5/15/2016,Cretsinger,Blue vane,M,Megachilidae,Hoplitis,producta or pilosifrons,,
8136,5/15/2016,Cretsinger,Blue vane,M,Megachilidae,Hoplitis,pilosifrons,Hoplitus pilosiforns,
8137,5/15/2016,Cretsinger,Blue vane,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8138,5/15/2016,Cretsinger,Blue vane,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8139,5/15/2016,Cretsinger,Blue vane,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8140,5/15/2016,Cretsinger,Blue vane,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8141,5/15/2016,Cretsinger,Blue vane,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8142,5/15/2016,Cretsinger,Blue vane,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8143,5/15/2016,Cretsinger,Blue vane,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8144,5/15/2016,Cretsinger,Blue vane,M,Apidae,Ceratina,calcarata,Ceratina calcarata,
8145,5/15/2016,Cretsinger,Bowls,F,Halictidae,Halictus,rubicundus,Halictus rubicundus,
8146,5/15/2016,Cretsinger,Bowls,F,Halictidae,Halictus,parallelus,Halictus parallelus,
8147,5/15/2016,Cretsinger,Bowls,F,Halictidae,Agapostemon,virescens,Agapostemon virescens,
8148,5/15/2016,Cretsinger,Bowls,F,Halictidae,Agapostemon,virescens,Agapostemon virescens,
8149,5/15/2016,Cretsinger,Bowls,F,Halictidae,Agapostemon,virescens,Agapostemon virescens,
8150,5/15/2016,Cretsinger,Bowls,F,Halictidae,Halictus,ligatus,Halictus ligatus,
8151,5/15/2016,Cretsinger,Bowls,F,Halictidae,Agapostemon,texanus,Agapostemon texanus,
8152,5/15/2016,Cretsinger,Bowls,F,Halictidae,Halictus,ligatus,Halictus ligatus,
8153,5/15/2016,Cretsinger,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8154,5/15/2016,Cretsinger,Bowls,F,Halictidae,Augochlorella,aurata,Augochlorella aurata,
8155,5/15/2016,Cretsinger,Bowls,F,Halictidae,Augochlorella,aurata,Augochlorella aurata,
8156,5/15/2016,Cretsinger,Bowls,F,Halictidae,Augochlorella,aurata,Augochlorella aurata,
8157,5/15/2016,Cretsinger,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8158,5/15/2016,Cretsinger,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8159,5/15/2016,Cretsinger,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8160,5/15/2016,Cretsinger,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8161,5/15/2016,Cretsinger,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8162,5/15/2016,Cretsinger,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8163,5/15/2016,Cretsinger,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8164,5/15/2016,Cretsinger,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8165,5/15/2016,Cretsinger,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8166,5/15/2016,Cretsinger,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8167,5/15/2016,Cretsinger,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8168,5/15/2016,Cretsinger,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8169,5/15/2016,Cretsinger,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8170,5/15/2016,Cretsinger,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8171,5/15/2016,Cretsinger,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8172,5/15/2016,Cretsinger,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8173,5/15/2016,Cretsinger,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8174,5/15/2016,Cretsinger,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8175,5/15/2016,Cretsinger,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8176,5/15/2016,Cretsinger,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8177,5/15/2016,Cretsinger,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8178,5/15/2016,Cretsinger,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8179,5/15/2016,Cretsinger,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8180,5/15/2016,Cretsinger,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8181,5/15/2016,Cretsinger,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8182,5/15/2016,Cretsinger,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8183,5/15/2016,Cretsinger,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8184,5/15/2016,Cretsinger,NT,M,Megachilidae,Hoplitis,pilosifrons,Hoplitus pilosifrons,
8185,5/15/2016,Cretsinger,NT,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8186,5/15/2016,Cretsinger,NT,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8187,5/15/2016,Peckumn,Blue vane,M,Megachilidae,Hoplitis,pilosifrons,Hoplitis pilosifrons,
8188,5/15/2016,Peckumn,Blue vane,F,Megachilidae,Hoplitis,producta,Hoplitis producta,
8189,5/15/2016,Peckumn,Blue vane,F,Halictidae,Lasioglossum s.s.,paraforbesii,Lasioglossum s.s. paraforbesii,
8190,5/15/2016,Peckumn,Blue vane,M,Andrenidae,Andrena,crataegi,Andrena crataegi,
8191,5/15/2016,Peckumn,Blue vane,M,Megachilidae,Hoplitis,pilosifrons,Hoplitis pilosifrons,
8192,5/15/2016,Peckumn,Blue vane,F,Halictidae,Augochlorella,aurata,Augochlorella aurata,
8193,5/15/2016,Peckumn,Blue vane,F,Halictidae,Augochlorella,aurata,Augochlorella aurata,
8194,5/15/2016,Peckumn,Blue vane,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8195,5/15/2016,Peckumn,Blue vane,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8196,5/15/2016,Peckumn,Blue vane,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8197,5/15/2016,Peckumn,Blue vane,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8198,5/15/2016,Peckumn,Blue vane,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8199,5/15/2016,Peckumn,Blue vane,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8200,5/15/2016,Peckumn,Blue vane,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8201,5/15/2016,Peckumn,Blue vane,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8202,5/15/2016,Peckumn,Blue vane,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8203,5/15/2016,Peckumn,Blue vane,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8204,5/15/2016,Peckumn,Blue vane,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8205,5/15/2016,Peckumn,Blue vane,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8206,5/15/2016,Peckumn,Blue vane,F,Halictidae,Lasioglossum (Evylaeus),pectorale,Lasioglossum (Evylaeus) pectorale,
8207,5/15/2016,Peckumn,Blue vane,F,Halictidae,Lasioglossum (Evylaeus),pectorale,Lasioglossum (Evylaeus) pectorale,
8208,5/15/2016,Peckumn,Bowls,F,Halictidae,Agapostemon,virescens,Agapostemon virescens,
8209,5/15/2016,Peckumn,Bowls,F,Halictidae,Agapostemon,virescens,Agapostemon virescens,
8210,5/15/2016,Peckumn,Bowls,F,Halictidae,Agapostemon,virescens,Agapostemon virescens,
8211,5/15/2016,Peckumn,Bowls,F,Halictidae,Agapostemon,virescens,Agapostemon virescens,
8212,5/15/2016,Peckumn,Bowls,F,Halictidae,Agapostemon,virescens,Agapostemon virescens,
8213,5/15/2016,Peckumn,Bowls,F,Halictidae,Agapostemon,virescens,Agapostemon virescens,
8214,5/15/2016,Peckumn,Bowls,F,Halictidae,Agapostemon,texanus,Agapostemon texanus,
