Species,Plunkett,Bowman
Agapostemonvirescens,35,16
Andrenaalleghaniensis,1,0
Andrenacommoda,1,5
Andrenacressoniicressonii,1,0
Andrenaimitatrix,1,0
Andrenanuda,1,0
Andrenaspiraeana,1,0
Andrenaspp.,6,0
Andrenawilkella,1,1
Andrenawilmattae,5,0
Apismellifera,61,7
Augochlorellaspp.,74,11
Bombusauricomus,0,1
Bombusbimaculatus,3,2
Bombusgriseocollis,14,1
Bombusimpatiens,6,0
Bombuspensylvanicus,2,0
Bombusspp.,0,1
Bombusvagans,1,0
Eucerahamata,31,79
Halictusligatus,3,2
Halictusparallelus,22,3
Halictusrubicundus,0,1
LasioglossumDialictusspp.,87,15
LasioglossumDialictusspp.orangeabdomen,1,0
LasioglossumEvylaeusspp.,1,0
Lasioglossums.s.athabascense,1,0
Lasioglossums.s.coriaceum,2,0
Lasioglossums.s.paraforbesii,2,0
Lasioglossumspp.,4,0
Megachilebrevis,3,0
Megahcilelatimanus,4,0
Megachilemendica,1,0
Melissodesagilis,1,1
Melissodesbimaculata,25,4
Melissodescommunis,0,1
Melissodescomptoides,0,2
Melissodestrinodis,2,2
Melissodesvernoniae,0,1
Nomadaarticulata,1,0
Nomiaspp.,0,1
Peponapispruinosa,0,1
Spechodesspp.,1,0
Svastraobliqua,1,1
