Date,Quadrat,Species,% Cover,"% Bare Ground
(Bee's eye view)","Species in Strip, 
Not in Quadrats",Outside Species
5/15/2016,1,Dandelion (NB),5,35,Golden alexander,White clover
5/15/2016,2,Dandelion (NB),3,20,,Wild mustard
5/15/2016,3,No blooms,,35,,Field pennycress
5/15/2016,4,No blooms,,10,,Cleavers
5/15/2016,5,No blooms,,25,,
5/15/2016,6,No blooms,,10,,
5/15/2016,7,No blooms,,5,,
5/15/2016,8,No blooms,,5,,
5/15/2016,9,No blooms,,5,,
5/15/2016,10,No blooms,,5,,
5/29/2016,1,No blooms,,25,Dandelion,Daisy fleabane
5/29/2016,2,No blooms,,10,White clover,Meadow anenome
5/29/2016,3,Dandelion (NB),3,45,Golden alexander,Red clover
5/29/2016,4,No blooms,,20,Yellow sweet clover,
5/29/2016,5,No blooms,,3,,
5/29/2016,6,No blooms,,25,,
5/29/2016,7,No blooms,,25,,
5/29/2016,8,No blooms,,10,,
5/29/2016,9,Dandelion (NB),3,25,,
5/29/2016,10,No blooms,,3,,
6/22/2016,1,White clover,15,30,New England aster,
6/22/2016,1,Purple prairie clover,5,30,Wild white indigo,
6/22/2016,1,Daisy fleabane,3,30,Oxeye sunflower,
6/22/2016,1,Black-eyed Susan,3,30,Common yellow wood sorrel,
6/22/2016,2,Purple prairie clover,3,10,Deptford pink,
6/22/2016,2,Red clover,10,10,Yellow sweet clover,
6/22/2016,2,White clover,3,10,Wild parsnip,
6/22/2016,2,Canada thistle,3,10,Field bindweed,
6/22/2016,2,Queen Anne's lace,5,10,,
6/22/2016,3,Queen Anne's lace,15,40,,
6/22/2016,3,Canada thistle,3,40,,
6/22/2016,3,Dandelion,3,40,,
6/22/2016,4,Black-eyed Susan,5,10,,
6/22/2016,4,Queen Anne's lace,10,10,,
6/22/2016,4,Canada thistle,3,10,,
6/22/2016,4,Dandelion,3,10,,
6/22/2016,5,Canada thistle,40,5,,
6/22/2016,6,Canada thistle,15,3,,
6/22/2016,6,Queen Anne's lace,3,3,,
6/22/2016,6,Dandelion,5,3,,
6/22/2016,7,Common milkweed,3,5,,
6/22/2016,7,Canada thistle,25,5,,
6/22/2016,7,Queen Anne's lace,20,5,,
6/22/2016,7,White clover,3,5,,
6/22/2016,8,Black-eyed Susan,3,0,,
6/22/2016,8,Canada thistle,6,0,,
6/22/2016,8,Queen Anne's lace,10,0,,
6/22/2016,9,Canada thistle,10,5,,
6/22/2016,9,Queen Anne's lace,10,5,,
6/22/2016,10,Common milkweed,3,0,,
6/22/2016,10,Queen Anne's lace,15,0,,
6/22/2016,10,Canada thistle,10,0,,
7/27/2016,1,Queen Anne's lace,15,15,White clover,
7/27/2016,1,Canada thistle,10,15,Red clover,
7/27/2016,2,Queen Anne's lace,10,10,White sweet clover,
7/27/2016,2,White campion,15,10,Yellow sweet clover,
7/27/2016,3,Canada goldenrod,40,50,Ashy sunflower,
7/27/2016,3,Canada thistle,20,50,Purple prairie clover,
7/27/2016,4,Gray-headed coneflower,5,40,Daisy fleabane,
7/27/2016,4,Canada thistle,15,40,New England aster,
7/27/2016,4,Sawtooth sunflower,25,40,,
7/27/2016,4,Canada goldenrod,15,40,,
7/27/2016,5,Canada thistle,10,20,,
7/27/2016,5,Cup plant,3,20,,
7/27/2016,5,Canada goldenrod,5,20,,
7/27/2016,6,Canada goldenrod,3,5,,
7/27/2016,6,Queen Anne's lace,15,5,,
7/27/2016,6,Ground cherry,3,5,,
7/27/2016,6,Sawtooth sunflower,15,5,,
7/27/2016,6,Canada thistle,15,5,,
7/27/2016,6,Rattlesnake master,3,5,,
7/27/2016,7,Canada thistle,20,5,,
7/27/2016,7,Cup plant,3,5,,
7/27/2016,7,Queen Anne's lace,15,5,,
7/27/2016,7,Gray-headed coneflower,3,5,,
7/27/2016,7,Black-eyed Susan,3,5,,
7/27/2016,8,Bee balm,10,20,,
7/27/2016,8,Sawtooth sunflower,30,20,,
7/27/2016,8,Canada thistle,5,20,,
7/27/2016,8,Queen Anne's lace,3,20,,
7/27/2016,9,Queen Anne's lace,5,3,,
7/27/2016,9,Black-eyed Susan,3,3,,
7/27/2016,9,Canada thistle,3,3,,
7/27/2016,10,Queen Anne's lace,10,5,,
7/27/2016,10,Hoary vervain,3,5,,
7/27/2016,10,Gray-headed coneflower,5,5,,
7/27/2016,10,White campion,5,5,,
7/27/2016,10,Black-eyed Susan,5,5,,
8/5/2016,1,Canada thistle,10,10,Black eyed Susan,Common mullein
8/5/2016,1,Queen Anne's lace,10,10,Rattlesnake master,Carolina horsenettle
8/5/2016,2,No blooms,,5,Hoary vervain,Ground cherry
8/5/2016,3,Canada thistle,20,15,Purple prairie clover,Chickory
8/5/2016,3,Gray-headed coneflower,3,15,White sweet clover,Field bindweed
8/5/2016,4,Canada thistle,10,25,White clover,Ivyleaf morningglory
8/5/2016,4,Canada goldenrod,50,25,Red clover,Evening primrose
8/5/2016,4,Dodder,40,25,Daisy fleabane,Buffalobur
8/5/2016,5,Gray-headed coneflower,3,25,Prickly lettuce,Prairie blazing star
8/5/2016,5,Queen Anne's lace,10,25,Alfalfa,
8/5/2016,5,Canada goldenrod,10,25,Bee balm,
8/5/2016,5,Canada thistle,15,25,Great blue lobelia,
8/5/2016,6,Canada thistle,15,0,,
8/5/2016,7,Canada goldenrod,20,5,,
8/5/2016,7,Prickly lettuce,3,5,,
8/5/2016,7,Canada thistle,3,5,,
8/5/2016,8,Canada thistle,15,5,,
8/5/2016,8,Queen Anne's lace,10,5,,
8/5/2016,8,Canada goldenrod,15,5,,
8/5/2016,9,Queen Anne's lace,15,3,,
8/5/2016,9,Canada goldenrod,10,3,,
8/5/2016,9,Canada thistle,10,3,,
8/5/2016,9,Cup plant,3,3,,
8/5/2016,10,Queen Anne's lace,30,0,,
8/5/2016,10,Canada thistle,5,0,,
8/22/2016,1,Stiff goldenrod,20,10,Bull thistle,Field bindweed
8/22/2016,1,Cup plant,3,10,Daisy fleabane,Chickory
8/22/2016,1,Queen Anne's lace,5,10,New England aster,White clover
8/22/2016,1,Sawtooth sunflower,25,10,Rattlesnake master,
8/22/2016,2,Sawtooth sunflower,25,5,Purple prairie clover,
8/22/2016,2,Gray-headed coneflower,5,5,Yellow sweet clover,
8/22/2016,2,Queen Anne's lace,10,5,White sweet clover,
8/22/2016,3,Sawtooth sunflower,15,3,Biennial guara,
8/22/2016,3,Stiff goldenrod,10,3,,
8/22/2016,3,Queen Anne's lace,5,3,,
8/22/2016,3,Gray-headed coneflower,6,3,,
8/22/2016,4,Queen Anne's lace,10,20,,
8/22/2016,4,Ground cherry,3,20,,
8/22/2016,5,Canada goldenrod,80,0,,
8/22/2016,5,Dodder,80,0,,
8/22/2016,5,Oxeye sunflower,15,0,,
8/22/2016,6,Canada goldenrod,20,5,,
8/22/2016,6,Queen Anne's lace,3,5,,
8/22/2016,6,Canada thistle,15,5,,
8/22/2016,7,Stiff goldenrod,15,0,,
8/22/2016,7,Queen Anne's lace,10,0,,
8/22/2016,7,Gray-headed coneflower,3,0,,
8/22/2016,7,Dandelion,5,0,,
8/22/2016,7,Canada thistle,10,0,,
8/22/2016,8,Canada goldenrod,50,15,,
8/22/2016,8,Sawtooth sunflower,5,15,,
8/22/2016,8,Canada thistle,15,15,,
8/22/2016,9,Canada goldenrod,5,0,,
8/22/2016,9,Stiff goldenrod,20,0,,
8/22/2016,9,Canada thistle,5,0,,
8/22/2016,9,Queen Anne's lace,5,0,,
8/22/2016,9,Gray-headed coneflower,3,0,,
8/22/2016,10,Canada goldenrod,50,5,,
8/22/2016,10,Queen Anne's lace,10,5,,
8/22/2016,10,Dandelion,3,5,,
