Date,Quadrat,Species,% Cover,"% Bare Ground
(Bee's eye view)","Species in Strip, 
Not in Quadrats",Outside Species
5/3/2016,1,No blooms,,5,,
5/3/2016,2,No blooms,,5,,
5/3/2016,3,No blooms,,0,,
5/3/2016,4,Dandelion,2,0,,
5/3/2016,5,No blooms,,5,,
5/3/2016,6,No blooms,,5,,
5/3/2016,7,No blooms,,0,,
5/3/2016,8,No blooms,,0,,
5/3/2016,9,No blooms,,5,,
5/3/2016,10,No blooms,,5,,
5/18/2016,1,White clover ,3,5,Red clover,Wild mustard
5/18/2016,1,Dandelion ,5,5,,
5/18/2016,2,White clover ,20,5,,
5/18/2016,2,Dandelion ,5,5,,
5/18/2016,3,White clover ,45,3,,
5/18/2016,4,No blooms,,0,,
5/18/2016,5,White clover ,15,5,,
5/18/2016,6,White clover ,15,5,,
5/18/2016,6,Dandelion ,3,5,,
5/18/2016,7,No blooms,,3,,
5/18/2016,8,No blooms,,0,,
5/18/2016,9,White clover ,3,5,,
5/18/2016,10,No blooms,,0,,
6/15/2016,1,Wild parsnip,5,0,Canada thistle,Common daylily
6/15/2016,1,Field bindweed,15,0,,
6/15/2016,1,Birdsfoot trefoil,10,0,,
6/15/2016,2,Red clover,10,0,,
6/15/2016,2,Birdsfoot trefoil,25,0,,
6/15/2016,2,Common milkweed,3,0,,
6/15/2016,2,Field bindweed,5,0,,
6/15/2016,2,Dogbane,5,0,,
6/15/2016,3,White clover,25,0,,
6/15/2016,3,Wild parsnip,5,0,,
6/15/2016,3,Field bindweed,3,0,,
6/15/2016,4,Birdsfoot trefoil,30,0,,
6/15/2016,4,Common milkweed,5,0,,
6/15/2016,4,Field bindweed,3,0,,
6/15/2016,5,Red clover,55,0,,
6/15/2016,5,Wild parsnip,7,0,,
6/15/2016,5,Field bindweed,3,0,,
6/15/2016,6,Daisy fleabane,5,3,,
6/15/2016,6,Red clover,10,3,,
6/15/2016,6,Common milkweed,3,3,,
6/15/2016,6,Wild parsnip,5,3,,
6/15/2016,6,Field bindweed,5,3,,
6/15/2016,7,Birdsfoot trefoil,15,0,,
6/15/2016,7,Red clover,15,0,,
6/15/2016,7,Field bindweed,4,0,,
6/15/2016,7,Wild parsnip,3,0,,
6/15/2016,8,Red clover,10,0,,
6/15/2016,8,Wild parsnip,5,0,,
6/15/2016,8,Field bindweed,7,0,,
6/15/2016,9,Birdsfoot trefoil,10,0,,
6/15/2016,9,Red clover,10,0,,
6/15/2016,9,Field bindweed,5,0,,
6/15/2016,9,Wild parsnip,3,0,,
6/15/2016,10,Wild parsnip,5,0,,
6/15/2016,10,Field bindweed,7,0,,
6/15/2016,10,Red clover,5,0,,
7/20/2016,1,Birdsfoot trefoil,15,0,Yellow sweet clover,Common daylily
7/20/2016,1,Bull thistle,10,0,Black eyed Susan,White sweet clover
7/20/2016,1,Bee balm,20,0,Velvet leaf,American black elderberry
7/20/2016,2,Bull thistle,3,3,,Common milkweed
7/20/2016,2,Red clover,15,3,,White clover
7/20/2016,2,Queen Anne's lace,40,3,,
7/20/2016,3,Birdsfoot trefoil,50,0,,
7/20/2016,3,Queen Anne's lace,3,0,,
7/20/2016,4,Red clover,15,0,,
7/20/2016,4,Field bindweed,5,0,,
7/20/2016,4,Bull thistle,3,0,,
7/20/2016,4,Carolina horsenettle,3,0,,
7/20/2016,5,Queen Anne's lace,5,0,,
7/20/2016,5,Field bindweed,10,0,,
7/20/2016,5,Bull thistle,10,0,,
7/20/2016,6,Canada thistle,75,0,,
7/20/2016,6,Red clover,20,0,,
7/20/2016,6,Field bindweed,10,0,,
7/20/2016,7,Queen Anne's lace,30,0,,
7/20/2016,7,Birdsfoot trefoil,10,0,,
7/20/2016,7,Red clover,10,0,,
7/20/2016,7,Field bindweed,10,0,,
7/20/2016,8,Daisy fleabane,10,0,,
7/20/2016,8,Queen Anne's lace,20,0,,
7/20/2016,8,Red clover,10,0,,
7/20/2016,8,Field bindweed,15,0,,
7/20/2016,8,White vervain,3,0,,
7/20/2016,9,Bull thistle,10,35,,
7/20/2016,9,Queen Anne's lace,15,35,,
7/20/2016,9,Red clover,10,35,,
7/20/2016,9,Field bindweed,5,35,,
7/20/2016,10,Queen Anne's lace,25,0,,
7/20/2016,10,Canada thistle,15,0,,
7/20/2016,10,Red clover,10,0,,
7/20/2016,10,Field bindweed,15,0,,
8/14/2016,1,Queen Anne's lace,25,0,Evening primrose,Oxeye sunflower
8/14/2016,1,Field bindweed,30,0,Ground cherry,Velvet leaf
8/14/2016,1,Red clover,25,0,Bee balm,Common vetch
8/14/2016,2,Canada goldenrod,35,0,,Soapwort
8/14/2016,2,Red clover,15,0,,White clover
8/14/2016,2,Field bindweed,25,0,,
8/14/2016,3,Red clover,10,5,,
8/14/2016,3,Field bindweed,10,5,,
8/14/2016,4,Bull thistle,6,0,,
8/14/2016,4,Red clover,25,0,,
8/14/2016,4,Field bindweed,25,0,,
8/14/2016,5,Canada goldenrod,75,3,,
8/14/2016,5,Red clover,10,3,,
8/14/2016,5,Field bindweed,5,3,,
8/14/2016,6,Field bindweed,10,0,,
8/14/2016,6,Queen Anne's lace,10,0,,
8/14/2016,6,Canada goldenrod,20,0,,
8/14/2016,6,Birdsfoot trefoil,55,0,,
8/14/2016,7,Bull thistle,10,5,,
8/14/2016,7,Canada goldenrod,35,5,,
8/14/2016,7,Dandelion,3,5,,
8/14/2016,7,Red clover,10,5,,
8/14/2016,7,Field bindweed,20,5,,
8/14/2016,8,Bull thistle,5,10,,
8/14/2016,8,Birdsfoot trefoil,30,10,,
8/14/2016,8,Field bindweed,5,10,,
8/14/2016,9,Canada goldenrod,30,0,,
8/14/2016,9,Red clover,10,0,,
8/14/2016,9,Bull thistle,3,0,,
8/14/2016,9,Daisy fleabane,3,0,,
8/14/2016,10,Canada goldenrod,55,0,,
8/14/2016,10,Carolina horsenettle,3,0,,
8/14/2016,10,Red clover,10,0,,
