Date,Quadrat,Species,% Cover,"% Bare Ground
(Bee's eye view)","Species in Strip, 
Not in Quadrats",Outside Species
5/12/2016,1,Dandelion ,1,25,Honeysuckle,
5/12/2016,2,No blooms,,20,,
5/12/2016,3,No blooms,,15,,
5/12/2016,4,No blooms,,20,,
5/12/2016,5,No blooms,,10,,
5/12/2016,6,Dandelion ,15,10,,
5/12/2016,7,No blooms,,10,,
5/12/2016,8,Cleavers,1,5,,
5/12/2016,9,No blooms,,5,,
5/12/2016,10,No blooms,,0,,
5/22/2016,1,No blooms,,5,Honeysuckle,
5/22/2016,2,No blooms,,20,,
5/22/2016,3,No blooms,,0,,
5/22/2016,4,Dandelion ,5,0,,
5/22/2016,5,No blooms,,0,,
5/22/2016,6,No blooms,,5,,
5/22/2016,7,Dandelion ,7,0,,
5/22/2016,8,No blooms,,3,,
5/22/2016,9,No blooms,,0,,
5/22/2016,10,No blooms,,0,,
6/21/2016,1,Common milkweed,3,5,Alfalfa,Field bindweed
6/21/2016,1,Dandelion,3,5,,Dandelion
6/21/2016,2,Dandelion,5,5,,
6/21/2016,2,Field bindweed,3,5,,
6/21/2016,3,Common milkweed,5,3,,
6/21/2016,4,No blooms,,0,,
6/21/2016,5,No blooms,,0,,
6/21/2016,6,No blooms,,0,,
6/21/2016,7,No blooms,,0,,
6/21/2016,8,No blooms,,5,,
6/21/2016,9,No blooms,,5,,
6/21/2016,10,No blooms,,0,,
7/26/2016,1,Common milkweed,3,3,Alfalfa,
7/26/2016,1,Field bindweed,10,3,,
7/26/2016,1,Ground cherry,10,3,,
7/26/2016,2,Ground cherry,30,0,,
7/26/2016,2,Field bindweed,3,0,,
7/26/2016,2,Common milkweed,6,0,,
7/26/2016,3,Field bindweed,5,3,,
7/26/2016,4,Common milkweed,3,0,,
7/26/2016,5,No blooms,,0,,
7/26/2016,6,Common milkweed,3,2,,
7/26/2016,7,No blooms,,0,,
7/26/2016,8,No blooms,,3,,
7/26/2016,9,No blooms,,0,,
7/26/2016,10,No blooms,,5,,
8/18/2016,1,Ground cherry,15,5,Canada goldenrod,Wild cucumber
8/18/2016,1,Common milkweed,3,5,Alfalfa,Pennsylvania smartweed
8/18/2016,1,Field bindweed,3,5,,
8/18/2016,2,Field bindweed,15,3,,
8/18/2016,2,Common milkweed,3,3,,
8/18/2016,2,Dandelion,5,3,,
8/18/2016,3,Common milkweed,3,5,,
8/18/2016,4,Common milkweed,10,0,,
8/18/2016,5,No blooms,,0,,
8/18/2016,6,Dandelion,3,3,,
8/18/2016,7,Ground cherry,30,5,,
8/18/2016,8,No blooms,,3,,
8/18/2016,9,No blooms,,0,,
8/18/2016,10,No blooms,,0,,
