Date,Site,Quadrat,Species,% Cover,"% Bare Ground
(Bee's eye view)","Species in Strip, 
Not in Quadrats",Outside Species
5/3/2016,Plunkett,1,No blooms,,5,,
5/3/2016,Plunkett,2,No blooms,,5,,
5/3/2016,Plunkett,3,No blooms,,0,,
5/3/2016,Plunkett,4,Dandelion,2,0,,
5/3/2016,Plunkett,5,No blooms,,5,,
5/3/2016,Plunkett,6,No blooms,,5,,
5/3/2016,Plunkett,7,No blooms,,0,,
5/3/2016,Plunkett,8,No blooms,,0,,
5/3/2016,Plunkett,9,No blooms,,5,,
5/3/2016,Plunkett,10,No blooms,,5,,
5/3/2016,Bowman,1,No blooms,,0,,Dandelion
5/3/2016,Bowman,2,No blooms,,0,,
5/3/2016,Bowman,3,No blooms,,10,,
5/3/2016,Bowman,4,No blooms,,10,,
5/3/2016,Bowman,5,No blooms,,0,,
5/3/2016,Bowman,6,No blooms,,0,,
5/3/2016,Bowman,7,No blooms,,0,,
5/3/2016,Bowman,8,No blooms,,0,,
5/3/2016,Bowman,9,No blooms,,0,,
5/3/2016,Bowman,10,No blooms,,0,,
5/4/2016,Kaldenberg,1,No blooms,,0,Field pennycress,Dandelion
5/4/2016,Kaldenberg,2,No blooms,,5,,Wild mustard
5/4/2016,Kaldenberg,3,No blooms,,5,,Shepherd's purse
5/4/2016,Kaldenberg,4,No blooms,,1,,
5/4/2016,Kaldenberg,5,No blooms,,0,,
5/4/2016,Kaldenberg,6,No blooms,,0,,
5/4/2016,Kaldenberg,7,No blooms,,0,,
5/4/2016,Kaldenberg,8,No blooms,,5,,
5/4/2016,Kaldenberg,9,No blooms,,15,,
5/4/2016,Kaldenberg,10,No blooms,,0,,
5/4/2016,McClellan,1,No blooms,,0,,Dandelion
5/4/2016,McClellan,2,No blooms,,0,,Wild mustard
5/4/2016,McClellan,3,No blooms,,0,,
5/4/2016,McClellan,4,No blooms,,0,,
5/4/2016,McClellan,5,No blooms,,0,,
