Date,Site,TotalPlants
5/3/2016,Plunkett,1
5/3/2016,Bowman,0
5/4/2016,Kaldenberg,0
5/4/2016,McClellan,0
5/12/2016,Sheller,2
5/12/2016,Sloan,1
5/15/2016,Cretsinger,1
5/15/2016,Peckumn,1
5/18/2016,Plunkett,2
5/18/2016,Bowman,0
5/19/2016,Kaldenberg,0
5/19/2016,McClellan,0
5/22/2016,Sheller,1
5/22/2016,Sloan,2
5/29/2016,Cretsinger,1
5/29/2016,Peckumn,2
6/15/2016,Plunkett,8
6/15/2016,Bowman,1
6/16/2016,Kaldenberg,4
6/16/2016,McClellan,0
6/17/2016,Sloan,3
6/21/2016,Sheller,3
6/22/2016,Cretsinger,9
6/23/2016,Peckumn,7
7/20/2016,Plunkett,10
7/20/2016,Bowman,1
7/21/2016,Kaldenberg,6
7/22/2016,McClellan,1
7/25/2016,Sloan,6
7/26/2016,Sheller,3
7/27/2016,Peckumn,13
8/5/2016,Cretsinger,7
8/14/2016,Plunkett,9
8/15/2016,Bowman,1
8/16/2016,Kaldenberg,6
8/16/2016,McClellan,1
8/17/2016,Sloan,8
8/18/2016,Sheller,4
8/22/2016,Cretsinger,11
8/31/2016,Peckumn,4
