Date,Quadrat,Species,% Cover,"% Bare Ground
(Bee's eye view)","Species in Strip, 
<<<<<<< HEAD
Not in Quadrats",Outside Species
5/4/2016,1,No blooms,,0,,Dandelion
5/4/2016,2,No blooms,,0,,Wild mustard
5/4/2016,3,No blooms,,0,,
5/4/2016,4,No blooms,,0,,
5/4/2016,5,No blooms,,0,,
5/4/2016,6,No blooms,,0,,
5/4/2016,7,No blooms,,0,,
5/4/2016,8,No blooms,,0,,
5/4/2016,9,No blooms,,0,,
5/4/2016,10,No blooms,,0,,
5/19/2016,1,No blooms,,0,Dandelion,Red clover
5/19/2016,2,No blooms,,3,Wild mustard,
5/19/2016,3,No blooms,,0,,
5/19/2016,4,No blooms,,0,,
5/19/2016,5,No blooms,,0,,
5/19/2016,6,No blooms,,10,,
5/19/2016,7,No blooms,,0,,
5/19/2016,8,No blooms,,20,,
5/19/2016,9,No blooms,,0,,
5/19/2016,10,No blooms,,0,,
6/16/2016,1,No blooms,,0,Canada thistle,White clover
6/16/2016,2,No blooms,,0,Red clover,Alfalfa
6/16/2016,3,No blooms,,0,Wild parsnip,Carolina horsenettle
6/16/2016,4,No blooms,,5,Dandelion,
6/16/2016,5,No blooms,,0,,
6/16/2016,6,No blooms,,5,,
6/16/2016,7,No blooms,,5,,
6/16/2016,8,No blooms,,3,,
6/16/2016,9,No blooms,,3,,
6/16/2016,10,No blooms,,0,,
7/22/2016,1,No blooms,,0,Red clover (dead),White clover
7/22/2016,2,No blooms,,0,Ground cherry,Alfalfa
7/22/2016,3,No blooms,,0,Canada thistle,Queen Anne's lace
7/22/2016,4,No blooms,,0,,Field bindweed
7/22/2016,5,No blooms,,3,,Hoary vervain
7/22/2016,6,No blooms,,3,,Daisy fleabane
7/22/2016,7,No blooms,,5,,
7/22/2016,8,No blooms,,3,,
7/22/2016,9,No blooms,,0,,
7/22/2016,10,Carolina horsenettle,10,0,,
8/16/2016,1,No blooms,,0,Ground cherry,Red clover
8/16/2016,2,No blooms,,10,,Bull thistle
8/16/2016,3,No blooms,,0,,Dandelion
8/16/2016,4,No blooms,,3,,
8/16/2016,5,No blooms,,0,,
8/16/2016,6,No blooms,,0,,
8/16/2016,7,No blooms,,3,,
8/16/2016,8,Carolina horsenettle,10,0,,
8/16/2016,9,No blooms,,0,,
8/16/2016,10,No blooms,,0,,
=======
Not in Quadrats",Outside Species
5/4/2016,1,No blooms,,0,,Dandelion
5/4/2016,2,No blooms,,0,,Wild mustard
5/4/2016,3,No blooms,,0,,
5/4/2016,4,No blooms,,0,,
5/4/2016,5,No blooms,,0,,
5/4/2016,6,No blooms,,0,,
5/4/2016,7,No blooms,,0,,
5/4/2016,8,No blooms,,0,,
5/4/2016,9,No blooms,,0,,
5/4/2016,10,No blooms,,0,,
5/19/2016,1,No blooms,,0,Dandelion,Red clover
5/19/2016,2,No blooms,,3,Wild mustard,
5/19/2016,3,No blooms,,0,,
5/19/2016,4,No blooms,,0,,
5/19/2016,5,No blooms,,0,,
5/19/2016,6,No blooms,,10,,
5/19/2016,7,No blooms,,0,,
5/19/2016,8,No blooms,,20,,
5/19/2016,9,No blooms,,0,,
5/19/2016,10,No blooms,,0,,
6/16/2016,1,No blooms,,0,Canada thistle,White clover
6/16/2016,2,No blooms,,0,Red clover,Alfalfa
6/16/2016,3,No blooms,,0,Wild parsnip,Carolina horsenettle
6/16/2016,4,No blooms,,5,Dandelion,
6/16/2016,5,No blooms,,0,,
6/16/2016,6,No blooms,,5,,
6/16/2016,7,No blooms,,5,,
6/16/2016,8,No blooms,,3,,
6/16/2016,9,No blooms,,3,,
6/16/2016,10,No blooms,,0,,
7/22/2016,1,No blooms,,0,Red clover (dead),White clover
7/22/2016,2,No blooms,,0,Ground cherry,Alfalfa
7/22/2016,3,No blooms,,0,Canada thistle,Queen Anne's lace
7/22/2016,4,No blooms,,0,,Field bindweed
7/22/2016,5,No blooms,,3,,Hoary vervain
7/22/2016,6,No blooms,,3,,Daisy fleabane
7/22/2016,7,No blooms,,5,,
7/22/2016,8,No blooms,,3,,
7/22/2016,9,No blooms,,0,,
7/22/2016,10,Carolina horsenettle,10,0,,
8/16/2016,1,No blooms,,0,Ground cherry,Red clover
8/16/2016,2,No blooms,,10,,Bull thistle
8/16/2016,3,No blooms,,0,,Dandelion
8/16/2016,4,No blooms,,3,,
8/16/2016,5,No blooms,,0,,
8/16/2016,6,No blooms,,0,,
8/16/2016,7,No blooms,,3,,
8/16/2016,8,Carolina horsenettle,10,0,,
8/16/2016,9,No blooms,,0,,
8/16/2016,10,No blooms,,0,,
>>>>>>> cf53935e3439b19479429c529a3d9cc1edbe6a5c
