Date,High temp,Average temp,Low temp,Average wind speed,Maximum wind speed,Precipitation
5/1/2016,49.8,45.8,43.5,2,7,0.18
5/2/2016,66.6,53.6,40.6,1,6,0
5/3/2016,70.2,57.6,38.7,4,12,0
5/4/2016,69.3,59.1,46.6,6,18,0
5/5/2016,78.3,60,42.3,1,8,0
5/6/2016,86.4,71.3,53.6,6,17,0
5/7/2016,72.3,64.6,53.8,2,11,0
5/8/2016,71.1,62.5,53.1,6,16,0
5/9/2016,65.7,60.7,55.9,7,11,0.35
5/10/2016,79.9,67.3,59.5,3,8,0
5/11/2016,72,61,55.2,3,8,0.31
5/12/2016,67.6,58.1,49.5,8,21,0.02
5/13/2016,68.9,51.3,43.3,5,14,0.1
5/14/2016,59.7,48.6,37.9,8,20,0.01
5/15/2016,69.1,55.4,38.5,4,12,0
5/16/2016,60.3,53.6,47.7,4,8,0
5/17/2016,66.4,54.3,41.4,1,6,0
5/18/2016,70.3,56,41,2,7,0
5/19/2016,72,60.5,46,4,10,0
5/20/2016,71.4,61.4,49.6,4,11,0
5/21/2016,76.8,57.2,44.8,1,9,0
5/22/2016,81.9,66.6,45.3,6,16,0
5/23/2016,76.8,67.6,59.9,6,17,0
5/24/2016,90.1,71,61.5,3,8,0.22
5/25/2016,79.2,70.8,63.9,4,10,0.5
5/26/2016,84.6,68.9,58.6,5,19,0.65
5/27/2016,80.2,67.4,62.1,3,13,0.54
5/28/2016,75.6,66.9,60.8,5,10,0.13
5/29/2016,87.8,71.4,56.8,4,11,0
5/30/2016,88.3,73.7,61.3,4,12,0.07
5/31/2016,79,70,64.4,4,12,0.22
6/1/2016,80.8,68.2,57,12,12,0
6/2/2016,86.2,68.9,54.3,9,9,0
6/3/2016,86,73.6,63.3,14,14,0.04
6/4/2016,82.4,69.4,59.4,22,22,0
6/5/2016,88.7,74.1,58.1,17,17,0
6/6/2016,84.7,73.1,61.2,26,26,0.01
6/7/2016,80.8,67.3,54.5,7,7,0
6/8/2016,85.1,72.1,54.3,14,14,0
6/9/2016,93.4,81.5,66.4,16,16,0
6/10/2016,95.2,83.9,72.7,14,14,0
6/11/2016,92.8,81.4,70.5,12,12,0
