Date,High temp,Average temp,Low temp,Average wind speed,Maximum wind speed,Precipitation
5/1/2016,47.6,44.4,42,12,20,0.11
5/2/2016,60.3,51.1,41.4,4,11,0
5/3/2016,67.5,56.8,44.7,14,30,0
5/4/2016,65.5,55.7,46,16,27,0
5/5/2016,73.9,58.2,43.8,5,11,0
5/6/2016,86.9,71.6,53.1,16,31,0.01
5/7/2016,71.6,63.9,56.1,13,25,0.01
5/8/2016,70.6,61.2,50.3,9,19,0.01
5/9/2016,61,57.5,53.7,15,24,0.15
5/10/2016,66.5,57.8,52.5,12,23,0
5/11/2016,65.8,56.5,50.7,8,17,0
5/12/2016,59.8,54.4,48.8,13,29,0
5/13/2016,65.6,48.3,40.4,12,29,0.07
5/14/2016,53,44.1,35.1,19,34,0
5/15/2016,64.1,51.5,36.5,7,20,0
5/16/2016,67.1,57.2,47.6,11,22,0
5/17/2016,65.8,55.6,45.2,9,21,0
5/18/2016,69.7,58,44.8,5,11,0
5/19/2016,72.1,61.4,48.4,4,17,0
5/20/2016,72.2,63.1,52.9,6,19,0
5/21/2016,80.4,66.7,51.1,5,13,0
5/22/2016,82.9,69.9,56.8,7,22,0
5/23/2016,82.7,71.4,61.2,9,28,0
5/24/2016,82.8,72.4,62,4,17,0.04
5/25/2016,79.3,70.4,62.7,6,21,0.13
5/26/2016,83.1,70.5,58.2,7,27,0.46
5/27/2016,73.7,68,62.1,5,12,0.21
5/28/2016,71.2,66.9,62.6,7,20,0.05
5/29/2016,81.1,70.1,60.8,11,26,0
5/30/2016,87,72.4,64.1,9,36,0.19
5/31/2016,78.3,67.4,62.1,23,7,0.33
6/1/2016,74.1,65.7,57.6,9,22,0.01
6/2/2016,78.3,67.5,55.1,7,17,0
6/3/2016,86.2,73.3,61.3,9,27,1.41
6/4/2016,75.1,66.2,59.7,11,23,0.01
6/5/2016,85.6,70.9,56.3,14,36,0
6/6/2016,75.9,67.8,59.3,15,32,0
6/7/2016,72.7,63.9,54.1,10,20,0
6/8/2016,82.9,70.1,56.3,4,14,0.17
6/9/2016,92.4,77.4,64.5,9,19,0.1
6/10/2016,93.3,81.1,70.2,11,30,0.01
6/11/2016,93,79.1,66,10,36,0.76
6/12/2016,89.3,78.6,68.9,9,30,0
6/13/2016,90.4,76.5,65.1,6,16,0
6/14/2016,89.1,76,66.8,6,29,0.22
6/15/2016,87.9,76.3,63.9,7,15,0.01
6/16/2016,83.7,73.2,62.4,8,18,0
6/17/2016,82.9,73,61.7,8,16,0
6/18/2016,86.3,77.8,66.9,4,11,0
6/19/2016,88.3,78.5,65,5,23,0
6/20/2016,82.2,77.5,72.5,8,18,0.02
6/21/2016,84.6,73.3,61.8,4,10,0
6/22/2016,86.1,75.4,62.5,9,29,1.07
6/23/2016,77.4,68.6,63.3,11,23,0
6/24/2016,83.1,72,63.4,6,12,0
6/25/2016,89.5,80,69.3,7,14,0
6/26/2016,86.9,78.9,72,6,14,0.69
6/27/2016,80.6,74.2,66.2,8,13,0
6/28/2016,73.7,66.5,58.4,5,11,0
6/29/2016,75.7,67.7,56.5,4,9,0.26
6/30/2016,79.6,68.8,62.9,5,17,1.35
7/1/2016,72.4,64.8,56.3,6,12,0
7/2/2016,70.8,65,58.3,4,11,0
7/3/2016,73.2,64.3,52.9,7,17,0
7/4/2016,72.7,67.1,59.7,2,9,0
7/5/2016,87.8,77.4,66,4,20,0
7/6/2016,82.2,75,67.1,6,19,0.37
7/7/2016,85.7,75.1,65.9,7,26,0.24
7/8/2016,79.5,72.5,64.2,9,24,0
7/9/2016,82.9,71.9,62.1,4,9,0
7/10/2016,79.2,69.3,64.2,9,29,0.74
7/11/2016,88.8,79.6,68.4,8,20,0.03
7/12/2016,82.8,73.2,66.3,7,23,0.43
7/13/2016,81.4,74.8,69,5,15,0.01
7/14/2016,79.5,72,62,10,20,0
7/15/2016,73.4,65.9,57.6,6,13,0
7/16/2016,78.4,69.5,58.4,6,17,0
7/17/2016,83.2,74.4,63.2,6,15,0.7
7/18/2016,86.2,76,68,3,10,0
7/19/2016,75.5,70.9,68.1,5,13,0.75
7/20/2016,88.9,78.8,67.5,6,16,0
7/21/2016,92.3,84.6,76.1,6,17,0
7/22/2016,90.4,80.8,71.9,5,17,0
7/23/2016,87.4,79.3,75.8,6,15,0.21
7/24/2016,83.8,78.2,69.2,7,18,0
7/25/2016,83.3,75,65.4,5,12,0
7/26/2016,85.9,76.8,65,3,7,0
7/27/2016,82.1,75.1,67.7,2,10,0
7/28/2016,75,69.6,64.1,8,16,0
7/29/2016,71.5,66.3,63.3,6,12,0
7/30/2016,85.2,70.6,63,3,6,0
7/31/2016,80.3,71.5,61.8,6,15,0.01
8/1/2016,82.7,72.8,66.1,6,19,0
8/2/2016,84.4,73.6,66.3,3,11,0.04
8/3/2016,87.5,77.3,64.9,3,12,0.01
8/4/2016,90.1,77.8,72,6,18,0.55
8/5/2016,76.6,69.7,62.8,7,15,0
8/6/2016,77.9,68.9,59.1,5,12,0
8/7/2016,76.2,68.7,60.7,3,6,0
8/8/2016,79.7,71.4,62,5,12,0
8/9/2016,87.3,77,66.7,3,8,0
8/10/2016,88.2,78.6,69.1,5,14,0
8/11/2016,83.7,75.3,68.7,6,33,1.86
8/12/2016,79.4,72.8,68.1,5,16,0.5
8/13/2016,80.5,72.2,63.9,7,16,0.01
8/14/2016,81.4,73.4,65,3,8,0
8/15/2016,80.3,71.7,60.9,3,8,0
8/16/2016,84.5,75.1,65.8,4,11,0
8/17/2016,87,76.3,66.6,2,7,0.05
8/18/2016,89.3,78.2,65.3,3,12,0.01
8/19/2016,79.4,72.1,64.8,5,18,1.73
8/20/2016,69.3,65.2,58.1,8,20,0.09
8/21/2016,74.2,63.2,53.8,6,13,0
8/22/2016,80.5,68.5,55.1,5,17,0
8/23/2016,80.4,71.4,61.9,8,19,0
8/24/2016,76.7,73.4,67.1,6,13,0
8/25/2016,76.1,69.1,63.2,3,6,0
8/26/2016,68.1,62.8,58.4,5,10,0.26
8/27/2016,77.4,66.9,58.6,4,11,0.01
8/28/2016,87.2,74.3,63.4,4,9,0
8/29/2016,83.1,71.9,67.3,3,16,0.13
8/30/2016,78.2,71.1,65.5,4,15,0
8/31/2016,76.5,67.8,59.3,7,15,0
