County,Binomial,n
Buchanan,Agapostemon texanus,12
Buchanan,Agapostemon virescens,7
Buchanan,Andrena cressonii cressonii,1
Buchanan,Andrena spiraeana,1
Buchanan,Andrena wilkella,1
Buchanan,Andrena wilmattae,1
Buchanan,Andrena ziziae,1
Buchanan,Augochlorella aurata,15
Buchanan,Bombus fervidus,1
Buchanan,Calliopsis andreniformis,2
Buchanan,Ceratina mikmaqi,3
Buchanan,Ceratina sp.,8
Buchanan,Eucera hamata,5
Buchanan,Halictus confusus,14
Buchanan,Halictus ligatus,1
Buchanan,Halictus parallelus,9
Buchanan,Halictus rubicundus,1
Buchanan,Hylaeus sp.,2
Buchanan,Lasioglossum (Dialictus) anomalum,1
Buchanan,Lasioglossum (Dialictus) sp.,117
Buchanan,Lasioglossum (Hemihalictus) pectorale,2
Buchanan,Lasioglossum (Leuchalictus) leucozonium,17
Buchanan,Lasioglossum s.s. coriaceum,4
Buchanan,Lasioglossum s.s. paraforbesii,1
Buchanan,Lasioglossum sp.,1
Buchanan,Megachile brevis,1
Buchanan,Melissodes bimaculata,18
Buchanan,Melissodes bimaculatus,1
Buchanan,Melissodes communis,8
Buchanan,Melissodes coreopsis,2
Buchanan,Melissodes trinodis,3
Dallas,Agapostemon texanus,7
Dallas,Agapostemon virescens,5
Dallas,Apis mellifera,2
Dallas,Augochlorella aurata,32
Dallas,Bombus bimaculatus,1
Dallas,Bombus impatiens,1
Dallas,Bombus pensylvanicus,1
Dallas,Colletes latitarsis,2
Dallas,Eucera hamata,27
Dallas,Halictus confusus,1
Dallas,Halictus parallelus,5
Dallas,Hoplitis pilosifrons,1
Dallas,Hylaeus sp.,1
Dallas,Lasioglossum (Dialictus) sp.,208
Dallas,Megachile brevis,1
Dallas,Melissodes bimaculata,1
Dallas,Melissodes trinodis,2
Greene,Agapostemon femoratus,1
Greene,Agapostemon texanus,1
Greene,Agapostemon virescens,34
Greene,Andrena commoda,1
Greene,Andrena cressonii cressonii,4
Greene,Andrena rudbeckiae,3
Greene,Andrena ziziae,13
Greene,Apis mellifera,5
Greene,Ashmeadiella bucconis,1
Greene,Augochlorella aurata,42
Greene,Augochloropsis metallica,3
Greene,Bombus bimaculatus,1
Greene,Bombus griseocollis,3
Greene,Bombus pensylvanicus,6
Greene,Calliopsis andreniformis,1
Greene,Ceratina mikmaqi,5
Greene,Ceratina sp.,42
Greene,Colletes latitarsis,1
Greene,Eucera hamata,11
Greene,Halictus confusus,23
Greene,Halictus ligatus,59
Greene,Halictus parallelus,13
