"","Site","Year","Bumble bee","Cavity nester","Cleptoparasite","Honey bee","Social ground-nester","Social parasite","Solitary ground-nester"
"1","Bowman",2014,1,2,0,0,5,0,7
"2","Bowman",2015,2,1,0,0,3,0,4
"3","Bowman",2016,1,1,0,1,4,0,8
"4","Bowman",2017,3,6,1,1,5,0,17
"5","Bowman",2018,2,9,3,1,5,0,12
"6","Cretsinger",2014,1,6,2,0,7,0,16
"7","Cretsinger",2015,2,4,1,1,7,0,10
"8","Cretsinger",2016,5,9,2,1,7,0,26
"9","Cretsinger",2017,4,18,9,1,8,1,32
"10","Cretsinger",2018,6,14,5,1,7,0,26
"11","Elkader",2014,5,5,2,0,6,0,21
"12","Elkader",2015,4,7,2,1,5,0,19
"13","Greving",2014,6,6,1,1,6,0,24
"14","Kaldenberg",2014,3,7,4,0,7,0,19
"15","Kaldenberg",2015,1,3,0,1,4,0,9
"16","Kaldenberg",2016,5,4,3,1,6,0,27
"17","Kaldenberg",2017,5,9,3,1,6,0,22
"18","Kaldenberg",2018,1,7,2,1,5,0,14
"19","McClellan",2014,0,7,0,1,7,0,20
"20","McClellan",2015,1,1,2,0,7,0,5
"21","McClellan",2016,3,4,0,0,6,0,18
"22","McClellan",2017,5,8,4,1,6,0,25
"23","McClellan",2018,1,5,0,1,6,0,15
"24","NealSmith",2014,3,7,4,1,6,0,29
"25","NealSmith",2015,2,5,3,1,7,0,20
"26","Peckumn",2015,2,2,0,0,5,0,7
"27","Peckumn",2016,4,7,2,1,6,0,18
"28","Peckumn",2017,3,4,1,0,6,0,16
"29","Peckumn",2018,3,9,1,1,6,0,24
"30","Plunkett",2014,0,2,1,1,6,0,16
"31","Plunkett",2015,2,4,0,1,6,0,13
"32","Plunkett",2016,4,6,3,1,7,0,23
"33","Plunkett",2017,5,7,3,1,7,1,23
"34","Plunkett",2018,4,10,4,1,7,0,20
"35","Sheller",2014,0,9,2,0,5,0,17
"36","Sheller",2015,0,1,0,0,4,0,5
"37","Sheller",2016,4,5,5,0,6,0,22
"38","Sheller",2017,1,8,0,0,5,0,10
"39","Sheller",2018,3,8,3,1,6,0,23
"40","Sloan",2014,1,5,3,1,6,0,9
"41","Sloan",2015,4,8,4,1,6,0,17
"42","Sloan",2016,3,6,2,1,6,0,25
"43","Sloan",2017,3,11,0,1,5,0,16
"44","Sloan",2018,4,6,1,1,4,0,15
