"","Site","Year","Bumble bee","Cavity nester","Cleptoparasite","Honey bee","Social ground-nester","Social parasite","Solitary ground-nester"
"1","Bowman",2014,2,0,0,6,15,0,98
"2","Bowman",2015,3,0,0,1,17,0,17
"3","Bowman",2016,6,1,0,2,23,0,47
"4","Bowman",2017,3,3,0,2,246,0,44
"5","Cretsinger",2014,4,48,0,1,138,0,97
"6","Cretsinger",2015,3,13,1,0,135,0,64
"7","Cretsinger",2016,17,21,0,0,287,0,77
"8","Cretsinger",2017,10,53,3,0,736,0,105
"9","Elkader",2014,3,18,8,14,84,0,99
"10","Elkader",2015,8,30,7,53,148,0,103
"11","Greving",2014,5,29,6,0,299,0,143
"12","Kaldenberg",2014,1,18,0,0,250,0,117
"13","Kaldenberg",2015,10,4,0,1,76,0,66
"14","Kaldenberg",2016,7,19,2,0,231,0,49
"15","Kaldenberg",2017,8,7,3,0,302,0,69
"16","McClellan",2014,2,1,0,0,53,0,104
"17","McClellan",2015,5,2,0,0,126,0,53
"18","McClellan",2016,8,1,0,0,151,0,51
"19","McClellan",2017,1,3,0,1,447,0,124
"20","NealSmith",2014,1,25,8,13,198,1,266
"21","NealSmith",2015,8,15,1,0,251,0,73
"22","Peckumn",2015,2,5,2,9,109,0,68
"23","Peckumn",2016,17,25,6,3,216,0,132
"24","Peckumn",2017,10,63,5,5,290,0,121
"25","Plunkett",2014,2,1,1,5,122,0,63
"26","Plunkett",2015,23,1,1,36,64,0,57
"27","Plunkett",2016,133,11,3,3,448,0,206
"28","Plunkett",2017,18,12,1,7,426,1,91
"29","Sheller",2014,2,4,0,0,100,0,91
"30","Sheller",2015,9,0,2,0,36,0,72
"31","Sheller",2016,2,6,2,0,137,0,51
"32","Sheller",2017,1,1,0,0,117,0,31
"33","Sloan",2014,4,18,0,0,26,0,81
"34","Sloan",2015,7,5,2,0,144,0,73
"35","Sloan",2016,2,12,1,1,210,0,73
"36","Sloan",2017,1,14,0,0,158,0,88
