"","Year","Site","Guild","n"
"1",2014,"Bowman","Bumble bee",2
"2",2014,"Bowman","Honey bee",6
"3",2014,"Bowman","Social ground-nester",15
"4",2014,"Bowman","Solitary ground-nester",98
"5",2014,"Cretsinger","Bumble bee",4
"6",2014,"Cretsinger","Cavity nester",48
"7",2014,"Cretsinger","Honey bee",1
"8",2014,"Cretsinger","Social ground-nester",138
"9",2014,"Cretsinger","Solitary ground-nester",97
"10",2014,"Elkader","Bumble bee",3
"11",2014,"Elkader","Cavity nester",18
"12",2014,"Elkader","Cleptoparasite",8
"13",2014,"Elkader","Honey bee",14
"14",2014,"Elkader","Social ground-nester",84
"15",2014,"Elkader","Solitary ground-nester",99
"16",2014,"Greving","Bumble bee",5
"17",2014,"Greving","Cavity nester",29
"18",2014,"Greving","Cleptoparasite",6
"19",2014,"Greving","Social ground-nester",299
"20",2014,"Greving","Solitary ground-nester",143
"21",2014,"Kaldenberg","Bumble bee",1
"22",2014,"Kaldenberg","Cavity nester",18
"23",2014,"Kaldenberg","Social ground-nester",250
"24",2014,"Kaldenberg","Solitary ground-nester",117
"25",2014,"McClellan","Bumble bee",2
"26",2014,"McClellan","Cavity nester",1
"27",2014,"McClellan","Social ground-nester",53
"28",2014,"McClellan","Solitary ground-nester",104
"29",2014,"NealSmith","Bumble bee",1
"30",2014,"NealSmith","Cavity nester",25
"31",2014,"NealSmith","Cleptoparasite",8
"32",2014,"NealSmith","Honey bee",13
"33",2014,"NealSmith","Social ground-nester",198
"34",2014,"NealSmith","Social parasite",1
"35",2014,"NealSmith","Solitary ground-nester",266
"36",2014,"Plunkett","Bumble bee",2
"37",2014,"Plunkett","Cavity nester",1
"38",2014,"Plunkett","Cleptoparasite",1
"39",2014,"Plunkett","Honey bee",5
"40",2014,"Plunkett","Social ground-nester",122
"41",2014,"Plunkett","Solitary ground-nester",63
"42",2014,"Sheller","Bumble bee",2
"43",2014,"Sheller","Cavity nester",4
"44",2014,"Sheller","Social ground-nester",100
"45",2014,"Sheller","Solitary ground-nester",91
"46",2014,"Sloan","Bumble bee",4
"47",2014,"Sloan","Cavity nester",18
"48",2014,"Sloan","Social ground-nester",26
"49",2014,"Sloan","Solitary ground-nester",81
"50",2015,"Bowman","Bumble bee",3
"51",2015,"Bowman","Honey bee",1
"52",2015,"Bowman","Social ground-nester",17
"53",2015,"Bowman","Solitary ground-nester",17
"54",2015,"Cretsinger","Bumble bee",3
"55",2015,"Cretsinger","Cavity nester",13
"56",2015,"Cretsinger","Cleptoparasite",1
"57",2015,"Cretsinger","Social ground-nester",135
"58",2015,"Cretsinger","Solitary ground-nester",64
"59",2015,"Elkader","Bumble bee",8
"60",2015,"Elkader","Cavity nester",30
"61",2015,"Elkader","Cleptoparasite",7
"62",2015,"Elkader","Honey bee",53
"63",2015,"Elkader","Social ground-nester",148
"64",2015,"Elkader","Solitary ground-nester",103
"65",2015,"Kaldenberg","Bumble bee",10
"66",2015,"Kaldenberg","Cavity nester",4
"67",2015,"Kaldenberg","Honey bee",1
"68",2015,"Kaldenberg","Social ground-nester",76
"69",2015,"Kaldenberg","Solitary ground-nester",66
"70",2015,"McClellan","Bumble bee",5
"71",2015,"McClellan","Cavity nester",2
"72",2015,"McClellan","Social ground-nester",126
"73",2015,"McClellan","Solitary ground-nester",53
"74",2015,"NealSmith","Bumble bee",8
"75",2015,"NealSmith","Cavity nester",15
"76",2015,"NealSmith","Cleptoparasite",1
"77",2015,"NealSmith","Social ground-nester",251
"78",2015,"NealSmith","Solitary ground-nester",73
"79",2015,"Peckumn","Bumble bee",2
"80",2015,"Peckumn","Cavity nester",5
"81",2015,"Peckumn","Cleptoparasite",2
"82",2015,"Peckumn","Honey bee",9
"83",2015,"Peckumn","Social ground-nester",109
"84",2015,"Peckumn","Solitary ground-nester",68
"85",2015,"Plunkett","Bumble bee",23
"86",2015,"Plunkett","Cavity nester",1
"87",2015,"Plunkett","Cleptoparasite",1
"88",2015,"Plunkett","Honey bee",36
"89",2015,"Plunkett","Social ground-nester",64
"90",2015,"Plunkett","Solitary ground-nester",57
"91",2015,"Sheller","Bumble bee",9
"92",2015,"Sheller","Cleptoparasite",2
"93",2015,"Sheller","Social ground-nester",36
