"","Site","Year","Bumble bee","Cavity nester","Cleptoparasite","Honey bee","Social ground-nester","Social parasite","Solitary ground-nester"
"1","Bowman",2014,2,0,0,1,3,0,10
"2","Bowman",2015,3,0,0,1,5,0,6
"3","Bowman",2016,3,1,0,1,4,0,9
"4","Cretsinger",2014,1,7,0,1,4,0,14
"5","Cretsinger",2015,3,4,1,0,6,0,13
"6","Cretsinger",2016,4,9,0,0,7,0,20
"7","Elkader",2014,3,10,6,1,8,0,22
"8","Elkader",2015,5,8,4,1,7,0,29
"9","Greving",2014,3,7,4,0,8,0,21
"10","Kaldenberg",2014,1,5,0,0,6,0,18
"11","Kaldenberg",2015,4,4,0,1,6,0,13
"12","Kaldenberg",2016,3,4,2,0,8,0,13
"13","McClellan",2014,1,1,0,0,5,0,11
"14","McClellan",2015,4,2,0,0,6,0,10
"15","McClellan",2016,2,1,0,0,6,0,11
"16","NealSmith",2014,1,7,5,1,8,1,23
"17","NealSmith",2015,4,6,1,0,7,0,15
"18","Peckumn",2015,2,4,2,1,5,0,12
"19","Peckumn",2016,3,7,2,1,6,0,23
"20","Plunkett",2014,2,1,1,1,5,0,13
"21","Plunkett",2015,4,1,1,1,4,0,12
"22","Plunkett",2016,5,4,2,1,8,0,27
"23","Sheller",2014,1,2,0,0,3,0,15
"24","Sheller",2015,5,0,2,0,4,0,9
"25","Sheller",2016,2,4,1,0,4,0,17
"26","Sloan",2014,3,5,0,0,3,0,11
"27","Sloan",2015,2,3,2,0,4,0,11
"28","Sloan",2016,2,5,1,1,6,0,14
