"","Site","Date","n"
"1","Bowman",2014-05-21,16
"2","Bowman",2014-06-20,80
"3","Bowman",2014-07-17,8
"4","Bowman",2014-08-14,17
"5","Bowman",2015-04-28,2
"6","Bowman",2015-05-21,2
"7","Bowman",2015-06-16,19
"8","Bowman",2015-07-17,9
"9","Bowman",2015-08-13,6
"10","Bowman",2016-05-03,4
"11","Bowman",2016-05-18,18
"12","Bowman",2016-06-15,41
"13","Bowman",2016-07-20,12
"14","Bowman",2016-08-15,4
"15","Bowman",2017-05-05,11
"16","Bowman",2017-05-22,16
"17","Bowman",2017-06-16,49
"18","Bowman",2017-07-16,209
"19","Bowman",2017-08-13,13
"20","Cretsinger",2014-05-29,127
"21","Cretsinger",2014-06-25,100
"22","Cretsinger",2014-07-23,42
"23","Cretsinger",2014-08-19,49
"24","Cretsinger",2015-05-03,117
"25","Cretsinger",2015-05-31,60
"26","Cretsinger",2015-06-29,18
"27","Cretsinger",2015-07-29,21
"28","Cretsinger",2015-08-11,1
"29","Cretsinger",2015-08-20,17
"30","Cretsinger",2016-05-15,54
"31","Cretsinger",2016-05-29,187
"32","Cretsinger",2016-06-22,45
"33","Cretsinger",2016-07-27,35
"34","Cretsinger",2016-08-05,50
"35","Cretsinger",2016-08-22,31
"36","Cretsinger",2017-05-14,317
"37","Cretsinger",2017-05-30,320
"38","Cretsinger",2017-06-25,149
"39","Cretsinger",2017-07-25,98
"40","Cretsinger",2017-08-22,23
"41","Elkader",2014-05-30,63
"42","Elkader",2014-06-24,60
"43","Elkader",2014-07-09,11
"44","Elkader",2014-07-24,42
"45","Elkader",2014-08-12,3
"46","Elkader",2014-08-20,67
"47","Elkader",2015-05-02,23
"48","Elkader",2015-05-27,80
"49","Elkader",2015-06-13,4
"50","Elkader",2015-06-21,99
"51","Elkader",2015-07-09,1
"52","Elkader",2015-07-23,62
"53","Elkader",2015-08-15,98
"54","Greving",2014-06-11,119
"55","Greving",2014-07-03,170
"56","Greving",2014-07-30,131
"57","Greving",2014-08-30,112
"58","Kaldenberg",2014-05-23,182
"59","Kaldenberg",2014-06-20,67
"60","Kaldenberg",2014-07-18,88
"61","Kaldenberg",2014-08-17,66
"62","Kaldenberg",2015-04-29,11
"63","Kaldenberg",2015-05-27,64
"64","Kaldenberg",2015-06-19,31
"65","Kaldenberg",2015-07-21,29
"66","Kaldenberg",2015-08-14,28
"67","Kaldenberg",2016-05-04,5
"68","Kaldenberg",2016-05-19,72
"69","Kaldenberg",2016-06-16,34
"70","Kaldenberg",2016-07-21,167
"71","Kaldenberg",2016-08-16,30
"72","Kaldenberg",2017-05-07,67
"73","Kaldenberg",2017-05-25,114
"74","Kaldenberg",2017-06-18,71
"75","Kaldenberg",2017-07-17,104
"76","Kaldenberg",2017-08-18,33
"77","McClellan",2014-06-06,67
"78","McClellan",2014-07-01,41
"79","McClellan",2014-07-28,18
"80","McClellan",2014-08-31,34
"81","McClellan",2015-05-12,2
"82","McClellan",2015-06-01,48
"83","McClellan",2015-06-30,32
"84","McClellan",2015-07-30,78
"85","McClellan",2015-08-25,32
"86","McClellan",2016-05-19,68
"87","McClellan",2016-06-16,51
"88","McClellan",2016-07-22,70
"89","McClellan",2016-08-16,22
"90","McClellan",2017-05-06,26
"91","McClellan",2017-05-25,123
"92","McClellan",2017-06-19,184
"93","McClellan",2017-07-18,193
"94","McClellan",2017-08-18,50
"95","NealSmith",2014-05-23,120
"96","NealSmith",2014-06-09,175
"97","NealSmith",2014-06-20,128
"98","NealSmith",2014-07-18,78
"99","NealSmith",2014-08-17,105
"100","NealSmith",2015-04-29,136
"101","NealSmith",2015-05-27,47
"102","NealSmith",2015-06-10,1
"103","NealSmith",2015-06-19,47
"104","NealSmith",2015-07-21,56
"105","NealSmith",2015-08-14,85
"106","Peckumn",2015-05-12,44
"107","Peckumn",2015-06-01,60
"108","Peckumn",2015-07-07,25
"109","Peckumn",2015-07-31,65
"110","Peckumn",2015-08-11,1
"111","Peckumn",2015-08-31,4
"112","Peckumn",2015-09-01,13
"113","Peckumn",2016-05-15,83
"114","Peckumn",2016-05-29,129
"115","Peckumn",2016-06-23,68
"116","Peckumn",2016-07-27,79
"117","Peckumn",2016-08-31,40
"118","Peckumn",2017-05-14,78
"119","Peckumn",2017-05-31,130
"120","Peckumn",2017-06-27,114
"121","Peckumn",2017-07-27,154
"122","Peckumn",2017-08-29,18
"123","Plunkett",2014-05-20,74
"124","Plunkett",2014-06-16,61
"125","Plunkett",2014-07-16,26
"126","Plunkett",2014-08-01,1
"127","Plunkett",2014-08-14,53
"128","Plunkett",2015-04-30,5
"129","Plunkett",2015-05-21,22
"130","Plunkett",2015-06-10,1
"131","Plunkett",2015-06-16,67
"132","Plunkett",2015-07-17,33
"133","Plunkett",2015-08-13,64
"134","Plunkett",2016-05-03,11
"135","Plunkett",2016-05-18,39
"136","Plunkett",2016-06-15,42
"137","Plunkett",2016-07-20,272
"138","Plunkett",2016-08-14,440
"139","Plunkett",2017-05-02,2
"140","Plunkett",2017-05-15,164
"141","Plunkett",2017-06-15,159
"142","Plunkett",2017-07-15,132
"143","Plunkett",2017-08-12,99
"144","Sheller",2014-05-29,114
"145","Sheller",2014-06-25,16
"146","Sheller",2014-07-21,21
"147","Sheller",2014-08-24,49
"148","Sheller",2015-05-09,22
"149","Sheller",2015-05-31,24
"150","Sheller",2015-06-23,20
"151","Sheller",2015-07-30,37
"152","Sheller",2015-08-26,16
"153","Sheller",2016-05-19,1
"154","Sheller",2016-05-22,42
"155","Sheller",2016-06-21,36
"156","Sheller",2016-07-26,57
"157","Sheller",2016-08-18,62
"158","Sheller",2017-05-13,86
"159","Sheller",2017-05-29,9
"160","Sheller",2017-06-23,25
"161","Sheller",2017-07-24,20
"162","Sheller",2017-08-19,10
"163","Sloan",2014-05-30,50
"164","Sloan",2014-06-24,22
"165","Sloan",2014-07-24,34
"166","Sloan",2014-08-20,27
"167","Sloan",2015-05-02,15
"168","Sloan",2015-05-27,141
"169","Sloan",2015-06-21,18
"170","Sloan",2015-07-23,29
"171","Sloan",2015-08-15,38
"172","Sloan",2016-05-12,4
"173","Sloan",2016-05-22,123
"174","Sloan",2016-06-17,30
"175","Sloan",2016-07-25,122
"176","Sloan",2016-08-17,20
"177","Sloan",2017-05-12,23
"178","Sloan",2017-05-28,148
"179","Sloan",2017-06-20,36
"180","Sloan",2017-07-23,33
"181","Sloan",2017-08-19,21
