"","Site","Date","Blue vane","Bowls","Emergence","NT","Pitfall","Plot"
"1","Bowman",2014-05-21,3,13,NA,NA,NA,NA
"2","Bowman",2014-06-20,40,40,NA,NA,NA,NA
"3","Bowman",2014-07-17,2,6,NA,NA,NA,NA
"4","Bowman",2014-08-14,11,6,NA,NA,NA,NA
"5","Bowman",2015-04-28,1,1,NA,NA,NA,NA
"6","Bowman",2015-05-21,1,NA,1,NA,NA,NA
"7","Bowman",2015-06-16,5,14,NA,NA,NA,NA
"8","Bowman",2015-07-17,4,4,NA,1,NA,NA
"9","Bowman",2015-08-13,NA,5,NA,1,NA,NA
"10","Bowman",2016-05-03,2,2,NA,NA,NA,NA
"11","Bowman",2016-05-18,4,14,NA,NA,NA,NA
"12","Bowman",2016-06-15,15,24,1,1,NA,NA
"13","Bowman",2016-07-20,6,5,NA,1,NA,NA
"14","Bowman",2016-08-15,2,1,NA,1,NA,NA
"15","Bowman",2017-05-05,2,7,NA,1,NA,1
"16","Bowman",2017-05-22,6,10,NA,NA,NA,NA
"17","Bowman",2017-06-16,22,25,NA,NA,NA,2
"18","Bowman",2017-07-16,74,120,NA,6,NA,9
"19","Bowman",2017-08-13,3,10,NA,NA,NA,NA
"20","Cretsinger",2014-05-29,21,91,NA,3,NA,NA
"21","Cretsinger",2014-06-25,35,60,NA,6,NA,NA
"22","Cretsinger",2014-07-23,4,25,NA,7,NA,NA
"23","Cretsinger",2014-08-19,19,12,NA,7,NA,NA
"24","Cretsinger",2015-05-03,43,68,NA,4,NA,NA
"25","Cretsinger",2015-05-31,12,33,1,5,NA,NA
"26","Cretsinger",2015-06-29,4,6,NA,5,NA,NA
"27","Cretsinger",2015-07-29,3,13,NA,4,NA,NA
"28","Cretsinger",2015-08-11,NA,NA,1,NA,NA,NA
"29","Cretsinger",2015-08-20,4,8,NA,2,NA,NA
"30","Cretsinger",2016-05-15,12,39,NA,3,NA,NA
"31","Cretsinger",2016-05-29,47,123,NA,17,NA,NA
"32","Cretsinger",2016-06-22,15,29,NA,1,NA,NA
"33","Cretsinger",2016-07-27,4,9,1,21,NA,NA
"34","Cretsinger",2016-08-05,6,16,NA,28,NA,NA
"35","Cretsinger",2016-08-22,4,10,NA,17,NA,NA
"36","Cretsinger",2017-05-14,55,250,NA,12,NA,NA
"37","Cretsinger",2017-05-30,109,191,NA,20,NA,NA
"38","Cretsinger",2017-06-25,53,85,NA,11,NA,NA
"39","Cretsinger",2017-07-25,28,35,NA,25,NA,10
"40","Cretsinger",2017-08-22,4,5,1,13,NA,NA
"41","Elkader",2014-05-30,7,47,NA,9,NA,NA
"42","Elkader",2014-06-24,5,20,1,31,5,NA
"43","Elkader",2014-07-09,NA,NA,11,NA,NA,NA
"44","Elkader",2014-07-24,10,5,2,25,NA,NA
"45","Elkader",2014-08-12,NA,NA,3,NA,NA,NA
"46","Elkader",2014-08-20,2,8,1,44,NA,NA
"47","Elkader",2015-05-02,6,11,NA,5,NA,NA
"48","Elkader",2015-05-27,15,53,NA,7,2,NA
"49","Elkader",2015-06-13,NA,NA,4,NA,NA,NA
"50","Elkader",2015-06-21,8,23,NA,61,NA,NA
"51","Elkader",2015-07-09,NA,NA,NA,NA,1,NA
"52","Elkader",2015-07-23,7,27,NA,23,NA,NA
"53","Elkader",2015-08-15,5,22,14,55,NA,NA
"54","Greving",2014-06-11,28,59,NA,25,NA,NA
"55","Greving",2014-07-03,18,76,NA,55,NA,NA
"56","Greving",2014-07-30,21,54,NA,45,NA,NA
"57","Greving",2014-08-30,24,28,NA,52,1,NA
"58","Kaldenberg",2014-05-23,17,163,NA,2,NA,NA
"59","Kaldenberg",2014-06-20,26,40,NA,NA,NA,NA
"60","Kaldenberg",2014-07-18,18,54,NA,7,NA,NA
"61","Kaldenberg",2014-08-17,23,33,NA,4,NA,NA
"62","Kaldenberg",2015-04-29,4,7,NA,NA,NA,NA
"63","Kaldenberg",2015-05-27,14,50,NA,NA,NA,NA
"64","Kaldenberg",2015-06-19,13,16,NA,NA,NA,NA
"65","Kaldenberg",2015-07-21,6,14,NA,8,NA,NA
"66","Kaldenberg",2015-08-14,9,9,NA,7,NA,NA
"67","Kaldenberg",2016-05-04,3,1,NA,1,NA,NA
"68","Kaldenberg",2016-05-19,9,59,1,3,NA,NA
"69","Kaldenberg",2016-06-16,8,19,NA,7,NA,NA
"70","Kaldenberg",2016-07-21,42,78,1,46,NA,NA
"71","Kaldenberg",2016-08-16,5,8,NA,17,NA,NA
"72","Kaldenberg",2017-05-07,18,42,NA,6,NA,1
"73","Kaldenberg",2017-05-25,29,83,NA,NA,NA,2
"74","Kaldenberg",2017-06-18,29,26,NA,3,NA,13
"75","Kaldenberg",2017-07-17,12,33,NA,31,NA,28
"76","Kaldenberg",2017-08-18,5,10,NA,15,NA,3
"77","McClellan",2014-06-06,17,50,NA,NA,NA,NA
"78","McClellan",2014-07-01,12,27,NA,2,NA,NA
"79","McClellan",2014-07-28,4,14,NA,NA,NA,NA
"80","McClellan",2014-08-31,14,19,NA,1,NA,NA
"81","McClellan",2015-05-12,1,1,NA,NA,NA,NA
"82","McClellan",2015-06-01,11,37,NA,NA,NA,NA
"83","McClellan",2015-06-30,3,25,NA,3,NA,NA
"84","McClellan",2015-07-30,17,54,NA,3,NA,NA
"85","McClellan",2015-08-25,7,21,NA,3,NA,NA
"86","McClellan",2016-05-19,16,52,NA,NA,NA,NA
"87","McClellan",2016-06-16,9,37,2,3,NA,NA
"88","McClellan",2016-07-22,18,42,5,5,NA,NA
