"","Binomial","Blue vane","Bowls","Emergence","NT","Plot","Target"
"1","Agapostemon femoratus",1,10,1,1,2,1
"2","Agapostemon sericeus",0,3,0,1,0,0
"3","Agapostemon splendens",7,32,0,8,1,0
"4","Agapostemon texanus",44,85,0,1,0,2
"5","Agapostemon virescens",192,877,32,135,10,14
"6","Andrena alleghaniensis",0,0,0,0,0,1
"7","Andrena asteris",0,0,0,2,0,1
"8","Andrena barbara",0,1,0,0,0,4
"9","Andrena canadensis",0,0,0,3,0,0
"10","Andrena commoda",3,13,1,15,0,8
"11","Andrena cressonii cressonii",1,13,5,11,1,3
"12","Andrena dunningi",0,0,0,1,0,0
"13","Andrena forbesii",0,0,0,2,0,0
"14","Andrena fragilis",0,1,0,0,0,2
"15","Andrena geranii",0,1,0,0,0,0
"16","Andrena hirticincta",0,0,0,1,0,1
"17","Andrena ignota",0,1,0,0,0,0
"18","Andrena imitatrix",0,1,0,3,0,0
"19","Andrena integra",0,0,0,2,0,0
"20","Andrena melanochroa",0,0,0,1,0,0
"21","Andrena nivalis",0,0,0,2,0,3
"22","Andrena nubecula",0,0,0,1,0,3
"23","Andrena nuda",0,1,0,1,0,1
"24","Andrena platyparia",0,1,0,2,0,0
"25","Andrena robertsonii",0,1,0,5,0,0
"26","Andrena rudbeckiae",0,0,0,114,0,130
"27","Andrena rugosa",0,0,0,0,0,1
"28","Andrena simplex",0,0,0,1,0,0
"29","Andrena sp.",4,8,5,74,1,39
"30","Andrena spiraeana",0,0,0,2,0,0
"31","Andrena w-scripta",0,1,0,2,0,0
"32","Andrena wilkella",2,14,0,10,0,24
"33","Andrena wilmattae",0,3,0,6,0,0
"34","Andrena ziziae",0,3,1,83,0,100
"35","Anthophora bomboides",4,0,0,0,0,0
"36","Anthophora terminalis",11,1,0,0,0,1
"37","Anthophora walshii",2,0,0,1,0,1
"38","Apis mellifera",34,39,2,113,0,65
"39","Ashmeadiella bucconis",1,5,0,0,0,0
"40","Augochlora pura",0,2,0,0,0,1
"41","Augochlorella aurata",181,794,5,158,5,89
"42","Augochloropsis metallica",0,12,2,5,0,1
"43","Bombus auricomus",3,0,0,0,0,0
"44","Bombus bimaculatus",7,6,0,16,0,13
"45","Bombus borealis",1,0,0,0,0,0
"46","Bombus citrinus",0,1,0,1,0,0
"47","Bombus fervidus",9,7,0,0,0,0
"48","Bombus fraternus",0,0,0,0,0,1
"49","Bombus griseocollis",9,7,0,97,0,99
"50","Bombus impatiens",9,17,0,114,0,101
"51","Bombus pensylvanicus",35,35,0,10,2,5
"52","Bombus vagans",1,1,0,1,0,1
"53","Calliopsis andreniformis",1,3,0,7,56,1
"54","Calliopsis nebraskensis",0,0,1,0,1,0
"55","Ceratina calcarata",7,5,0,8,0,6
"56","Ceratina dupla",1,4,0,26,0,16
"57","Ceratina mikmaqi",1,4,0,10,0,0
"58","Ceratina sp.",140,68,0,49,1,56
"59","Ceratina strenua",0,0,0,0,0,2
"60","Coelioxys octodentata",0,0,0,1,0,2
"61","Coelioxys rufitarsis",0,0,0,0,0,2
"62","Coelioxys sayi",0,0,0,1,0,0
"63","Colletes americanus",0,0,0,1,0,0
"64","Colletes consors",0,0,0,1,0,0
"65","Colletes kincaidii",0,0,0,1,0,0
"66","Colletes latitarsis",0,0,1,6,2,1
"67","Colletes simulans",0,0,0,3,0,4
"68","Colletes sp.",0,0,0,2,0,0
"69","Dieunomia heteropoda",0,0,0,2,0,1
"70","Dufourea novaeangliae",0,1,0,1,0,2
"71","Epeolus bifasciatus",0,0,1,5,0,1
"72","Eucera atriventris",1,2,0,0,0,0
"73","Eucera hamata",267,328,0,3,0,2
"74","Florilegus condignus",1,0,0,0,0,0
"75","Halictus confusus",18,217,6,82,64,23
