"","Binomial","Blue vane","Bowls","Emergence","NT","Pitfall"
"1","Agapostemon femoratus",NA,NA,NA,6,NA
"2","Agapostemon sericeus",NA,7,NA,2,NA
"3","Agapostemon splendens",2,8,NA,NA,NA
"4","Agapostemon texanus",13,44,NA,NA,NA
"5","Agapostemon virescens",93,518,13,119,NA
"6","Andrena aliciae",NA,NA,NA,1,NA
"7","Andrena alleghaniensis",NA,NA,NA,1,NA
"8","Andrena asteris",NA,NA,NA,5,NA
"9","Andrena commoda",1,7,1,13,NA
"10","Andrena cressonii cressonii",1,10,5,6,NA
"11","Andrena forbesii",NA,NA,NA,2,NA
"12","Andrena fragilis",NA,1,NA,NA,NA
"13","Andrena frigida",NA,1,NA,NA,NA
"14","Andrena geranii",NA,NA,NA,1,NA
"15","Andrena hirticincta",NA,NA,NA,1,NA
"16","Andrena imitatrix",NA,1,NA,2,NA
"17","Andrena integra",NA,NA,NA,2,NA
"18","Andrena melanochroa",NA,NA,NA,1,NA
"19","Andrena nuda",NA,1,NA,1,NA
"20","Andrena platyparia",NA,1,NA,NA,NA
"21","Andrena polemonii",NA,NA,NA,1,NA
"22","Andrena robertsonii",NA,NA,1,1,NA
"23","Andrena rudbeckiae",NA,NA,NA,42,NA
"24","Andrena simplex",NA,NA,NA,2,NA
"25","Andrena sp.",4,7,4,65,NA
"26","Andrena spiraeana",NA,NA,NA,1,NA
"27","Andrena w-scripta",NA,NA,NA,1,NA
"28","Andrena wilkella",NA,7,NA,2,NA
"29","Andrena wilmattae",NA,1,NA,6,NA
"30","Andrena ziziae",NA,1,NA,7,NA
"31","Anthophora bomboides",3,NA,NA,NA,NA
"32","Anthophora terminalis",4,1,NA,NA,NA
"33","Anthophora walshii",1,NA,NA,NA,NA
"34","Apis mellifera",19,24,2,102,1
"35","Ashmeadiella bucconis",NA,5,NA,NA,NA
"36","Augochlora pura",NA,1,NA,NA,NA
"37","Augochlorella aurata",76,383,5,87,2
"38","Augochloropsis fulgida",NA,1,2,1,NA
"39","Augochloropsis metallica",NA,4,NA,3,NA
"40","Bombus auricomus",3,NA,NA,1,NA
"41","Bombus bimaculatus",7,4,NA,11,NA
"42","Bombus borealis",1,NA,NA,NA,NA
"43","Bombus citrinus",NA,1,NA,NA,NA
"44","Bombus fervidus",6,6,NA,NA,NA
"45","Bombus griseocollis",5,2,NA,72,NA
"46","Bombus impatiens",7,13,NA,104,NA
"47","Bombus pensylvanicus",23,20,NA,4,NA
"48","Bombus sp.",1,1,NA,NA,NA
"49","Bombus vagans",1,1,NA,3,NA
"50","Calliopsis andreniformis",1,NA,NA,6,NA
"51","Calliopsis coloradensis",NA,1,NA,NA,NA
"52","Ceratina calcarata",7,4,NA,8,NA
"53","Ceratina dupla",NA,1,NA,3,NA
"54","Ceratina mikmaqi",NA,4,NA,1,NA
"55","Ceratina sp.",66,36,NA,18,NA
"56","Coelioxys sayi",NA,NA,NA,1,NA
"57","Colletes americanus",NA,NA,NA,1,NA
"58","Colletes consors",NA,NA,NA,1,NA
"59","Colletes kincaidii",NA,NA,NA,1,NA
"60","Colletes simulans",NA,NA,NA,1,NA
"61","Colletes sp.",NA,NA,NA,2,NA
"62","Dufourea novaeangliae",NA,1,NA,NA,NA
"63","Eucera atriventris",1,2,NA,NA,NA
"64","Eucera hamata",150,191,NA,1,NA
"65","Florilegus condignus",1,NA,NA,1,NA
"66","Halictus confusus",4,111,6,45,NA
