Number,Date,Year,Site,Trap,Sex,Family,Genus,Species,Binomial,Host,Host2,Host3,Host_Present,Reference,Reference2,,
3010,5/20/2014,2014,Plunkett,Bowls,F,Apidae,Nomada,articulata,Nomada articulata,Agapostemon virescens,Andrena,,Y,"Snelling, 1986",,,
3605,5/30/2014,2014,Elkader,Bowls,M,Apidae,Nomada,,Nomada sp.,Andrena,,,Y,"Snelling, 1986",,,
3914,6/9/2014,2014,NealSmith,Blue vane,F,Apidae,Nomada,superba,Nomada superba,Andrena,,,Y,"Snelling, 1986",,,
4253,6/24/2014,2014,Elkader,Bowls,F,Halictidae,Sphecodes,,Sphecodes sp.,Halictus,Lasioglossum,,Y,"Habermannova, 2013",,,
4715,7/24/2014,2014,Elkader,Bowls,F,Apidae,Triepeolus,lunatus,Triepeolus lunatus,Melissodes bimaculata,Melissodes,,Y,"Rightmyer, 2008",,,
4900,8/17/2014,2014,NealSmith,Bowls,M,Apidae,Triepeolus,simplex,Triepeolus simplex,Svastra,Hesperapis,,N,"Rightmyer, 2006",,,
5211,5/30/2014,2014,Elkader,NT,F,Apidae,Nomada,imbricata,Nomada imbricata,Halictus parallelus,Halictus rubicundus,,Y,"Packard, 1870","Snelling, 1986",,
5213,5/30/2014,2014,Elkader,NT,M,Apidae,Nomada,illinoensis,Nomada illinoensis,Andrena erigeniae,,,N,"Snelling, 1986",,,
5214,5/30/2014,2014,Elkader,NT,F,Apidae,Nomada,parva,Nomada parva,Panurginus,Andrena?,,N,Discover Life,,,
5215,5/30/2014,2014,Elkader,NT,F,Apidae,Nomada,parva,Nomada parva,Panurginus,Andrena?,,N,Discover Life,,,
5216,5/30/2014,2014,Elkader,NT,M,Apidae,Nomada,parva,Nomada parva,Panurginus,Andrena?,,N,Discover Life,,,
,6/9/2014,2014,NealSmith,Bowls,,,,,Bombus cintrinus,Bombus,,,N,,,,
5354,7/3/2014,2014,Greving,NT,M,Megachilidae,Coelioxys,,Coelioxys sayi,Megachile,Megachile brevis,Megachile mendica,Y,"Baker, 1985",,,
5365,7/3/2014,2014,Greving,NT,F,Apidae,Nomada,articulata,Nomada articulata,Agapostemon virescens,Andrena,,Y,"Snelling, 1986",,,
5366,7/3/2014,2014,Greving,NT,F,Apidae,Nomada,articulata,Nomada articulata,Agapostemon virescens,Andrena,,Y,"Snelling, 1986",,,
5367,7/3/2014,2014,Greving,NT,F,Apidae,Nomada,articulata,Nomada articulata,Agapostemon virescens,Andrena,,Y,"Snelling, 1986",,,
5420,7/18/2014,2014,NealSmith,NT,M,Apidae,Triepeolus,nigrihirtus,Triepeolus nigrihirtus,Melissodes,,,Y,"LeBuhn, 2013",,,
5423,7/18/2014,2014,NealSmith,NT,M,Apidae,Triepeolus,lunatus,Triepeolus lunatus,Melissodes bimaculata,Melissodes,,Y,"Rightmyer, 2008",,,
5513,7/30/2014,2014,Greving,NT,F,Apidae,Triepeolus,concavus,Triepeolus concavus,Svastra obliqua,,,N,"Rightmyer, 2008",,,
5552,8/17/2014,2014,NealSmith,NT,M,Apidae,Triepeolus,lunatus,Triepeolus lunatus,Melissodes bimaculata,Melissodes,,Y,"Rightmyer, 2008",,,
5553,8/17/2014,2014,NealSmith,NT,M,Apidae,Triepeolus,lunatus,Triepeolus lunatus,Melissodes bimaculata,Melissodes,,Y,"Rightmyer, 2008",,,
