"","Date","Site","Binomial","2017","2018"
"1",2017-05-05,"Bowman","Augochlorella aurata",1,NA
"2",2017-05-07,"Kaldenberg","Agapostemon femoratus",1,NA
"3",2017-05-13,"Sheller","Lasioglossum (Dialictus) sp.",2,NA
"4",2017-05-14,"Peckumn","Sphecodes sp.",1,NA
"5",2017-05-25,"Kaldenberg","Lasioglossum (Dialictus) sp.",1,NA
"6",2017-05-25,"Kaldenberg","Nomada articulata",1,NA
"7",2017-05-31,"Peckumn","Halictus confusus",2,NA
"8",2017-05-31,"Peckumn","Nomada articulata",1,NA
"9",2017-05-31,"Peckumn","Sphecodes sp.",1,NA
"10",2017-06-15,"Plunkett","Agapostemon virescens",2,NA
"11",2017-06-16,"Bowman","Colletes latitarsis",1,NA
"12",2017-06-16,"Bowman","Lasioglossum (Dialictus) sp.",1,NA
"13",2017-06-18,"Kaldenberg","Calliopsis andreniformis",1,NA
"14",2017-06-18,"Kaldenberg","Halictus confusus",1,NA
"15",2017-06-18,"Kaldenberg","Halictus rubicundus",2,NA
"16",2017-06-18,"Kaldenberg","Holcopasites calliopsidis",1,NA
"17",2017-06-18,"Kaldenberg","Lasioglossum (Dialictus) sp.",8,NA
"18",2017-06-20,"Sloan","Calliopsis andreniformis",2,NA
"19",2017-06-20,"Sloan","Halictus confusus",1,NA
"20",2017-06-27,"Peckumn","Calliopsis andreniformis",1,NA
"21",2017-06-27,"Peckumn","Halictus confusus",4,NA
"22",2017-06-27,"Peckumn","Halictus ligatus",2,NA
"23",2017-06-27,"Peckumn","Hylaeus sp.",1,NA
"24",2017-06-27,"Peckumn","Lasioglossum (Dialictus) sp.",2,NA
"25",2017-06-27,"Peckumn","Sphecodes sp.",1,NA
"26",2017-07-15,"Plunkett","Lasioglossum (Dialictus) sp.",2,NA
"27",2017-07-16,"Bowman","Lasioglossum (Dialictus) sp.",9,NA
"28",2017-07-17,"Kaldenberg","Calliopsis andreniformis",5,NA
"29",2017-07-17,"Kaldenberg","Halictus confusus",12,NA
"30",2017-07-17,"Kaldenberg","Halictus ligatus",8,NA
"31",2017-07-17,"Kaldenberg","Holcopasites calliopsidis",1,NA
"32",2017-07-17,"Kaldenberg","Megachile brevis",1,NA
"33",2017-07-17,"Kaldenberg","Svastra obliqua",1,NA
"34",2017-07-18,"McClellan","Augochlorella aurata",1,NA
"35",2017-07-25,"Cretsinger","Calliopsis andreniformis",1,NA
"36",2017-07-25,"Cretsinger","Calliopsis nebraskensis",1,NA
"37",2017-07-25,"Cretsinger","Halictus confusus",1,NA
"38",2017-07-25,"Cretsinger","Halictus ligatus",1,NA
"39",2017-07-25,"Cretsinger","Holcopasites calliopsidis",1,NA
"40",2017-07-25,"Cretsinger","Lasioglossum (Dialictus) sp.",4,NA
"41",2017-07-25,"Cretsinger","Sphecodes clematidis",1,NA
"42",2017-07-27,"Peckumn","Lasioglossum (Dialictus) sp.",3,NA
"43",2017-07-27,"Peckumn","Lasioglossum athabascense",1,NA
"44",2017-08-12,"Plunkett","Agapostemon virescens",5,NA
"45",2017-08-12,"Plunkett","Calliopsis andreniformis",1,NA
"46",2017-08-12,"Plunkett","Halictus ligatus",1,NA
"47",2017-08-12,"Plunkett","Lasioglossum (Dialictus) sp.",1,NA
"48",2017-08-12,"Plunkett","Megachile latimanus",1,NA
"49",2017-08-18,"Kaldenberg","Halictus confusus",2,NA
"50",2017-08-18,"Kaldenberg","Lasioglossum (Dialictus) sp.",1,NA
"51",2017-08-18,"McClellan","Halictus ligatus",5,NA
"52",2017-08-18,"McClellan","Halictus rubicundus",1,NA
"53",2017-08-18,"McClellan","Lasioglossum (Dialictus) sp.",1,NA
"54",2018-05-04,"Bowman","Augochlorella aurata",NA,1
"55",2018-05-05,"Kaldenberg","Halictus confusus",NA,2
"56",2018-05-05,"Kaldenberg","Halictus rubicundus",NA,1
"57",2018-05-08,"Sloan","Halictus confusus",NA,1
"58",2018-05-10,"Sheller","Halictus confusus",NA,1
"59",2018-05-10,"Sheller","Lasioglossum (Dialictus) sp.",NA,3
"60",2018-05-16,"Cretsinger","Lasioglossum (Dialictus) sp.",NA,2
"61",2018-05-17,"Peckumn","Agapostemon femoratus",NA,1
"62",2018-05-17,"Peckumn","Halictus ligatus",NA,1
"63",2018-05-17,"Peckumn","Lasioglossum (Dialictus) sp.",NA,1
"64",2018-05-18,"Plunkett","Agapostemon virescens",NA,2
"65",2018-05-18,"Plunkett","Halictus ligatus",NA,1
"66",2018-05-24,"Kaldenberg","Augochlorella aurata",NA,2
"67",2018-05-27,"Sloan","Halictus confusus",NA,1
"68",2018-05-29,"Cretsinger","Lasioglossum (Dialictus) sp.",NA,5
"69",2018-06-16,"Bowman","Calliopsis andreniformis",NA,7
"70",2018-06-16,"Bowman","Ceratina sp.",NA,1
"71",2018-06-16,"Bowman","Holcopasites calliopsidis",NA,1
"72",2018-06-16,"Bowman","Lasioglossum (Dialictus) sp.",NA,5
"73",2018-06-17,"Kaldenberg","Halictus confusus",NA,2
"74",2018-06-17,"Kaldenberg","Halictus ligatus",NA,1
"75",2018-06-23,"McClellan","Colletes latitarsis",NA,1
"76",2018-06-24,"Sloan","Calliopsis andreniformis",NA,4
"77",2018-06-24,"Sloan","Halictus confusus",NA,6
"78",2018-06-24,"Sloan","Halictus ligatus",NA,6
"79",2018-06-27,"Sheller","Andrena sp.",NA,1
"80",2018-06-27,"Sheller","Halictus confusus",NA,4
"81",2018-06-27,"Sheller","Lasioglossum (Dialictus) sp.",NA,6
"82",2018-06-29,"Cretsinger","Calliopsis andreniformis",NA,4
"83",2018-06-29,"Cretsinger","Halictus ligatus",NA,2
"84",2018-06-29,"Cretsinger","Holcopasites calliopsidis",NA,3
"85",2018-06-29,"Cretsinger","Lasioglossum (Dialictus) sp.",NA,1
"86",2018-06-29,"Cretsinger","Melissodes druriellus",NA,1
"87",2018-07-02,"Peckumn","Halictus confusus",NA,1
"88",2018-07-02,"Peckumn","Lasioglossum (Dialictus) sp.",NA,2
"89",2018-07-02,"Peckumn","Melissodes druriellus",NA,1
"90",2018-07-16,"Plunkett","Halictus ligatus",NA,2
"91",2018-07-16,"Plunkett","Lasioglossum (Dialictus) sp.",NA,3
"92",2018-07-17,"Bowman","Lasioglossum (Dialictus) sp.",NA,7
"93",2018-07-18,"Kaldenberg","Megachile brevis",NA,1
"94",2018-07-18,"Kaldenberg","Sphecodes clematidis",NA,1
"95",2018-07-21,"McClellan","Halictus confusus",NA,1
"96",2018-07-21,"McClellan","Nomia universitatis",NA,2
"97",2018-07-23,"Sloan","Calliopsis andreniformis",NA,3
"98",2018-07-23,"Sloan","Halictus confusus",NA,2
"99",2018-07-23,"Sloan","Halictus ligatus",NA,2
"100",2018-07-24,"Sheller","Halictus confusus",NA,5
"101",2018-07-24,"Sheller","Lasioglossum (Dialictus) sp.",NA,4
"102",2018-07-26,"Cretsinger","Halictus ligatus",NA,8
"103",2018-07-27,"Peckumn","Andrena cressonii cressonii",NA,1
"104",2018-07-27,"Peckumn","Halictus confusus",NA,5
"105",2018-07-27,"Peckumn","Halictus ligatus",NA,7
"106",2018-07-27,"Peckumn","Lasioglossum (Dialictus) sp.",NA,10
"107",2018-08-09,"Plunkett","Bombus pensylvanicus",NA,1
"108",2018-08-09,"Plunkett","Halictus confusus",NA,1
"109",2018-08-09,"Plunkett","Halictus parallelus",NA,1
"110",2018-08-09,"Plunkett","Lasioglossum (Dialictus) sp.",NA,1
"111",2018-08-09,"Plunkett","Sphecodes clematidis",NA,2
"112",2018-08-10,"Bowman","Agapostemon splendens",NA,1
"113",2018-08-10,"Bowman","Calliopsis andreniformis",NA,8
"114",2018-08-10,"Bowman","Halictus confusus",NA,1
"115",2018-08-10,"Bowman","Halictus ligatus",NA,2
"116",2018-08-10,"Bowman","Hylaeus sp.",NA,1
"117",2018-08-10,"Bowman","Lasioglossum (Dialictus) sp.",NA,1
"118",2018-08-10,"Bowman","Melissodes bimaculata",NA,1
"119",2018-08-10,"Bowman","Sphecodes clematidis",NA,1
"120",2018-08-12,"Kaldenberg","Calliopsis andreniformis",NA,5
"121",2018-08-12,"Kaldenberg","Halictus confusus",NA,1
"122",2018-08-12,"Kaldenberg","Halictus ligatus",NA,2
"123",2018-08-12,"Kaldenberg","Lasioglossum (Dialictus) sp.",NA,1
"124",2018-08-13,"McClellan","Halictus confusus",NA,4
"125",2018-08-14,"Sloan","Calliopsis andreniformis",NA,7
"126",2018-08-14,"Sloan","Halictus confusus",NA,1
"127",2018-08-14,"Sloan","Halictus ligatus",NA,3
"128",2018-08-25,"Cretsinger","Bombus pensylvanicus",NA,1
"129",2018-08-25,"Cretsinger","Calliopsis andreniformis",NA,6
"130",2018-08-25,"Cretsinger","Halictus confusus",NA,1
"131",2018-08-25,"Cretsinger","Halictus ligatus",NA,2
"132",2018-08-25,"Cretsinger","Megachile inimica",NA,1
"133",2018-08-25,"Cretsinger","Melissodes desponsus",NA,1
"134",2018-08-25,"Cretsinger","Sphecodes sp.",NA,1
"135",2018-08-25,"Peckumn","Agapostemon virescens",NA,1
"136",2018-08-25,"Peckumn","Calliopsis andreniformis",NA,1
"137",2018-08-25,"Peckumn","Halictus ligatus",NA,1
"138",2018-08-25,"Peckumn","Lasioglossum (Dialictus) sp.",NA,4
