"","Site","Binomial","2017","2018"
"1","Bowman","Agapostemon splendens",NA,1
"2","Bowman","Augochlorella aurata",1,1
"3","Bowman","Calliopsis andreniformis",NA,15
"4","Bowman","Ceratina sp.",NA,1
"5","Bowman","Colletes latitarsis",1,NA
"6","Bowman","Halictus confusus",NA,1
"7","Bowman","Halictus ligatus",NA,2
"8","Bowman","Holcopasites calliopsidis",NA,1
"9","Bowman","Hylaeus sp.",NA,1
"10","Bowman","Lasioglossum (Dialictus) sp.",10,13
"11","Bowman","Melissodes bimaculata",NA,1
"12","Bowman","Sphecodes clematidis",NA,1
"13","Cretsinger","Bombus pensylvanicus",NA,1
"14","Cretsinger","Calliopsis andreniformis",1,10
"15","Cretsinger","Calliopsis nebraskensis",1,NA
"16","Cretsinger","Halictus confusus",1,1
"17","Cretsinger","Halictus ligatus",1,12
"18","Cretsinger","Holcopasites calliopsidis",1,3
"19","Cretsinger","Lasioglossum (Dialictus) sp.",4,8
"20","Cretsinger","Megachile inimica",NA,1
"21","Cretsinger","Melissodes desponsus",NA,1
"22","Cretsinger","Melissodes druriellus",NA,1
"23","Cretsinger","Sphecodes clematidis",1,NA
"24","Cretsinger","Sphecodes sp.",NA,1
"25","Kaldenberg","Agapostemon femoratus",1,NA
"26","Kaldenberg","Augochlorella aurata",NA,2
"27","Kaldenberg","Calliopsis andreniformis",6,5
"28","Kaldenberg","Halictus confusus",15,5
"29","Kaldenberg","Halictus ligatus",8,3
"30","Kaldenberg","Halictus rubicundus",2,1
"31","Kaldenberg","Holcopasites calliopsidis",2,NA
"32","Kaldenberg","Lasioglossum (Dialictus) sp.",10,1
"33","Kaldenberg","Megachile brevis",1,1
"34","Kaldenberg","Nomada articulata",1,NA
"35","Kaldenberg","Sphecodes clematidis",NA,1
"36","Kaldenberg","Svastra obliqua",1,NA
"37","McClellan","Augochlorella aurata",1,NA
"38","McClellan","Colletes latitarsis",NA,1
"39","McClellan","Halictus confusus",NA,5
"40","McClellan","Halictus ligatus",5,NA
"41","McClellan","Halictus rubicundus",1,NA
"42","McClellan","Lasioglossum (Dialictus) sp.",1,NA
"43","McClellan","Nomia universitatis",NA,2
"44","Peckumn","Agapostemon femoratus",NA,1
"45","Peckumn","Agapostemon virescens",NA,1
"46","Peckumn","Andrena cressonii cressonii",NA,1
"47","Peckumn","Calliopsis andreniformis",1,1
"48","Peckumn","Halictus confusus",6,6
"49","Peckumn","Halictus ligatus",2,9
"50","Peckumn","Hylaeus sp.",1,NA
"51","Peckumn","Lasioglossum (Dialictus) sp.",5,17
"52","Peckumn","Lasioglossum athabascense",1,NA
"53","Peckumn","Melissodes druriellus",NA,1
"54","Peckumn","Nomada articulata",1,NA
"55","Peckumn","Sphecodes sp.",3,NA
"56","Plunkett","Agapostemon virescens",7,2
"57","Plunkett","Bombus pensylvanicus",NA,1
"58","Plunkett","Calliopsis andreniformis",1,NA
"59","Plunkett","Halictus confusus",NA,1
"60","Plunkett","Halictus ligatus",1,3
"61","Plunkett","Halictus parallelus",NA,1
"62","Plunkett","Lasioglossum (Dialictus) sp.",3,4
"63","Plunkett","Megachile latimanus",1,NA
"64","Plunkett","Sphecodes clematidis",NA,2
"65","Sheller","Andrena sp.",NA,1
"66","Sheller","Halictus confusus",NA,10
"67","Sheller","Lasioglossum (Dialictus) sp.",2,13
"68","Sloan","Calliopsis andreniformis",2,14
"69","Sloan","Halictus confusus",1,11
"70","Sloan","Halictus ligatus",NA,11
