"","Binomial","2017","2018"
"1","Agapostemon femoratus",1,1
"2","Agapostemon splendens",NA,1
"3","Agapostemon virescens",7,3
"4","Andrena cressonii cressonii",NA,1
"5","Andrena sp.",NA,1
"6","Augochlorella aurata",2,3
"7","Bombus pensylvanicus",NA,2
"8","Calliopsis andreniformis",11,45
"9","Calliopsis nebraskensis",1,NA
"10","Ceratina sp.",NA,1
"11","Colletes latitarsis",1,1
"12","Halictus confusus",23,40
"13","Halictus ligatus",17,40
"14","Halictus parallelus",NA,1
"15","Halictus rubicundus",3,1
"16","Holcopasites calliopsidis",3,4
"17","Hylaeus sp.",1,1
"18","Lasioglossum (Dialictus) sp.",35,56
"19","Lasioglossum athabascense",1,NA
"20","Megachile brevis",1,1
"21","Megachile inimica",NA,1
"22","Megachile latimanus",1,NA
"23","Melissodes bimaculata",NA,1
"24","Melissodes desponsus",NA,1
"25","Melissodes druriellus",NA,2
"26","Nomada articulata",2,NA
"27","Nomia universitatis",NA,2
"28","Sphecodes clematidis",1,4
"29","Sphecodes sp.",3,1
"30","Svastra obliqua",1,NA
