"","Binomial","Clay Loam","Loam","Loamy Sand","Sandy Loam","Silt Loam","Silty Clay Loam"
"1","Agapostemon femoratus",0,1,0,0,1,0
"2","Agapostemon splendens",0,0,0,1,0,0
"3","Agapostemon virescens",0,0,0,10,0,0
"4","Andrena cressonii cressonii",0,0,0,1,0,0
"5","Andrena sp.",0,1,0,0,0,0
"6","Augochlorella aurata",0,0,0,2,1,2
"7","Bombus pensylvanicus",1,0,0,1,0,0
"8","Calliopsis andreniformis",11,0,3,31,4,7
"9","Calliopsis nebraskensis",1,0,0,0,0,0
"10","Ceratina sp.",0,0,0,1,0,0
"11","Colletes latitarsis",0,1,0,1,0,0
"12","Halictus confusus",2,17,7,13,6,18
"13","Halictus ligatus",13,7,1,25,3,8
"14","Halictus parallelus",0,0,0,1,0,0
"15","Halictus rubicundus",0,1,0,0,2,1
"16","Holcopasites calliopsidis",4,0,0,1,1,1
"17","Hylaeus sp.",0,0,0,2,0,0
"18","Lasioglossum (Dialictus) sp.",3,21,0,37,17,13
"19","Lasioglossum athabascense",0,1,0,0,0,0
"20","Megachile brevis",0,0,0,0,0,2
"21","Megachile inimica",1,0,0,0,0,0
"22","Megachile latimanus",0,0,0,1,0,0
"23","Melissodes bimaculata",0,0,0,1,0,0
"24","Melissodes desponsus",0,0,0,0,0,1
"25","Melissodes druriellus",1,1,0,0,0,0
"26","Nomada articulata",0,0,0,1,1,0
"27","Nomia universitatis",0,1,0,0,0,1
"28","Sphecodes clematidis",0,0,0,3,1,1
"29","Sphecodes sp.",1,2,0,1,0,0
"30","Svastra obliqua",0,0,0,0,0,1
