Bee species,Floral species bee collected from,Pollen present,Pollen absent
Agapostemon texanus,Silphium perfoliatum,1,0
Agapostemon virescens,Silphium perfoliatum,1,0
Agapostemon virescens,Solidago canadensis,2,0
Andrena alleghaniensis,Lotus corniculatus,0,1
Andrena asteris,Ratibida pinnata,1,0
Andrena barbara,Pastinaca sativa,1,1
Andrena commoda,Lotus corniculatus,1,0
Andrena commoda,Zizia aurea,1,0
Andrena nubecula,Solidago canadensis,1,0
Andrena rudbeckiae,Daucus carota,1,5
Andrena rudbeckiae,Ratibida pinnata,9,18
Andrena rudbeckiae,Rudbeckia hirta,2,10
Andrena rudbeckiae,Solidago canadensis,1,0
Andrena sp.,Ratibida pinnata,1,0
Andrena sp.,Silphium perfoliatum,1,0
Andrena sp.,Solidago canadensis,1,1
Andrena sp.,Zizia aurea,5,1
Andrena wilkella,Lotus corniculatus,1,1
Andrena wilkella,Pastinaca sativa,1,0
Andrena ziziae,Thlaspi arvense,1,0
Andrena ziziae,Zizia aurea,5,51
Apis mellifera,Daucus carota,5,1
Apis mellifera,Heliopsis helianthoides,1,0
Apis mellifera,Lotus corniculatus,1,1
Apis mellifera,Monarda fistulosa,0,1
Apis mellifera,Solidago canadensis,2,3
Augochlorella aurata,Cirsium arvense,1,1
Augochlorella aurata,Dalea purpurea,2,1
Augochlorella aurata,Medicago sativa,1,0
Augochlorella aurata,Monarda fistulosa,3,3
Augochlorella aurata,Ratibida pinnata,7,3
Augochlorella aurata,Silphium perfoliatum,1,0
Augochlorella aurata,Sinapis arvensis,1,6
Augochlorella aurata,Solanum carolinense,1,0
Augochlorella aurata,Solidago canadensis,2,0
Augochlorella aurata,Taraxacum officinale,7,0
Augochlorella aurata,Thlaspi arvense,1,0
Augochlorella aurata,Trifolium pratense,1,0
Augochlorella aurata,Verbena stricta,1,0
Augochlorella aurata,Zizia aurea,5,3
Bombus bimaculatus,Asclepias syriaca,1,0
Bombus bimaculatus,Daucus carota,1,0
Bombus bimaculatus,Monarda fistulosa,2,6
Bombus bimaculatus,Solanum carolinense,2,0
Bombus bimaculatus,Trifolium pratense,1,0
Bombus griseocollis,Carduus nutans,2,3
Bombus griseocollis,Cirsium vulgare,4,4
Bombus griseocollis,Daucus carota,3,0
Bombus griseocollis,Lotus corniculatus,2,4
Bombus griseocollis,Monarda fistulosa,6,24
Bombus griseocollis,Ratibida pinnata,7,0
Bombus griseocollis,Silphium perfoliatum,4,8
Bombus griseocollis,Sinapis arvensis,0,1
Bombus griseocollis,Trifolium pratense,1,0
Bombus impatiens,Carduus nutans,2,11
Bombus impatiens,Cirsium vulgare,4,1
Bombus impatiens,Monarda fistulosa,2,4
Bombus impatiens,Physalis virginiana,1,0
Bombus impatiens,Silphium perfoliatum,4,3
Bombus impatiens,Solidago canadensis,4,29
Bombus pensylvanicus,Carduus nutans,1,0
Bombus pensylvanicus,Cirsium vulgare,1,1
Bombus pensylvanicus,Trifolium pratense,1,0
Calliopsis andreniformis,Monarda fistulosa,0,1
Ceratina dupla,Heliopsis helianthoides,1,0
Ceratina dupla,Solidago rigida,1,0
Ceratina dupla,Taraxacum officinale,2,0
Ceratina dupla,Zizia aurea,2,3
Ceratina sp.,Echinacea purpurea,1,0
Ceratina sp.,Heliopsis helianthoides,1,0
Ceratina sp.,Monarda fistulosa,1,1
Ceratina sp.,Pastinaca sativa,0,1
Ceratina sp.,Ratibida pinnata,1,0
Ceratina sp.,Rudbeckia hirta,2,0
Ceratina sp.,Taraxacum officinale,3,0
Ceratina sp.,Verbena stricta,0,1
Ceratina sp.,Zizia aurea,0,1
Colletes latitarsis,Physalis virginiana,1,0
Colletes simulans,Daucus carota,1,0
Colletes simulans,Physalis virginiana,1,0
Colletes simulans,Solidago canadensis,1,0
Dieunomia heteropoda,Silphium perfoliatum,1,0
Dufourea novaeangliae,Monarda fistulosa,1,0
Dufourea novaeangliae,Rudbeckia hirta,1,0
Eucera hamata,Trifolium pratense,2,0
Halictus confusus,Daucus carota,2,0
Halictus confusus,Solidago canadensis,2,1
Halictus confusus,Taraxacum officinale,2,0
Halictus confusus,Zizia aurea,1,2
Halictus ligatus,Achillea millefolium,1,5
Halictus ligatus,Carduus nutans,1,0
Halictus ligatus,Daucus carota,3,0
Halictus ligatus,Helianthus grosseserratus,1,0
Halictus ligatus,Ratibida pinnata,8,20
Halictus ligatus,Rudbeckia hirta,5,1
Halictus ligatus,Silphium perfoliatum,2,3
Halictus ligatus,Solidago canadensis,2,4
Halictus ligatus,Solidago rigida,1,0
Halictus ligatus,Taraxacum officinale,1,0
Halictus ligatus,Zizia aurea,2,0
Halictus parallelus,Daucus carota,1,0
Halictus rubicundus,Solidago canadensis,1,0
Holcopasites calliopsidis,Rudbeckia hirta,1,0
Hoplitis pilosifrons,Monarda fistulosa,1,0
Hoplitis pilosifrons,Trifolium pratense,1,0
Hoplitis pilosifrons,Zizia aurea,1,0
Hylaeus affinis,Zizia aurea,2,5
Hylaeus mesillae,Erigeron annuus,1,0
Hylaeus mesillae,Solidago canadensis,1,1
Hylaeus mesillae,Zizia aurea,4,11
Hylaeus sp.,Daucus carota,2,0
Hylaeus sp.,Pastinaca sativa,1,0
Hylaeus sp.,Solidago canadensis,0,1
Hylaeus sp.,Zizia aurea,4,17
Lasioglossum (Dialictus) sp.,Bellis perennis,1,0
Lasioglossum (Dialictus) sp.,Cirsium arvense,0,1
Lasioglossum (Dialictus) sp.,Dalea purpurea,2,1
Lasioglossum (Dialictus) sp.,Daucus carota,8,1
Lasioglossum (Dialictus) sp.,Erigeron annuus,1,0
Lasioglossum (Dialictus) sp.,Melilotus officinalis,1,0
Lasioglossum (Dialictus) sp.,Monarda fistulosa,2,9
Lasioglossum (Dialictus) sp.,Pastinaca sativa,1,0
Lasioglossum (Dialictus) sp.,Physalis virginiana,1,2
Lasioglossum (Dialictus) sp.,Ratibida pinnata,3,0
Lasioglossum (Dialictus) sp.,Rudbeckia hirta,1,0
Lasioglossum (Dialictus) sp.,Solidago canadensis,3,6
Lasioglossum (Dialictus) sp.,Taraxacum officinale,4,1
Lasioglossum (Dialictus) sp.,Thlaspi arvense,1,0
Lasioglossum (Dialictus) sp.,Zizia aurea,5,14
Lasioglossum pectorale,Thlaspi arvense,0,1
Lasioglossum pectorale,Zizia aurea,0,1
Megachile brevis,Echinacea purpurea,0,1
Megachile brevis,Ratibida pinnata,1,0
Megachile frigida,Silphium perfoliatum,1,0
Megachile inimica,Ratibida pinnata,1,0
Megachile latimanus,Lotus corniculatus,1,0
Megachile latimanus,Monarda fistulosa,0,1
Megachile latimanus,Solidago canadensis,1,0
Megachile mendica,Heliopsis helianthoides,1,0
Megachile montivaga,Cirsium vulgare,1,0
Megachile montivaga,Monarda fistulosa,1,1
Megachile relativa,Asclepias syriaca,1,0
Melissodes agilis,Monarda fistulosa,1,0
Melissodes agilis,Solidago canadensis,1,0
Melissodes bimaculata,Monarda fistulosa,1,1
Melissodes bimaculata,Vernonia fasciculata,0,1
Melissodes boltoniae,Ratibida pinnata,2,2
Melissodes boltoniae,Silphium perfoliatum,1,0
Melissodes communis,Silphium perfoliatum,1,0
Melissodes druriellus,Ratibida pinnata,2,0
Melissodes druriellus,Rudbeckia hirta,1,0
Melissodes trinodis,Solidago canadensis,1,1
Nomada erigeronis,Heliopsis helianthoides,1,0
Nomada parva,Zizia aurea,2,1
Pseudopanurgus albitarsis,Rudbeckia hirta,1,1
Sphecodes clematidis,Erigeron annuus,1,0
Sphecodes sp.,Solidago canadensis,1,0
Stelis lateralis,Taraxacum officinale,1,0
Svastra obliqua,Ratibida pinnata,2,0
Triepeolus donatus,Heliopsis helianthoides,1,0
Triepeolus lunatus,Ratibida pinnata,1,0
