Bee species,Floral species bee collected from,Number of bees collected from flower,Number of observations of pollen on bee species,Pollen present,Pollen absent
Agapostemon texanus,Silphium perfoliatum,1,1,1,0
Agapostemon texanus,Asclepias syriaca,0,1,0,1
Agapostemon virescens,Silphium perfoliatum,1,1,1,0
Agapostemon virescens,Solidago canadensis,2,2,2,0
Agapostemon virescens,Asclepias syriaca,0,3,0,3
Agapostemon virescens,Daucus carota,0,2,0,2
Agapostemon virescens,Pastinaca sativa,0,1,0,1
Agapostemon virescens,Trifolium pratense,0,1,0,1
Andrena alleghaniensis,Lotus corniculatus,1,0,1,1
Andrena alleghaniensis,Apocynum cannabinum,0,1,0,1
Andrena alleghaniensis,Asclepias syriaca,0,1,0,1
Andrena alleghaniensis,Pastinaca sativa,0,1,0,1
Andrena alleghaniensis,Thlaspi arvense,0,1,0,1
Andrena asteris,Ratibida pinnata,1,1,1,0
Andrena asteris,Asclepias syriaca,0,1,0,1
Andrena asteris,Daucus carota,0,1,0,1
Andrena barbara,Pastinaca sativa,2,1,2,1
Andrena barbara,Asclepias syriaca,0,1,0,1
Andrena barbara,Hemerocallis fulva,0,1,0,1
Andrena barbara,Thlaspi arvense,0,1,0,1
Andrena barbara,Trifolium pratense,0,1,0,1
Andrena commoda,Lotus corniculatus,1,1,1,0
Andrena commoda,Zizia aurea,1,1,1,0
Andrena commoda,Asclepias syriaca,0,1,0,1
Andrena commoda,Convolvulus arvensis,0,1,0,1
Andrena commoda,Trifolium pratense,0,1,0,1
Andrena commoda,Trifolium repens,0,1,0,1
Andrena nubecula,Solidago canadensis,1,1,1,0
Andrena nubecula,Asclepias syriaca,0,1,0,1
Andrena nubecula,Daucus carota,0,1,0,1
Andrena rudbeckiae,Daucus carota,1,6,1,5
Andrena rudbeckiae,Ratibida pinnata,27,9,27,18
Andrena rudbeckiae,Rudbeckia hirta,12,2,12,10
Andrena rudbeckiae,Solidago canadensis,1,1,1,0
Andrena rudbeckiae,Asclepias syriaca,0,11,0,11
Andrena rudbeckiae,Cirsium arvense,0,2,0,2
Andrena rudbeckiae,Convolvulus arvensis,0,1,0,1
Andrena rudbeckiae,Dalea purpurea,0,1,0,1
Andrena rudbeckiae,Duchesnea indica,0,1,0,1
Andrena rudbeckiae,Erigeron annuus,0,3,0,3
Andrena rudbeckiae,Eryngium yuccifolium,0,1,0,1
Andrena rudbeckiae,Galium aparine,0,1,0,1
Andrena rudbeckiae,Monarda fistulosa,0,2,0,2
Andrena rudbeckiae,Pastinaca sativa,0,2,0,2
Andrena rudbeckiae,Silphium perfoliatum,0,1,0,1
Andrena rudbeckiae,Solidago rigida,0,1,0,1
Andrena rudbeckiae,Taraxacum officinale,0,2,0,2
Andrena rudbeckiae,Trifolium pratense,0,4,0,4
Andrena rudbeckiae,Trifolium repens,0,2,0,2
Andrena rudbeckiae,Verbena stricta,0,1,0,1
Andrena sp.,Ratibida pinnata,1,1,1,0
Andrena sp.,Silphium perfoliatum,1,1,1,0
Andrena sp.,Solidago canadensis,2,1,2,1
Andrena sp.,Zizia aurea,6,5,6,1
Andrena sp.,Asclepias syriaca,0,7,0,7
Andrena sp.,Cuscuta gronovii,0,1,0,1
Andrena sp.,Galium aparine,0,1,0,1
Andrena sp.,Ornithogalum umbellatum,0,1,0,1
Andrena sp.,Rudbeckia hirta,0,2,0,2
Andrena sp.,Sinapis arvensis,0,1,0,1
Andrena sp.,Solidago rigida,0,1,0,1
Andrena sp.,Thlaspi arvense,0,1,0,1
Andrena sp.,Trifolium pratense,0,1,0,1
Andrena sp.,Trifolium repens,0,2,0,2
Andrena wilkella,Lotus corniculatus,2,1,2,1
Andrena wilkella,Pastinaca sativa,1,1,1,0
Andrena wilkella,Asclepias syriaca,0,2,0,2
Andrena wilkella,Convolvulus arvensis,0,1,0,1
Andrena wilkella,Hemerocallis fulva,0,1,0,1
Andrena wilkella,Medicago lupulina,0,1,0,1
Andrena wilkella,Rudbeckia hirta,0,1,0,1
Andrena wilkella,Trifolium pratense,0,2,0,2
Andrena ziziae,Thlaspi arvense,1,1,1,0
Andrena ziziae,Zizia aurea,56,5,56,51
Andrena ziziae,Anemone canadensis,0,1,0,1
Andrena ziziae,Asclepias syriaca,0,6,0,6
Andrena ziziae,Cirsium arvense,0,2,0,2
Andrena ziziae,Erigeron annuus,0,1,0,1
Andrena ziziae,Galium aparine,0,3,0,3
Andrena ziziae,Heliopsis helianthoides,0,1,0,1
Andrena ziziae,Medicago lupulina,0,2,0,2
Andrena ziziae,Oxalis stricta,0,2,0,2
Andrena ziziae,Physalis virginiana,0,1,0,1
Andrena ziziae,Ratibida pinnata,0,1,0,1
Andrena ziziae,Rubus idaeus,0,1,0,1
Andrena ziziae,Rudbeckia hirta,0,1,0,1
Andrena ziziae,Silene latifolia,0,1,0,1
Andrena ziziae,Sinapis arvensis,0,2,0,2
Andrena ziziae,Taraxacum officinale,0,1,0,1
Andrena ziziae,Trifolium pratense,0,3,0,3
Andrena ziziae,Trifolium repens,0,2,0,2
Apis mellifera,Daucus carota,6,5,6,1
Apis mellifera,Heliopsis helianthoides,1,1,1,0
Apis mellifera,Lotus corniculatus,2,1,2,1
Apis mellifera,Monarda fistulosa,1,0,1,1
Apis mellifera,Solidago canadensis,5,2,5,3
Apis mellifera,Asclepias syriaca,0,6,0,6
Apis mellifera,Carduus nutans,0,1,0,1
Apis mellifera,Cirsium arvense,0,1,0,1
Apis mellifera,Cirsium vulgare,0,2,0,2
Apis mellifera,Convolvulus arvensis,0,2,0,2
Apis mellifera,Conyza canadensis,0,1,0,1
Apis mellifera,Helianthus grosseserratus,0,1,0,1
Apis mellifera,Pastinaca sativa,0,2,0,2
Apis mellifera,Ratibida pinnata,0,1,0,1
Apis mellifera,Silene latifolia,0,1,0,1
Apis mellifera,Taraxacum officinale,0,1,0,1
Apis mellifera,Trifolium pratense,0,2,0,2
Apis mellifera,Verbascum thapsus,0,1,0,1
Augochlorella aurata,Cirsium arvense,1,2,1,1
Augochlorella aurata,Dalea purpurea,2,3,2,1
Augochlorella aurata,Medicago sativa,1,1,1,0
Augochlorella aurata,Monarda fistulosa,6,3,6,3
Augochlorella aurata,Ratibida pinnata,10,7,10,3
Augochlorella aurata,Silphium perfoliatum,1,1,1,0
Augochlorella aurata,Sinapis arvensis,7,1,7,6
Augochlorella aurata,Solanum carolinense,1,1,1,0
Augochlorella aurata,Solidago canadensis,2,4,2,2
Augochlorella aurata,Taraxacum officinale,7,9,7,2
Augochlorella aurata,Thlaspi arvense,1,4,1,3
Augochlorella aurata,Trifolium pratense,1,7,1,6
Augochlorella aurata,Verbena stricta,1,1,1,0
Augochlorella aurata,Zizia aurea,8,5,8,3
Augochlorella aurata,Abutilon theophrasti,0,1,0,1
Augochlorella aurata,Asclepias syriaca,0,22,0,22
Augochlorella aurata,Carduus nutans,0,1,0,1
Augochlorella aurata,Convolvulus arvensis,0,4,0,4
Augochlorella aurata,Conyza canadensis,0,1,0,1
Augochlorella aurata,Daucus carota,0,6,0,6
Augochlorella aurata,Desmodium canadense,0,1,0,1
Augochlorella aurata,Echinacea purpurea,0,1,0,1
Augochlorella aurata,Erigeron annuus,0,5,0,5
Augochlorella aurata,Galium aparine,0,2,0,2
Augochlorella aurata,Lotus corniculatus,0,2,0,2
Augochlorella aurata,Melilotus officinalis,0,1,0,1
Augochlorella aurata,Ornithogalum umbellatum,0,1,0,1
Augochlorella aurata,Oxalis stricta,0,4,0,4
Augochlorella aurata,Physalis virginiana,0,1,0,1
Augochlorella aurata,Rudbeckia hirta,0,1,0,1
Augochlorella aurata,Saponaria officinalis,0,1,0,1
Augochlorella aurata,Silene latifolia,0,2,0,2
Augochlorella aurata,Trifolium repens,0,2,0,2
Augochlorella aurata,Verbascum thapsus,0,1,0,1
Augochlorella aurata,Vicia villosa,0,1,0,1
Bombus bimaculatus,Asclepias syriaca,1,6,1,5
Bombus bimaculatus,Daucus carota,1,4,1,3
Bombus bimaculatus,Monarda fistulosa,8,2,8,6
Bombus bimaculatus,Solanum carolinense,1,2,1,1
Bombus bimaculatus,Trifolium pratense,1,6,1,5
Bombus bimaculatus,Cirsium arvense,0,2,0,2
Bombus bimaculatus,Convolvulus arvensis,0,4,0,4
Bombus bimaculatus,Erigeron annuus,0,1,0,1
Bombus bimaculatus,Galium aparine,0,4,0,4
Bombus bimaculatus,Hemerocallis fulva,0,1,0,1
Bombus bimaculatus,Lotus corniculatus,0,2,0,2
Bombus bimaculatus,Melilotus officinalis,0,1,0,1
Bombus bimaculatus,Ratibida pinnata,0,1,0,1
Bombus bimaculatus,Rudbeckia hirta,0,1,0,1
Bombus bimaculatus,Solidago canadensis,0,2,0,2
Bombus griseocollis,Carduus nutans,5,2,5,3
Bombus griseocollis,Cirsium vulgare,8,4,8,4
Bombus griseocollis,Daucus carota,3,14,3,11
Bombus griseocollis,Lotus corniculatus,6,2,6,4
Bombus griseocollis,Monarda fistulosa,30,6,30,24
Bombus griseocollis,Ratibida pinnata,7,7,7,0
Bombus griseocollis,Silphium perfoliatum,12,4,12,8
Bombus griseocollis,Sinapis arvensis,1,0,1,1
Bombus griseocollis,Trifolium pratense,1,11,1,10
Bombus griseocollis,Abutilon theophrasti,0,1,0,1
Bombus griseocollis,Asclepias syriaca,0,17,0,17
Bombus griseocollis,Cirsium arvense,0,5,0,5
Bombus griseocollis,Convolvulus arvensis,0,7,0,7
Bombus griseocollis,Erigeron annuus,0,5,0,5
Bombus griseocollis,Eryngium yuccifolium,0,1,0,1
Bombus griseocollis,Galium aparine,0,2,0,2
Bombus griseocollis,Helianthus grosseserratus,0,1,0,1
Bombus griseocollis,Heliopsis helianthoides,0,1,0,1
Bombus griseocollis,Hemerocallis fulva,0,1,0,1
Bombus griseocollis,Lactuca canadensis,0,1,0,1
Bombus griseocollis,Medicago lupulina,0,1,0,1
Bombus griseocollis,Melilotus officinalis,0,2,0,2
Bombus griseocollis,Pastinaca sativa,0,2,0,2
Bombus griseocollis,Physalis virginiana,0,3,0,3
Bombus griseocollis,Rudbeckia hirta,0,2,0,2
Bombus griseocollis,Silene latifolia,0,5,0,5
Bombus griseocollis,Solanum carolinense,0,2,0,2
Bombus griseocollis,Solidago canadensis,0,7,0,7
Bombus griseocollis,Solidago rigida,0,2,0,2
Bombus griseocollis,Taraxacum officinale,0,2,0,2
Bombus griseocollis,Trifolium repens,0,3,0,3
Bombus griseocollis,Verbena stricta,0,3,0,3
Bombus impatiens,Carduus nutans,13,2,13,11
Bombus impatiens,Cirsium vulgare,5,4,5,1
Bombus impatiens,Monarda fistulosa,6,2,6,4
Bombus impatiens,Physalis virginiana,1,3,1,2
Bombus impatiens,Silphium perfoliatum,7,4,7,3
Bombus impatiens,Solidago canadensis,33,4,33,29
Bombus impatiens,Apocynum cannabinum,0,1,0,1
Bombus impatiens,Asclepias syriaca,0,9,0,9
Bombus impatiens,Baptisia alba,0,1,0,1
Bombus impatiens,Cirsium arvense,0,1,0,1
Bombus impatiens,Convolvulus arvensis,0,6,0,6
Bombus impatiens,Daucus carota,0,5,0,5
Bombus impatiens,Erigeron annuus,0,3,0,3
Bombus impatiens,Galium aparine,0,2,0,2
Bombus impatiens,Helianthus grosseserratus,0,1,0,1
Bombus impatiens,Heliopsis helianthoides,0,1,0,1
Bombus impatiens,Hemerocallis fulva,0,3,0,3
Bombus impatiens,Lonicera japonica,0,1,0,1
Bombus impatiens,Lotus corniculatus,0,4,0,4
Bombus impatiens,Medicago sativa,0,1,0,1
Bombus impatiens,Melilotus officinalis,0,1,0,1
Bombus impatiens,Pastinaca sativa,0,1,0,1
Bombus impatiens,Ratibida pinnata,0,2,0,2
Bombus impatiens,Rubus idaeus,0,1,0,1
Bombus impatiens,Silene latifolia,0,3,0,3
Bombus impatiens,Solanum carolinense,0,4,0,4
Bombus impatiens,Solidago rigida,0,1,0,1
Bombus impatiens,Taraxacum officinale,0,4,0,4
Bombus impatiens,Trifolium pratense,0,4,0,4
Bombus impatiens,Trifolium repens,0,1,0,1
Bombus impatiens,Verbascum thapsus,0,1,0,1
Bombus pensylvanicus,Carduus nutans,1,1,1,0
Bombus pensylvanicus,Cirsium vulgare,2,1,2,1
Bombus pensylvanicus,Trifolium pratense,1,2,1,1
