"","Flower","Bee.ID","n.x","n.y"
"1","Achillea millefolium","Halictus ligatus",6,1
"2","Asclepias syriaca","Bombus bimaculatus",1,6
"3","Asclepias syriaca","Megachile relativa",1,1
"4","Bellis perennis","Lasioglossum (Dialictus) sp.",1,1
"5","Carduus nutans","Bombus griseocollis",5,2
"6","Carduus nutans","Bombus impatiens",13,2
"7","Carduus nutans","Bombus pensylvanicus",1,1
"8","Carduus nutans","Halictus ligatus",1,1
"9","Cirsium arvense","Augochlorella aurata",1,2
"10","Cirsium arvense","Lasioglossum (Dialictus) sp.",1,NA
"11","Cirsium vulgare","Bombus griseocollis",8,4
"12","Cirsium vulgare","Bombus impatiens",5,4
"13","Cirsium vulgare","Bombus pensylvanicus",2,1
"14","Cirsium vulgare","Megachile montivaga",1,1
"15","Dalea purpurea","Augochlorella aurata",2,3
"16","Dalea purpurea","Lasioglossum (Dialictus) sp.",3,2
"17","Daucus carota","Andrena rudbeckiae",1,6
"18","Daucus carota","Apis mellifera",6,5
"19","Daucus carota","Bombus bimaculatus",1,4
"20","Daucus carota","Bombus griseocollis",3,14
"21","Daucus carota","Colletes simulans",1,2
"22","Daucus carota","Halictus confusus",2,3
"23","Daucus carota","Halictus ligatus",3,8
"24","Daucus carota","Halictus parallelus",1,1
"25","Daucus carota","Hylaeus sp.",2,2
"26","Daucus carota","Lasioglossum (Dialictus) sp.",9,8
"27","Echinacea purpurea","Ceratina sp.",1,1
"28","Echinacea purpurea","Megachile brevis",1,NA
"29","Erigeron annuus","Hylaeus mesillae",1,3
"30","Erigeron annuus","Lasioglossum (Dialictus) sp.",1,7
"31","Erigeron annuus","Sphecodes clematidis",1,1
"32","Helianthus grosseserratus","Halictus ligatus",1,1
"33","Heliopsis helianthoides","Apis mellifera",1,1
"34","Heliopsis helianthoides","Ceratina dupla",1,1
"35","Heliopsis helianthoides","Ceratina sp.",1,2
"36","Heliopsis helianthoides","Megachile mendica",1,1
"37","Heliopsis helianthoides","Nomada erigeronis",1,1
"38","Heliopsis helianthoides","Triepeolus donatus",1,1
"39","Lotus corniculatus","Andrena alleghaniensis",1,NA
"40","Lotus corniculatus","Andrena commoda",1,1
"41","Lotus corniculatus","Andrena wilkella",2,1
"42","Lotus corniculatus","Apis mellifera",2,1
"43","Lotus corniculatus","Bombus griseocollis",6,2
"44","Lotus corniculatus","Megachile latimanus",1,1
"45","Medicago sativa","Augochlorella aurata",1,1
"46","Melilotus officinalis","Lasioglossum (Dialictus) sp.",1,2
"47","Monarda fistulosa","Apis mellifera",1,NA
"48","Monarda fistulosa","Augochlorella aurata",6,3
"49","Monarda fistulosa","Bombus bimaculatus",8,2
"50","Monarda fistulosa","Bombus griseocollis",30,6
"51","Monarda fistulosa","Bombus impatiens",6,2
"52","Monarda fistulosa","Calliopsis andreniformis",1,NA
"53","Monarda fistulosa","Ceratina sp.",2,1
"54","Monarda fistulosa","Dufourea novaeangliae",1,1
"55","Monarda fistulosa","Hoplitis pilosifrons",1,1
"56","Monarda fistulosa","Lasioglossum (Dialictus) sp.",11,2
"57","Monarda fistulosa","Megachile latimanus",1,NA
"58","Monarda fistulosa","Megachile montivaga",2,1
"59","Monarda fistulosa","Melissodes agilis",1,1
"60","Monarda fistulosa","Melissodes bimaculata",2,1
"61","Pastinaca sativa","Andrena barbara",2,1
"62","Pastinaca sativa","Andrena wilkella",1,1
"63","Pastinaca sativa","Ceratina sp.",1,NA
"64","Pastinaca sativa","Hylaeus sp.",1,1
"65","Pastinaca sativa","Lasioglossum (Dialictus) sp.",1,1
"66","Physalis virginiana","Bombus impatiens",1,3
"67","Physalis virginiana","Colletes latitarsis",1,1
"68","Physalis virginiana","Colletes simulans",1,2
"69","Physalis virginiana","Lasioglossum (Dialictus) sp.",3,1
"70","Ratibida pinnata","Andrena asteris",1,1
"71","Ratibida pinnata","Andrena rudbeckiae",27,9
"72","Ratibida pinnata","Andrena sp.",1,1
"73","Ratibida pinnata","Augochlorella aurata",10,7
"74","Ratibida pinnata","Bombus griseocollis",7,7
"75","Ratibida pinnata","Ceratina sp.",1,3
"76","Ratibida pinnata","Halictus ligatus",28,8
"77","Ratibida pinnata","Lasioglossum (Dialictus) sp.",3,6
"78","Ratibida pinnata","Megachile brevis",1,1
"79","Ratibida pinnata","Megachile inimica",1,1
"80","Ratibida pinnata","Melissodes boltoniae",4,2
"81","Ratibida pinnata","Melissodes druriellus",2,2
"82","Ratibida pinnata","Svastra obliqua",2,2
"83","Ratibida pinnata","Triepeolus lunatus",1,1
"84","Rudbeckia hirta","Andrena rudbeckiae",12,2
"85","Rudbeckia hirta","Ceratina sp.",2,3
"86","Rudbeckia hirta","Dufourea novaeangliae",1,1
"87","Rudbeckia hirta","Halictus ligatus",6,5
"88","Rudbeckia hirta","Holcopasites calliopsidis",1,1
"89","Rudbeckia hirta","Lasioglossum (Dialictus) sp.",1,4
"90","Rudbeckia hirta","Melissodes druriellus",1,1
"91","Rudbeckia hirta","Pseudopanurgus albitarsis",2,1
"92","Silphium perfoliatum","Agapostemon texanus",1,1
"93","Silphium perfoliatum","Agapostemon virescens",1,1
"94","Silphium perfoliatum","Andrena sp.",1,1
"95","Silphium perfoliatum","Augochlorella aurata",1,1
"96","Silphium perfoliatum","Bombus griseocollis",12,4
"97","Silphium perfoliatum","Bombus impatiens",7,4
"98","Silphium perfoliatum","Dieunomia heteropoda",1,1
"99","Silphium perfoliatum","Halictus ligatus",5,2
"100","Silphium perfoliatum","Megachile frigida",1,1
"101","Silphium perfoliatum","Melissodes boltoniae",1,1
"102","Silphium perfoliatum","Melissodes communis",1,1
"103","Sinapis arvensis","Augochlorella aurata",7,1
"104","Sinapis arvensis","Bombus griseocollis",1,NA
"105","Solanum carolinense","Augochlorella aurata",1,1
"106","Solanum carolinense","Bombus bimaculatus",1,2
"107","Solidago canadensis","Agapostemon virescens",2,2
"108","Solidago canadensis","Andrena nubecula",1,1
"109","Solidago canadensis","Andrena rudbeckiae",1,1
"110","Solidago canadensis","Andrena sp.",2,1
"111","Solidago canadensis","Apis mellifera",5,2
"112","Solidago canadensis","Augochlorella aurata",2,4
"113","Solidago canadensis","Bombus impatiens",33,4
"114","Solidago canadensis","Colletes simulans",1,1
"115","Solidago canadensis","Halictus confusus",3,2
"116","Solidago canadensis","Halictus ligatus",6,2
"117","Solidago canadensis","Halictus rubicundus",1,1
"118","Solidago canadensis","Hylaeus mesillae",2,1
"119","Solidago canadensis","Hylaeus sp.",1,NA
"120","Solidago canadensis","Lasioglossum (Dialictus) sp.",9,3
"121","Solidago canadensis","Megachile latimanus",1,1
"122","Solidago canadensis","Melissodes agilis",1,1
"123","Solidago canadensis","Melissodes trinodis",2,1
"124","Solidago canadensis","Sphecodes sp.",1,1
"125","Solidago rigida","Ceratina dupla",1,1
"126","Solidago rigida","Halictus ligatus",1,1
"127","Taraxacum officinale","Augochlorella aurata",7,9
"128","Taraxacum officinale","Ceratina dupla",2,2
"129","Taraxacum officinale","Ceratina sp.",3,3
"130","Taraxacum officinale","Halictus confusus",2,3
"131","Taraxacum officinale","Halictus ligatus",1,8
"132","Taraxacum officinale","Lasioglossum (Dialictus) sp.",5,4
"133","Taraxacum officinale","Stelis lateralis",1,1
"134","Thlaspi arvense","Andrena ziziae",1,1
"135","Thlaspi arvense","Augochlorella aurata",1,4
"136","Thlaspi arvense","Lasioglossum (Dialictus) sp.",1,1
"137","Thlaspi arvense","Lasioglossum pectorale",1,NA
"138","Trifolium pratense","Augochlorella aurata",1,7
"139","Trifolium pratense","Bombus bimaculatus",1,6
"140","Trifolium pratense","Bombus griseocollis",1,11
"141","Trifolium pratense","Bombus pensylvanicus",1,2
"142","Trifolium pratense","Eucera hamata",2,2
"143","Trifolium pratense","Hoplitis pilosifrons",1,1
"144","Verbena stricta","Augochlorella aurata",1,1
"145","Verbena stricta","Ceratina sp.",1,NA
"146","Vernonia fasciculata","Melissodes bimaculata",1,NA
