"","Pollen.ID","Bees"
"1","Abutilon theophrasti","Augochlorella aurata, Bombus griseocollis, Ceratina sp., Halictus ligatus, Melissodes boltoniae"
"2","Achillea millefolium","Ceratina dupla, Halictus ligatus, Lasioglossum (Dialictus) sp."
"3","Anemone canadensis","Andrena ziziae, Hylaeus sp., Nomada parva"
"4","Apocynum cannabinum","Andrena alleghaniensis, Bombus impatiens, Lasioglossum (Dialictus) sp."
"5","Asclepias syriaca","Agapostemon texanus, Agapostemon virescens, Andrena alleghaniensis, Andrena asteris, Andrena barbara, Andrena commoda, Andrena nubecula, Andrena rudbeckiae, Andrena sp., Andrena wilkella, Andrena ziziae, Apis mellifera, Augochlorella aurata, Bombus bimaculatus, Bombus griseocollis, Bombus impatiens, Bombus pensylvanicus, Calliopsis andreniformis, Ceratina dupla, Ceratina sp., Colletes latitarsis, Colletes simulans, Dieunomia heteropoda, Dufourea novaeangliae, Eucera hamata, Halictus confusus, Halictus ligatus, Halictus parallelus, Halictus rubicundus, Holcopasites calliopsidis, Hoplitis pilosifrons, Hylaeus affinis, Hylaeus mesillae, Hylaeus sp., Lasioglossum (Dialictus) sp., Lasioglossum pectorale, Megachile brevis, Megachile frigida, Megachile inimica, Megachile latimanus, Megachile mendica, Megachile montivaga, Megachile relativa, Melissodes agilis, Melissodes bimaculata, Melissodes boltoniae, Melissodes communis, Melissodes druriellus, Melissodes trinodis, Nomada erigeronis, Nomada parva, Pseudopanurgus albitarsis, Sphecodes clematidis, Sphecodes sp., Svastra obliqua, Triepeolus donatus, Triepeolus lunatus"
"6","Asclepias verticillata","Lasioglossum (Dialictus) sp."
"7","Baptisia alba","Bombus impatiens"
"8","Bellis perennis","Lasioglossum (Dialictus) sp."
"9","Carduus nutans","Apis mellifera, Augochlorella aurata, Bombus griseocollis, Bombus impatiens, Bombus pensylvanicus, Halictus ligatus, Lasioglossum (Dialictus) sp., Melissodes boltoniae"
"10","Cirsium arvense","Andrena rudbeckiae, Andrena ziziae, Apis mellifera, Augochlorella aurata, Bombus bimaculatus, Bombus griseocollis, Bombus impatiens, Ceratina sp., Halictus ligatus, Hylaeus affinis, Hylaeus mesillae, Hylaeus sp., Lasioglossum pectorale, Megachile inimica, Megachile latimanus, Melissodes boltoniae, Pseudopanurgus albitarsis, Svastra obliqua"
"11","Cirsium vulgare","Apis mellifera, Bombus griseocollis, Bombus impatiens, Bombus pensylvanicus, Colletes simulans, Halictus ligatus, Megachile montivaga, Melissodes communis"
"12","Convolvulus arvensis","Andrena commoda, Andrena rudbeckiae, Andrena wilkella, Apis mellifera, Augochlorella aurata, Bombus bimaculatus, Bombus griseocollis, Bombus impatiens, Bombus pensylvanicus, Ceratina sp., Colletes simulans, Eucera hamata, Halictus ligatus, Halictus parallelus, Lasioglossum (Dialictus) sp., Megachile brevis, Megachile latimanus, Melissodes agilis, Triepeolus lunatus"
"13","Conyza canadensis","Apis mellifera, Augochlorella aurata, Ceratina sp., Lasioglossum (Dialictus) sp."
"14","Cuscuta gronovii","Andrena sp."
"15","Dalea purpurea","Andrena rudbeckiae, Augochlorella aurata, Lasioglossum (Dialictus) sp., Melissodes boltoniae"
"16","Daucus carota","Agapostemon virescens, Andrena asteris, Andrena nubecula, Andrena rudbeckiae, Apis mellifera, Augochlorella aurata, Bombus bimaculatus, Bombus griseocollis, Bombus impatiens, Colletes simulans, Halictus confusus, Halictus ligatus, Halictus parallelus, Hoplitis pilosifrons, Hylaeus mesillae, Hylaeus sp., Lasioglossum (Dialictus) sp., Megachile brevis, Megachile frigida, Megachile montivaga, Melissodes agilis, Melissodes bimaculata, Melissodes boltoniae, Melissodes druriellus, Melissodes trinodis, Sphecodes sp."
"17","Desmodium canadense","Augochlorella aurata, Lasioglossum (Dialictus) sp."
"18","Dianthus armeria","Ceratina sp., Halictus ligatus"
