Non-RRW,,,RRW,
Agapostemon femoratus,10,,Agapostemon femoratus,1
Agapostemon sericeus,7,,Agapostemon sericeus,5
Agapostemon splendens,9,,Agapostemon splendens,1
Agapostemon texanus,54,,Agapostemon texanus,41
Agapostemon virescens,692,,Agapostemon virescens,263
Andrena aliciae,1,,Andrena asteris,2
Andrena alleghaniensis,1,,Andrena commoda,14
Andrena asteris,3,,Andrena cressonii cressonii,7
Andrena barbara,1,,Andrena geranii,1
Andrena commoda,19,,Andrena ignota,1
Andrena crataegi,1,,Andrena robertsonii,1
Andrena cressonii cressonii,24,,Andrena rudbeckiae,60
Andrena forbesii,2,,Andrena simplex,2
Andrena fragilis,2,,Andrena sp.,30
Andrena frigida,1,,Andrena w-scripta,1
Andrena geranii,1,,Andrena wilkella,4
Andrena hirticincta,1,,Andrena ziziae,24
Andrena imitatrix,4,,Anthophora bomboides,1
Andrena integra,2,,Anthophora terminalis,1
Andrena melanochroa,1,,Apis mellifera,36
Andrena nivalis,5,,Ashmeadiella bucconis,1
Andrena nuda,2,,Augochlorella aurata,328
Andrena platyparia,1,,Augochloropsis metallica,6
Andrena polemonii,1,,Bombus auricomus,3
Andrena robertsonii,1,,Bombus bimaculatus,7
Andrena rudbeckiae,27,,Bombus fraternus,1
Andrena simplex,1,,Bombus griseocollis,21
Andrena sp.,77,,Bombus impatiens,23
Andrena spiraeana,2,,Bombus pensylvanicus,28
Andrena w-scripta,2,,Bombus sp.,1
Andrena wilkella,28,,Calliopsis andreniformis,3
Andrena wilmattae,9,,Calliopsis nebraskensis,1
Andrena ziziae,2,,Ceratina calcarata,12
Anthophora bomboides,2,,Ceratina dupla,2
Anthophora terminalis,5,,Ceratina mikmaqi,8
Anthophora walshii,1,,Ceratina sp.,120
Apis mellifera,172,,Coelioxys sayi,1
Ashmeadiella bucconis,5,,Colletes latitarsis,4
Augochlora pura,1,,Colletes sp.,1
Augochlorella aurata,608,,Eucera hamata,213
Augochloropsis fulgida,4,,Florilegus condignus,1
Augochloropsis metallica,10,,Halictus confusus,88
Bombus auricomus,1,,Halictus ligatus,237
