"","Family","Binomial","n"
"1","Andrenidae","Andrena alleghaniensis",1
"2","Andrenidae","Andrena asteris",3
"3","Andrenidae","Andrena barbara",5
"4","Andrenidae","Andrena canadensis",3
"5","Andrenidae","Andrena commoda",40
"6","Andrenidae","Andrena cressonii cressonii",34
"7","Andrenidae","Andrena dunningi",1
"8","Andrenidae","Andrena forbesii",2
"9","Andrenidae","Andrena fragilis",3
"10","Andrenidae","Andrena geranii",1
"11","Andrenidae","Andrena hirticincta",2
"12","Andrenidae","Andrena ignota",1
"13","Andrenidae","Andrena imitatrix",4
"14","Andrenidae","Andrena integra",2
"15","Andrenidae","Andrena melanochroa",1
"16","Andrenidae","Andrena nivalis",5
"17","Andrenidae","Andrena nubecula",4
"18","Andrenidae","Andrena nuda",3
"19","Andrenidae","Andrena platyparia",3
"20","Andrenidae","Andrena robertsonii",6
"21","Andrenidae","Andrena rudbeckiae",244
"22","Andrenidae","Andrena rugosa",1
"23","Andrenidae","Andrena simplex",1
"24","Andrenidae","Andrena sp.",131
"25","Andrenidae","Andrena spiraeana",2
"26","Andrenidae","Andrena w-scripta",3
"27","Andrenidae","Andrena wilkella",50
"28","Andrenidae","Andrena wilmattae",9
"29","Andrenidae","Andrena ziziae",187
"30","Andrenidae","Calliopsis andreniformis",68
"31","Andrenidae","Calliopsis nebraskensis",2
"32","Andrenidae","Perdita sp.",4
"33","Andrenidae","Perdita swenki",1
"34","Andrenidae","Protandrena bancrofti",4
"35","Andrenidae","Pseudopanurgus aestivalis",3
"36","Andrenidae","Pseudopanurgus albitarsis",33
"37","Andrenidae","Pseudopanurgus solidaginis",4
"38","Apidae","Anthophora bomboides",4
"39","Apidae","Anthophora terminalis",13
"40","Apidae","Anthophora walshii",4
"41","Apidae","Apis mellifera",254
"42","Apidae","Bombus auricomus",3
"43","Apidae","Bombus bimaculatus",42
"44","Apidae","Bombus borealis",1
"45","Apidae","Bombus citrinus",2
"46","Apidae","Bombus fervidus",16
"47","Apidae","Bombus fraternus",1
"48","Apidae","Bombus griseocollis",212
"49","Apidae","Bombus impatiens",241
"50","Apidae","Bombus pensylvanicus",87
"51","Apidae","Bombus vagans",4
"52","Apidae","Ceratina calcarata",26
"53","Apidae","Ceratina dupla",47
"54","Apidae","Ceratina mikmaqi",15
"55","Apidae","Ceratina sp.",314
"56","Apidae","Ceratina strenua",2
"57","Apidae","Epeolus bifasciatus",7
"58","Apidae","Eucera atriventris",3
"59","Apidae","Eucera hamata",600
"60","Apidae","Florilegus condignus",1
"61","Apidae","Holcopasites calliopsidis",8
"62","Apidae","Melissodes agilis",33
"63","Apidae","Melissodes bidentis",3
"64","Apidae","Melissodes bimaculata",705
"65","Apidae","Melissodes boltoniae",9
"66","Apidae","Melissodes communis",45
"67","Apidae","Melissodes comptoides",48
"68","Apidae","Melissodes coreopsis",12
"69","Apidae","Melissodes denticulatus",3
"70","Apidae","Melissodes desponsus",61
"71","Apidae","Melissodes druriellus",16
"72","Apidae","Melissodes fumosus",1
"73","Apidae","Melissodes nivea",3
"74","Apidae","Melissodes sp.",2
"75","Apidae","Melissodes subillatus",2
"76","Apidae","Melissodes trinodis",267
"77","Apidae","Melissodes vernoniae",1
"78","Apidae","Melissodes wheeleri",1
"79","Apidae","Nomada articulata",31
"80","Apidae","Nomada denticulata",3
"81","Apidae","Nomada depressa",8
"82","Apidae","Nomada erigeronis",5
"83","Apidae","Nomada graenicheri",1
"84","Apidae","Nomada illinoensis",2
"85","Apidae","Nomada imbricata",1
"86","Apidae","Nomada integerrima",1
"87","Apidae","Nomada parva",10
"88","Apidae","Nomada sayi",1
"89","Apidae","Nomada superba",3
"90","Apidae","Nomada vincta",1
"91","Apidae","Peponapis pruinosa",4
"92","Apidae","Svastra obliqua",21
"93","Apidae","Triepeolus concavus",1
"94","Apidae","Triepeolus donatus",5
"95","Apidae","Triepeolus helianthi",1
"96","Apidae","Triepeolus lunatus",11
"97","Apidae","Triepeolus simplex",1
"98","Apidae","Xeromelecta interrupta",1
"99","Apidae","Xylocopa virginica",3
"100","Colletidae","Colletes americanus",1
"101","Colletidae","Colletes consors",1
"102","Colletidae","Colletes kincaidii",1
"103","Colletidae","Colletes latitarsis",10
"104","Colletidae","Colletes simulans",7
"105","Colletidae","Colletes sp.",2
"106","Colletidae","Hylaeus affinis",75
"107","Colletidae","Hylaeus lectocephalus",2
"108","Colletidae","Hylaeus mesillae",102
"109","Colletidae","Hylaeus sp.",153
"110","Halictidae","Agapostemon femoratus",16
"111","Halictidae","Agapostemon sericeus",4
"112","Halictidae","Agapostemon splendens",48
"113","Halictidae","Agapostemon texanus",132
"114","Halictidae","Agapostemon virescens",1260
"115","Halictidae","Augochlora pura",3
"116","Halictidae","Augochlorella aurata",1234
"117","Halictidae","Augochloropsis metallica",20
"118","Halictidae","Dieunomia heteropoda",3
"119","Halictidae","Dufourea novaeangliae",4
"120","Halictidae","Halictus confusus",410
"121","Halictidae","Halictus ligatus",883
"122","Halictidae","Halictus parallelus",340
"123","Halictidae","Halictus rubicundus",126
"124","Halictidae","Halictus sp.",2
"125","Halictidae","Lasioglossum (Dialictus) anomalum",1
"126","Halictidae","Lasioglossum (Dialictus) sp.",6170
"127","Halictidae","Lasioglossum acuminatum",36
"128","Halictidae","Lasioglossum athabascense",7
"129","Halictidae","Lasioglossum cinctipes",7
"130","Halictidae","Lasioglossum coriaceum",148
"131","Halictidae","Lasioglossum fedorense",1
"132","Halictidae","Lasioglossum forbesii",16
"133","Halictidae","Lasioglossum foxii",1
"134","Halictidae","Lasioglossum fuscipenne",13
"135","Halictidae","Lasioglossum leucozonium",36
"136","Halictidae","Lasioglossum nelumbonis",4
"137","Halictidae","Lasioglossum paraforbesii",23
"138","Halictidae","Lasioglossum pectorale",40
"139","Halictidae","Lasioglossum sp.",146
"140","Halictidae","Lasioglossum truncatum",12
"141","Halictidae","Lasioglossum zonulum",24
"142","Halictidae","Nomia universitatis",10
"143","Halictidae","Sphecodes clematidis",7
"144","Halictidae","Sphecodes cressonii",1
"145","Halictidae","Sphecodes illinoensis",1
"146","Halictidae","Sphecodes sp.",12
"147","Megachilidae","Ashmeadiella bucconis",6
"148","Megachilidae","Coelioxys octodentata",3
"149","Megachilidae","Coelioxys rufitarsis",2
"150","Megachilidae","Coelioxys sayi",1
"151","Megachilidae","Heriades carinatus",2
"152","Megachilidae","Hoplitis pilosifrons",68
"153","Megachilidae","Megachile brevis",69
"154","Megachilidae","Megachile campanulae",1
"155","Megachilidae","Megachile centuncularis",1
"156","Megachilidae","Megachile frigida",3
"157","Megachilidae","Megachile inimica",3
"158","Megachilidae","Megachile latimanus",40
"159","Megachilidae","Megachile mendica",10
"160","Megachilidae","Megachile montivaga",7
"161","Megachilidae","Megachile petulans",2
"162","Megachilidae","Megachile pugnata",2
"163","Megachilidae","Megachile relativa",8
"164","Megachilidae","Megachile rotundata",1
"165","Megachilidae","Osmia bucephala",1
"166","Megachilidae","Osmia collinsiae",1
"167","Megachilidae","Osmia cornifrons",1
"168","Megachilidae","Osmia illinoensis",1
"169","Megachilidae","Osmia inermis",5
"170","Megachilidae","Osmia pumila",2
"171","Megachilidae","Stelis lateralis",5
