"","Family","Binomial","n"
"1","Andrenidae","Andrena alleghaniensis",1
"2","Andrenidae","Andrena asteris",3
"3","Andrenidae","Andrena barbara",5
"4","Andrenidae","Andrena canadensis",3
"5","Andrenidae","Andrena commoda",40
"6","Andrenidae","Andrena cressonii cressonii",34
"7","Andrenidae","Andrena dunningi",1
"8","Andrenidae","Andrena forbesii",2
"9","Andrenidae","Andrena fragilis",3
"10","Andrenidae","Andrena geranii",1
"11","Andrenidae","Andrena hirticincta",2
"12","Andrenidae","Andrena ignota",1
"13","Andrenidae","Andrena imitatrix",4
"14","Andrenidae","Andrena integra",2
"15","Andrenidae","Andrena melanochroa",1
"16","Andrenidae","Andrena nivalis",5
"17","Andrenidae","Andrena nubecula",4
"18","Andrenidae","Andrena nuda",3
"19","Andrenidae","Andrena platyparia",3
"20","Andrenidae","Andrena robertsonii",6
"21","Andrenidae","Andrena rudbeckiae",244
"22","Andrenidae","Andrena rugosa",1
"23","Andrenidae","Andrena simplex",1
"24","Andrenidae","Andrena sp.",131
"25","Andrenidae","Andrena spiraeana",2
"26","Andrenidae","Andrena w-scripta",3
"27","Andrenidae","Andrena wilkella",50
"28","Andrenidae","Andrena wilmattae",9
"29","Andrenidae","Andrena ziziae",187
"30","Andrenidae","Calliopsis andreniformis",68
"31","Andrenidae","Calliopsis nebraskensis",2
"32","Andrenidae","Perdita sp.",4
"33","Andrenidae","Perdita swenki",1
"34","Andrenidae","Protandrena bancrofti",4
"35","Andrenidae","Pseudopanurgus aestivalis",3
"36","Andrenidae","Pseudopanurgus albitarsis",33
"37","Andrenidae","Pseudopanurgus solidaginis",4
"38","Apidae","Anthophora bomboides",4
"39","Apidae","Anthophora terminalis",13
"40","Apidae","Anthophora walshii",4
"41","Apidae","Apis mellifera",254
"42","Apidae","Bombus auricomus",3
"43","Apidae","Bombus bimaculatus",42
"44","Apidae","Bombus borealis",1
"45","Apidae","Bombus citrinus",2
"46","Apidae","Bombus fervidus",16
"47","Apidae","Bombus fraternus",1
"48","Apidae","Bombus griseocollis",212
"49","Apidae","Bombus impatiens",241
"50","Apidae","Bombus pensylvanicus",87
"51","Apidae","Bombus vagans",4
"52","Apidae","Ceratina calcarata",26
"53","Apidae","Ceratina dupla",47
"54","Apidae","Ceratina mikmaqi",15
"55","Apidae","Ceratina sp.",314
"56","Apidae","Ceratina strenua",2
"57","Apidae","Epeolus bifasciatus",7
"58","Apidae","Eucera atriventris",3
"59","Apidae","Eucera hamata",600
"60","Apidae","Florilegus condignus",1
"61","Apidae","Halictus ligatus",3
"62","Apidae","Halictus parallelus",1
"63","Apidae","Halictus rubicundus",3
"64","Apidae","Holcopasites calliopsidis",8
"65","Apidae","Melissodes agilis",33
"66","Apidae","Melissodes bidentis",3
"67","Apidae","Melissodes bimaculata",705
"68","Apidae","Melissodes boltoniae",9
"69","Apidae","Melissodes communis",45
"70","Apidae","Melissodes comptoides",48
"71","Apidae","Melissodes coreopsis",12
"72","Apidae","Melissodes denticulatus",3
"73","Apidae","Melissodes desponsus",61
"74","Apidae","Melissodes druriellus",16
"75","Apidae","Melissodes fumosus",1
"76","Apidae","Melissodes nivea",3
"77","Apidae","Melissodes sp.",2
"78","Apidae","Melissodes subillatus",2
"79","Apidae","Melissodes trinodis",267
"80","Apidae","Melissodes vernoniae",1
"81","Apidae","Melissodes wheeleri",1
"82","Apidae","Nomada articulata",31
"83","Apidae","Nomada denticulata",3
"84","Apidae","Nomada depressa",8
"85","Apidae","Nomada erigeronis",5
"86","Apidae","Nomada graenicheri",1
"87","Apidae","Nomada illinoensis",2
"88","Apidae","Nomada imbricata",1
"89","Apidae","Nomada integerrima",1
"90","Apidae","Nomada parva",10
"91","Apidae","Nomada sayi",1
"92","Apidae","Nomada superba",3
"93","Apidae","Nomada vincta",1
"94","Apidae","Peponapis pruinosa",4
"95","Apidae","Svastra obliqua",21
"96","Apidae","Triepeolus concavus",1
"97","Apidae","Triepeolus donatus",5
"98","Apidae","Triepeolus helianthi",1
"99","Apidae","Triepeolus lunatus",11
"100","Apidae","Triepeolus simplex",1
"101","Apidae","Xeromelecta interrupta",1
"102","Apidae","Xylocopa virginica",3
"103","Colletidae","Colletes americanus",1
"104","Colletidae","Colletes consors",1
"105","Colletidae","Colletes kincaidii",1
"106","Colletidae","Colletes latitarsis",10
"107","Colletidae","Colletes simulans",7
"108","Colletidae","Colletes sp.",2
"109","Colletidae","Hylaeus affinis",75
"110","Colletidae","Hylaeus lectocephalus",2
"111","Colletidae","Hylaeus mesillae",102
"112","Colletidae","Hylaeus sp.",153
"113","Halictidae","Agapostemon femoratus",16
"114","Halictidae","Agapostemon sericeus",4
"115","Halictidae","Agapostemon splendens",48
"116","Halictidae","Agapostemon texanus",132
"117","Halictidae","Agapostemon virescens",1260
"118","Halictidae","Augochlora pura",3
"119","Halictidae","Augochlorella aurata",1234
"120","Halictidae","Augochloropsis fulgida",4
"121","Halictidae","Augochloropsis metallica",16
"122","Halictidae","Dieunomia heteropoda",3
"123","Halictidae","Dufourea novaeangliae",4
"124","Halictidae","Halictus confusus",410
"125","Halictidae","Halictus ligatus",880
"126","Halictidae","Halictus parallelus",339
"127","Halictidae","Halictus rubicundus",123
"128","Halictidae","Halictus sp.",2
"129","Halictidae","Lasioglossum (Dialictus) anomalum",1
"130","Halictidae","Lasioglossum (Dialictus) sp.",6170
"131","Halictidae","Lasioglossum (Evylaeus) sp.",1
"132","Halictidae","Lasioglossum acuminatum",36
"133","Halictidae","Lasioglossum athabascense",7
"134","Halictidae","Lasioglossum cinctipes",7
"135","Halictidae","Lasioglossum coriaceum",148
"136","Halictidae","Lasioglossum fedorense",1
"137","Halictidae","Lasioglossum forbesii",16
"138","Halictidae","Lasioglossum foxii",1
"139","Halictidae","Lasioglossum fuscipenne",13
"140","Halictidae","Lasioglossum leucozonium",36
"141","Halictidae","Lasioglossum nelumbonis",4
"142","Halictidae","Lasioglossum paraforbesii",23
"143","Halictidae","Lasioglossum pectorale",40
"144","Halictidae","Lasioglossum sp.",145
"145","Halictidae","Lasioglossum truncatum",12
"146","Halictidae","Lasioglossum zonulum",24
"147","Halictidae","Nomia universitatis",10
"148","Halictidae","Sphecodes clematidis",7
"149","Halictidae","Sphecodes cressonii",1
"150","Halictidae","Sphecodes illinoensis",1
"151","Halictidae","Sphecodes sp.",12
"152","Megachilidae","Ashmeadiella bucconis",6
"153","Megachilidae","Coelioxys octodentata",3
"154","Megachilidae","Coelioxys rufitarsis",2
"155","Megachilidae","Coelioxys sayi",1
"156","Megachilidae","Heriades carinatus",2
"157","Megachilidae","Hoplitis pilosifrons",68
"158","Megachilidae","Megachile brevis",69
"159","Megachilidae","Megachile campanulae",1
"160","Megachilidae","Megachile centuncularis",1
"161","Megachilidae","Megachile frigida",3
"162","Megachilidae","Megachile inimica",3
"163","Megachilidae","Megachile latimanus",40
"164","Megachilidae","Megachile mendica",10
"165","Megachilidae","Megachile montivaga",7
"166","Megachilidae","Megachile petulans",2
"167","Megachilidae","Megachile pugnata",2
"168","Megachilidae","Megachile relativa",8
"169","Megachilidae","Megachile rotundata",1
"170","Megachilidae","Osmia bucephala",1
"171","Megachilidae","Osmia collinsiae",1
"172","Megachilidae","Osmia cornifrons",1
"173","Megachilidae","Osmia illinoensis",1
