"","Site","Date","Bee.Genus.Richness"
"1","Bowman",2014-05-21,4
"2","Bowman",2014-06-20,4
"3","Bowman",2014-07-17,3
"4","Bowman",2014-08-14,8
"5","Bowman",2015-04-28,1
"6","Bowman",2015-05-21,2
"7","Bowman",2015-06-16,6
"8","Bowman",2015-07-17,5
"9","Bowman",2015-08-13,3
"10","Bowman",2016-05-03,2
"11","Bowman",2016-05-18,5
"12","Bowman",2016-06-15,8
"13","Bowman",2016-07-20,6
"14","Bowman",2016-08-15,3
"15","Bowman",2017-05-05,3
"16","Bowman",2017-05-22,7
"17","Bowman",2017-06-16,7
"18","Bowman",2017-07-16,7
"19","Bowman",2017-08-13,3
"20","Cretsinger",2014-05-29,10
"21","Cretsinger",2014-06-25,14
"22","Cretsinger",2014-07-23,7
"23","Cretsinger",2014-08-19,6
"24","Cretsinger",2015-05-03,9
"25","Cretsinger",2015-05-31,8
"26","Cretsinger",2015-06-29,6
"27","Cretsinger",2015-07-29,4
"28","Cretsinger",2015-08-11,1
"29","Cretsinger",2015-08-20,7
"30","Cretsinger",2016-05-15,7
"31","Cretsinger",2016-05-29,11
"32","Cretsinger",2016-06-22,8
"33","Cretsinger",2016-07-27,7
"34","Cretsinger",2016-08-05,9
"35","Cretsinger",2016-08-22,8
"36","Cretsinger",2017-05-14,10
"37","Cretsinger",2017-05-30,9
"38","Cretsinger",2017-06-25,14
"39","Cretsinger",2017-07-25,14
"40","Cretsinger",2017-08-22,8
"41","Elkader",2014-05-30,13
"42","Elkader",2014-06-24,17
"43","Elkader",2014-07-09,3
"44","Elkader",2014-07-24,13
"45","Elkader",2014-08-12,3
"46","Elkader",2014-08-20,12
"47","Elkader",2015-05-02,8
"48","Elkader",2015-05-27,16
"49","Elkader",2015-06-13,1
"50","Elkader",2015-06-21,14
"51","Elkader",2015-07-09,1
"52","Elkader",2015-07-23,11
"53","Elkader",2015-08-15,12
"54","Greving",2014-06-11,12
"55","Greving",2014-07-03,16
"56","Greving",2014-07-30,9
"57","Greving",2014-08-30,15
"58","Kaldenberg",2014-05-23,9
"59","Kaldenberg",2014-06-20,10
"60","Kaldenberg",2014-07-18,11
"61","Kaldenberg",2014-08-17,6
"62","Kaldenberg",2015-04-29,6
"63","Kaldenberg",2015-05-27,7
"64","Kaldenberg",2015-06-19,8
"65","Kaldenberg",2015-07-21,10
"66","Kaldenberg",2015-08-14,5
"67","Kaldenberg",2016-05-04,4
"68","Kaldenberg",2016-05-19,7
"69","Kaldenberg",2016-06-16,9
"70","Kaldenberg",2016-07-21,10
"71","Kaldenberg",2016-08-16,9
"72","Kaldenberg",2017-05-07,5
"73","Kaldenberg",2017-05-25,10
"74","Kaldenberg",2017-06-18,8
"75","Kaldenberg",2017-07-17,13
"76","Kaldenberg",2017-08-18,7
"77","McClellan",2014-06-06,5
"78","McClellan",2014-07-01,5
"79","McClellan",2014-07-28,4
"80","McClellan",2014-08-31,5
"81","McClellan",2015-05-12,2
"82","McClellan",2015-06-01,6
"83","McClellan",2015-06-30,6
"84","McClellan",2015-07-30,7
"85","McClellan",2015-08-25,8
"86","McClellan",2016-05-19,7
"87","McClellan",2016-06-16,8
"88","McClellan",2016-07-22,8
"89","McClellan",2016-08-16,4
"90","McClellan",2017-05-06,5
"91","McClellan",2017-05-25,5
"92","McClellan",2017-06-19,8
"93","McClellan",2017-07-18,7
"94","McClellan",2017-08-18,11
"95","NealSmith",2014-05-23,9
"96","NealSmith",2014-06-09,14
"97","NealSmith",2014-06-20,12
"98","NealSmith",2014-07-18,15
"99","NealSmith",2014-08-17,11
"100","NealSmith",2015-04-29,10
"101","NealSmith",2015-05-27,11
"102","NealSmith",2015-06-10,1
"103","NealSmith",2015-06-19,9
"104","NealSmith",2015-07-21,10
"105","NealSmith",2015-08-14,6
"106","Peckumn",2015-05-12,8
"107","Peckumn",2015-06-01,7
"108","Peckumn",2015-07-07,10
"109","Peckumn",2015-07-31,8
"110","Peckumn",2015-08-11,1
"111","Peckumn",2015-08-31,1
"112","Peckumn",2015-09-01,5
"113","Peckumn",2016-05-15,9
"114","Peckumn",2016-05-29,14
"115","Peckumn",2016-06-23,14
"116","Peckumn",2016-07-27,9
"117","Peckumn",2016-08-31,9
"118","Peckumn",2017-05-14,10
"119","Peckumn",2017-05-31,14
"120","Peckumn",2017-06-27,15
"121","Peckumn",2017-07-27,15
"122","Peckumn",2017-08-29,6
"123","Plunkett",2014-05-20,7
"124","Plunkett",2014-06-16,7
"125","Plunkett",2014-07-16,7
"126","Plunkett",2014-08-01,1
"127","Plunkett",2014-08-14,7
"128","Plunkett",2015-04-30,3
"129","Plunkett",2015-05-21,5
"130","Plunkett",2015-06-10,1
"131","Plunkett",2015-06-16,10
"132","Plunkett",2015-07-17,5
"133","Plunkett",2015-08-13,6
"134","Plunkett",2016-05-03,4
"135","Plunkett",2016-05-18,8
"136","Plunkett",2016-06-15,6
"137","Plunkett",2016-07-20,11
"138","Plunkett",2016-08-14,14
"139","Plunkett",2017-05-02,2
"140","Plunkett",2017-05-15,6
"141","Plunkett",2017-06-15,13
"142","Plunkett",2017-07-15,10
"143","Plunkett",2017-08-12,14
"144","Sheller",2014-05-29,7
"145","Sheller",2014-06-25,6
"146","Sheller",2014-07-21,7
"147","Sheller",2014-08-24,7
"148","Sheller",2015-05-09,5
"149","Sheller",2015-05-31,6
"150","Sheller",2015-06-23,4
"151","Sheller",2015-07-30,6
"152","Sheller",2015-08-26,3
"153","Sheller",2016-05-19,1
"154","Sheller",2016-05-22,6
"155","Sheller",2016-06-21,6
"156","Sheller",2016-07-26,12
"157","Sheller",2016-08-18,9
"158","Sheller",2017-05-13,6
"159","Sheller",2017-05-29,2
"160","Sheller",2017-06-23,5
"161","Sheller",2017-07-24,5
"162","Sheller",2017-08-19,3
"163","Sloan",2014-05-30,8
"164","Sloan",2014-06-24,7
"165","Sloan",2014-07-24,11
"166","Sloan",2014-08-20,2
"167","Sloan",2015-05-02,4
"168","Sloan",2015-05-27,8
"169","Sloan",2015-06-21,4
"170","Sloan",2015-07-23,10
"171","Sloan",2015-08-15,5
"172","Sloan",2016-05-12,3
"173","Sloan",2016-05-22,8
"174","Sloan",2016-06-17,7
"175","Sloan",2016-07-25,10
"176","Sloan",2016-08-17,9
"177","Sloan",2017-05-12,5
"178","Sloan",2017-05-28,12
"179","Sloan",2017-06-20,10
"180","Sloan",2017-07-23,5
"181","Sloan",2017-08-19,8
