,Ashy sunflower,Bee balm,Birdsfoot trefoil,Black-eyed Susan,Black medic,Bull thistle,Canada goldenrod,Canada thistle,Carolina horsenettle,Cleavers,Common milkweed,Compass plant,Cup plant,Curly dock,Daisy fleabane,Dandelion,Deptford pink,Dodder,Dogbane,Field bindweed,Field pennycress,Golden Alexander,Gray-headed coneflower,Ground cherry,Hoary vervain,Japanese honeysuckle,Marestail,Oxeye sunflower,Partridge pea,Prickly lettuce,Purple coneflower,Purple prairie clover,Queen Anne's lace,Rattlesnake master,Red clover,Sawtooth sunflower,Stiff goldenrod,Velvet leaf,White campion,White clover,White sweet clover,White vervain,Whorled milkweed,Wild parsnip,Yarrow,Yellow sweet clover
Bowman 2016-05-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bowman 2016-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bowman 2016-06-15,,,,,,,,,,,,,,,,,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,
Bowman 2016-07-20,,,,,,,,,,,,,,,,,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,
Bowman 2016-08-15,,,,,,,,,,,,,,,,,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,
Bowman 2017-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bowman 2017-05-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bowman 2017-06-16,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bowman 2017-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bowman 2017-08-13,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,,,,,,,,,,,,,,,,,,,
Cretsinger 2016-05-15,,,,,,,,,,,,,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cretsinger 2016-05-29,,,,,,,,,,,,,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cretsinger 2016-06-22,,,,4%,,,,42%,,,2%,,,,1%,4%,,,,,,,,,,,,,,,,3%,32%,,4%,,,,,8%,,,,,,
Cretsinger 2016-07-27,,3%,,3%,,,17%,26%,,,,,2%,,,,,,,,,,3%,1%,1%,,,,,,,,20%,1%,,19%,,,5%,,,,,,,
Cretsinger 2016-08-05,,,,,,,31%,31%,,,,,1%,,,,,12%,,,,,2%,,,,,,,1%,,,22%,,,,,,,,,,,,,
Cretsinger 2016-08-22,,,,,,,36%,8%,,,,,1%,,,1%,,14%,,,,,3%,1%,,,,3%,,,,,10%,,,12%,11%,,,,,,,,,
Cretsinger 2017-05-14,,,,,,,,,,,,,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cretsinger 2017-05-30,,,,,,,,,,,,,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cretsinger 2017-06-25,,,,18%,,,,36%,,,15%,,,,12%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17%,2%,
Cretsinger 2017-07-25,,10%,,,,,,11%,,,,,19%,,1%,,,,,,,,27%,,,,,,,,,,32%,,,,,,,,,,,,,
Cretsinger 2017-08-22,,,,,,0%,35%,0%,,,,,,,1%,,,,,,,,26%,,,,,,,,,,24%,,,,14%,,,,,,,,,
Kaldenberg 2016-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kaldenberg 2016-05-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kaldenberg 2016-06-16,,,,46%,,,,,,,9%,,,,,,,,,,,,,,,,,,,,14%,,,,,,,,,31%,,,,,,
Kaldenberg 2016-07-21,,,,26%,,,,,,,,,,,,,,,,26%,,,17%,,,,,,,,,,26%,,,,,,,,3%,,2%,,,
Kaldenberg 2016-08-16,,,,,,,,,,,,,,,,,,,,23%,,,28%,,,,,,2%,,,,26%,,11%,,,,,10%,,,,,,
Kaldenberg 2017-05-07,,,,,,,,,,,,,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kaldenberg 2017-05-25,,,,,,,,,,,,,,22%,,11%,,,,,,,,,,,,,,,,,,,67%,,,,,,,,,,,
Kaldenberg 2017-06-18,,,,24%,,,,,,,,,,,,,,,,56%,,,,,,,,,,,,,,,,,,,,20%,,,,,,
Kaldenberg 2017-07-17,,,,3%,,,,,,,,,,,,,,,,6%,,,13%,,,,,,,1%,,,76%,,,,,,,,,,,,,
Kaldenberg 2017-08-18,,,,,,,,,,,,,,,,,,,,41%,,,27%,,,,,,,,,,32%,,,,,,,,,,,,,
McClellan 2016-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
McClellan 2016-05-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
McClellan 2016-06-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
McClellan 2016-07-22,,,,,,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
McClellan 2016-08-16,,,,,,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
McClellan 2017-05-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
McClellan 2017-05-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
McClellan 2017-06-19,,,,,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
McClellan 2017-07-18,,,,,,,,50%,50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
McClellan 2017-08-18,,,,,,,,70%,30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peckumn 2016-05-15,,,,,,,,,,,,,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peckumn 2016-05-29,,,,,,,,,,,,,,,,98%,,,,,,,,,,,,,,,,,,,2%,,,,,,,,,,,
Peckumn 2016-06-23,,,,,,,,26%,,,,,,,,30%,,,,,,,32%,,3%,,,3%,,,,,,,,,,,,3%,,,,,3%,
Peckumn 2016-07-27,14%,,,,,,,7%,12%,,,6%,,,2%,13%,,,,,,,21%,2%,,,,,,,,3%,,,1%,13%,,,7%,,,,,,,1%
Peckumn 2016-08-31,,,,,,,44%,,4%,,,,,,,,,,,,,,,31%,,,,21%,,,,,,,,,,,,,,,,,,
Peckumn 2017-05-14,,,,,,,,,,5%,,,,,,95%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peckumn 2017-05-31,,,,,,,,,,,,,,,,78%,,,,,14%,7%,,,,,,,,,,,,,,,,,,,,,,,,
Peckumn 2017-06-27,,,,,4%,,,34%,3%,,,,,,4%,12%,15%,,,,,,28%,,,,,,,,,,,,,,,,,,,,,,,
Peckumn 2017-07-27,,16%,,6%,,,,12%,4%,,,,,,,,,,,,,,60%,,,,,,,,,,,,,,,,,,,2%,,,,
Peckumn 2017-08-29,,,,0%,,1%,42%,,,,,,,,,,,,,,,,16%,,,,,,,,,,,,,40%,0%,,,,,,,,,
Plunkett 2016-05-03,,,,,,,,,,,,,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plunkett 2016-05-18,,,,,,,,,,,,,,,,11%,,,,,,,,,,,,,,,,,,,,,,,,89%,,,,,,
Plunkett 2016-06-15,,,26%,,,,,,,,3%,,,,1%,,,,1%,16%,,,,,,,,,,,,,,,33%,,,,,7%,,,,11%,,
Plunkett 2016-07-20,,4%,14%,,,7%,,17%,1%,,,,,,2%,,,,,13%,,,,,,,,,,,,,26%,,17%,,,,,,,1%,,,,
