"","Site","Date","Blue vane","Bowls","Emergence","NT","Pitfall","Plot"
"1","Bowman",2014-05-21,3,3,NA,NA,NA,NA
"2","Bowman",2014-06-20,3,3,NA,NA,NA,NA
"3","Bowman",2014-07-17,2,2,NA,NA,NA,NA
"4","Bowman",2014-08-14,9,6,NA,NA,NA,NA
"5","Bowman",2015-04-28,1,1,NA,NA,NA,NA
"6","Bowman",2015-05-21,1,NA,1,NA,NA,NA
"7","Bowman",2015-06-16,3,6,NA,NA,NA,NA
"8","Bowman",2015-07-17,4,1,NA,1,NA,NA
"9","Bowman",2015-08-13,NA,3,NA,1,NA,NA
"10","Bowman",2016-05-03,1,2,NA,NA,NA,NA
"11","Bowman",2016-05-18,3,5,NA,NA,NA,NA
"12","Bowman",2016-06-15,5,6,1,1,NA,NA
"13","Bowman",2016-07-20,4,4,NA,1,NA,NA
"14","Bowman",2016-08-15,2,1,NA,1,NA,NA
"15","Bowman",2017-05-05,2,3,NA,1,NA,1
"16","Bowman",2017-05-22,3,6,NA,NA,NA,NA
"17","Bowman",2017-06-16,5,5,NA,NA,NA,2
"18","Bowman",2017-07-16,6,6,NA,3,NA,1
"19","Bowman",2017-08-13,1,3,NA,NA,NA,NA
"20","Cretsinger",2014-05-29,6,12,NA,3,NA,NA
"21","Cretsinger",2014-06-25,8,12,NA,6,NA,NA
"22","Cretsinger",2014-07-23,3,7,NA,5,NA,NA
"23","Cretsinger",2014-08-19,8,6,NA,5,NA,NA
"24","Cretsinger",2015-05-03,8,10,NA,2,NA,NA
"25","Cretsinger",2015-05-31,7,8,1,5,NA,NA
"26","Cretsinger",2015-06-29,2,4,NA,4,NA,NA
"27","Cretsinger",2015-07-29,1,3,NA,2,NA,NA
"28","Cretsinger",2015-08-11,NA,NA,1,NA,NA,NA
"29","Cretsinger",2015-08-20,4,6,NA,2,NA,NA
"30","Cretsinger",2016-05-15,5,7,NA,2,NA,NA
"31","Cretsinger",2016-05-29,4,9,NA,8,NA,NA
"32","Cretsinger",2016-06-22,7,6,NA,1,NA,NA
"33","Cretsinger",2016-07-27,2,3,1,8,NA,NA
"34","Cretsinger",2016-08-05,4,4,NA,12,NA,NA
"35","Cretsinger",2016-08-22,3,6,NA,8,NA,NA
"36","Cretsinger",2017-05-14,7,12,NA,4,NA,NA
"37","Cretsinger",2017-05-30,7,9,NA,7,NA,NA
"38","Cretsinger",2017-06-25,10,15,NA,7,NA,NA
"39","Cretsinger",2017-07-25,9,10,NA,10,NA,7
"40","Cretsinger",2017-08-22,3,4,1,6,NA,NA
"41","Elkader",2014-05-30,4,17,NA,7,NA,NA
"42","Elkader",2014-06-24,5,10,1,9,1,NA
"43","Elkader",2014-07-09,NA,NA,3,NA,NA,NA
"44","Elkader",2014-07-24,7,4,2,7,NA,NA
"45","Elkader",2014-08-12,NA,NA,3,NA,NA,NA
"46","Elkader",2014-08-20,1,4,1,17,NA,NA
"47","Elkader",2015-05-02,5,5,NA,5,NA,NA
"48","Elkader",2015-05-27,12,14,NA,7,2,NA
"49","Elkader",2015-06-13,NA,NA,2,NA,NA,NA
"50","Elkader",2015-06-21,4,12,NA,9,NA,NA
"51","Elkader",2015-07-09,NA,NA,NA,NA,1,NA
"52","Elkader",2015-07-23,5,11,NA,6,NA,NA
"53","Elkader",2015-08-15,4,6,3,10,NA,NA
"54","Greving",2014-06-11,9,9,NA,11,NA,NA
"55","Greving",2014-07-03,5,8,NA,15,NA,NA
"56","Greving",2014-07-30,3,5,NA,11,NA,NA
"57","Greving",2014-08-30,5,9,NA,18,1,NA
